archive,bytes,unpacked_bytes,entries,sha256,zip_test
DEMOCRACY_INFLUENCE_ALL_INVESTIGATIONS_2026-09-07.zip,10255849,13740441,324,b2fec50e9cdd5e18806a96cdc7682b3fa23a917af6abe939ecafa1d0a590779f,PASS
DEMOCRACY_INFLUENCE_COMPLETE_BUNDLE_2026-09-11.zip,2584121,7147623,384,876d7527bbca64bd2ae68171bb94c683ce5b62fbebb65adbd1c80aa52ef35d94,PASS
DEMOCRACY_INFLUENCE_INVESTIGATIONS_READING_2026-09-08.zip,897239,3189250,60,53c3342661c2919797dac8068e171ec19c075aa210a67be0b32c37b4f492babe,PASS
FORENSIC_CORPUS_REBUILT_2026-09-11.zip,528011,1409556,125,a04facadb519f169b413566665bb43ff3a1c3f4c31f1494e4f0afd3bb0174980,PASS
INV-012_FORENSIC_BUNDLE.zip,48548,162008,13,1b24c3bbe19b70344bafcb65da84409fb3903ef3650207cabf5c38f4488dce5f,PASS
INV-029_R3P1_CANONICAL_6_FILES.zip,28718,93521,6,9d8c75ef93dc3a0cd423be2710b226117179c4ec1df9df8ce611f364c9759c83,PASS
INV-045_BUNDLE.zip,45009,156128,12,3d6bc733c261bcfb7eb6e927013344d660a15ec885e06c97d70d1602b9ed6e7a,PASS
INV-056_R3P1_CANONICAL_6_FILES.zip,52109,187351,6,288a8a0db3565bd0921078c1c6f3bf1ca9d1eb1a64ce89d539e03691eed34dd1,PASS
INV-078_R3P1_CANONICAL_6_FILES.zip,43896,166562,6,97beba28fe0decebb8cd47f8f4c77a8ee82247dcfcb031ab589cd5555bdffb11,PASS
INV-079_BUNDLE.zip,51104,179164,12,d8adeb3c76671580aef64ddd32920d12fa26298ae59aee333f64d6353bd756b1,PASS
INV-080_BUNDLE.zip,44271,153414,12,6124754add3d064b7eb4a4f1fb13dca7c98078d8114ce0bce710a833d76f5dd4,PASS
INV-082_SYNTHESIS_BUNDLE.zip,11967,22193,8,31003b88a43a9486ab4fcf7cec8d21e9a2224fa73e07327f76c1784d6e9abdf8,PASS
INV-085_R3P1_CANONICAL_6_FILES.zip,39955,135218,6,80d084e0eb1bbe11a7614ac8c3f4f4836ce6eae09e0b3ee2dc2411ec2c8cd0df,PASS
INV-090_R3P1_CANONICAL_6_FILES.zip,48699,177538,6,076bec2df0e7fc56742b2f7824a536b0019f4a414cf8da1e8b900f6d5cc99630,PASS
INV-094_BUNDLE.zip,88517,320352,16,e1bea36c025b19203baa030486b22427b0483b0128dac75947d5adf6829dc6f7,PASS
INV-096_R3P1_CANONICAL_6_FILES.zip,42810,154360,6,925076bf31247e47c50f28ceec0b4465749bd554527cfbf84c79ccdd298acbf8,PASS
INV-098_R3P1_CANONICAL_6_FILES.zip,48709,169179,6,21ef785c8b9097cd69c8a653ea79e9de3e13db5cbe05b7fd388b92ac3a80323c,PASS
INV-098_R3P1_RECOVERED_CANONICAL_6_FILES.zip,48417,169179,6,7449a70df75417b6ce5d16ec01a10c6cf23c5da2fbda90962b2174d1d17e81e2,PASS
INV-099_R3P1_CANONICAL_6_FILES.zip,47270,164001,6,54622aa1c222e12335a24ec63fac90cf5cbd0107ad99727c2894f02092e78436,PASS
INV-124_BUNDLE.zip,47234,161722,12,9b806b72da254ab97480a41ee5fda663993d11b7c1b8da9312a7951e3f8b49a1,PASS
INV-129_BUNDLE.zip,16201,28111,11,a82198a77be8ed220abb70ffaa360b6ac7f0643670576f779c310762ca9fc4ad,PASS
INV-143_R3P1_CANONICAL_6_FILES.zip,46753,170557,6,958da9ae80540502b3d11620d7f59c5c8d9002d35fd839e2766958ff4c32382b,PASS
