clean_id,blind_id,original_claim_id,actor,speech_date,constraint_context,claim_text,original_code,second_code,third_code,third_confidence,three_way_unanimous,majority_code,all_non_C0,any_C2,c2_votes
G001,B071,GC092,Jean Castex,2021-02-25,restrictions territoriales,Ne pas reconfiner fin janvier était la bonne décision et a permis de gagner du temps.,C1,C0,C1,70,False,C1,False,False,0
G002,B050,GC139,Olivier Véran,2021-07-20,pass / obligation,La vaccination protège fortement des formes graves et réduit aussi la circulation virale.,C1,C0,C0,85,False,C0,False,False,0
G003,B141,GC094,Jean Castex,2021-02-25,restrictions territoriales,Le confinement ne doit être utilisé que lorsque rien d’autre ne permet de maîtriser la situation.,C1,C0,C0,80,False,C0,False,False,0
G004,B074,GC091,Jean Castex,2021-02-25,restrictions territoriales,Alpha est plus contagieux que les souches précédentes.,C0,C0,C0,90,True,C0,False,False,0
G005,B135,GC093,Jean Castex,2021-02-25,restrictions territoriales,Les confinements stricts de pays voisins n’ont pas permis d’atteindre le zéro Covid.,C0,C0,C1,65,False,C0,False,False,0
G006,B007,GC045,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,Les vaccins disponibles évitent 95 % des formes graves dues à Delta.,C1,C0,C1,75,False,C1,False,False,0
G007,B036,GC118,Olivier Véran,2020-10-13,régime transitoire,Les chances de ne plus avoir à combattre le virus au 31 janvier 2021 sont nulles.,C1,C0,C0,85,False,C0,False,False,0
G008,B016,GC044,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,Les vaccins disponibles divisent par 12 le pouvoir de contamination de Delta.,C2,C2,C2,80,True,C2,True,True,3
G009,B037,GC012,Emmanuel Macron,2020-10-28,second confinement,La famille et les amis sont les lieux où les Français se sont le plus contaminés.,C1,C0,C0,85,False,C0,False,False,0
G010,B136,GC016,Emmanuel Macron,2020-10-28,second confinement,"Sans coup de frein brutal, les hôpitaux seront très vite saturés.",C0,C0,C0,90,True,C0,False,False,0
G011,B127,GC062,Emmanuel Macron,2021-11-09,rappel / pass,Une dose de rappel est la solution à cette baisse d’immunité.,C1,C0,C1,70,False,C1,False,False,0
G012,B061,GC108,Jean Castex,2021-03-18,confinements territorialisés,Le risque de contamination est infiniment plus faible en plein air qu’en intérieur regroupé sans masque.,C1,C1,C0,90,False,C1,False,False,0
G013,B076,GC029,Emmanuel Macron,2021-03-31,restrictions / écoles,L’accélération due au variant risque de faire perdre le contrôle si rien ne change.,C0,C0,C0,85,True,C0,False,False,0
G014,B020,GC060,Emmanuel Macron,2021-11-09,rappel / pass,Une personne vaccinée a environ 11 fois moins de risque d’être admise en soins critiques.,C0,C0,C0,85,True,C0,False,False,0
G015,B080,GC125,Olivier Véran,2020-10-24,état urgence sanitaire,"Sans régime transitoire de sortie, le pays risquerait une sortie sèche sans moyens de limiter les rassemblements ou fermer des établissements.",C0,C0,C0,80,True,C0,False,False,0
G016,B124,GC121,Olivier Véran,2020-10-24,état urgence sanitaire,"Environ 2 000 hospitalisations, 300 admissions en réanimation et près de 300 décès ont été déclarés en 24 heures.",C0,C0,C0,90,True,C0,False,False,0
G017,B055,GC010,Emmanuel Macron,2020-10-28,second confinement,"Près de 3 000 personnes sont en réanimation, soit plus de la moitié des capacités nationales.",C0,C0,C0,90,True,C0,False,False,0
G018,B068,GC129,Olivier Véran,2021-01-20,état urgence sanitaire,Les mesures prises ont permis d’éviter la saturation des services de réanimation.,C1,C0,C0,75,False,C0,False,False,0
G019,B139,GC078,Jean Castex,2020-10-22,extension couvre-feu,Plus de 44 % des capacités de réanimation sont occupées par des patients Covid.,C0,C0,C0,90,True,C0,False,False,0
G020,B085,GC009,Emmanuel Macron,2020-10-28,second confinement,Le nombre de contaminations rapporté à la population a doublé en moins de deux semaines.,C0,C0,C0,90,True,C0,False,False,0
G021,B105,GC046,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,"Plus la vaccination augmente, moins le virus se diffuse et moins il y a d’hospitalisations.",C1,C0,C0,85,False,C0,False,False,0
G022,B066,GC002,Emmanuel Macron,2020-03-16,confinement,La situation sanitaire se dégrade fortement et la pression hospitalière s’accentue; une vague de cas graves se profile dans certaines régions.,C0,C0,C0,90,True,C0,False,False,0
G023,B005,GC107,Jean Castex,2021-03-18,confinements territorialisés,"Fermer une partie des commerces doit réduire les contacts en lieux clos et donc ralentir l’épidémie, indépendamment du risque propre à chaque commerce.",C1,C0,C1,70,False,C1,False,False,0
G024,B003,GC106,Jean Castex,2021-03-18,confinements territorialisés,L’approche territorialisée a permis de freiner plusieurs semaines la circulation malgré Alpha.,C1,C0,C0,75,False,C0,False,False,0
G025,B018,GC140,Olivier Véran,2021-07-20,pass / obligation,Plus de 95 % des personnes hospitalisées pour forme grave ne disposent pas d’un schéma vaccinal complet.,C1,C0,C0,85,False,C0,False,False,0
G026,B145,GC126,Olivier Véran,2020-10-24,état urgence sanitaire,Les systèmes Contact-Covid et SI-DEP sont indispensables à l’efficacité de la lutte contre l’épidémie.,C1,C0,C0,80,False,C0,False,False,0
G027,B030,GC101,Jean Castex,2021-03-18,confinements territorialisés,"Alpha est plus contagieux, plus virulent et potentiellement plus grave.",C1,C0,C1,75,False,C1,False,False,0
G028,B084,GC128,Olivier Véran,2021-01-20,état urgence sanitaire,Les mesures prises ont permis de limiter la propagation du virus.,C1,C0,C0,75,False,C0,False,False,0
G029,B146,GC006,Emmanuel Macron,2020-03-16,confinement,Les circonstances obligent à l’effort inédit de restriction des déplacements et contacts.,C1,C0,C0,90,False,C0,False,False,0
G030,B032,GC152,Olivier Véran,2022-01-11,passe vaccinal,Transformer le pass sanitaire en passe vaccinal doit renforcer les incitations à la vaccination et réduire les risques de contamination.,C1,C1,C1,70,True,C1,True,False,0
G031,B069,GC024,Emmanuel Macron,2020-10-28,second confinement,Le confinement est la stratégie à retenir parce que les autres options considérées sont insuffisantes et qu’il a stoppé le virus au printemps.,C1,C0,C1,70,False,C1,False,False,0
G032,B152,GC112,Jean Castex,2021-03-18,confinements territorialisés,"Quatre semaines sont le temps nécessaire pour que les nouvelles mesures produisent un effet suffisant, sauf amélioration plus rapide.",C1,C0,C0,80,False,C0,False,False,0
G033,B131,GC120,Olivier Véran,2020-10-24,état urgence sanitaire,"Environ 42 000 tests positifs ont été recensés en 24 heures, très au-dessus d’août.",C0,C0,C0,90,True,C0,False,False,0
G034,B107,GC026,Emmanuel Macron,2021-03-31,restrictions / écoles,Le variant Alpha est plus contagieux et plus meurtrier.,C0,C0,C1,75,False,C0,False,False,0
G035,B150,GC100,Jean Castex,2021-03-18,confinements territorialisés,"La cause de la troisième vague est l’arrivée d’Alpha, qui représente environ les trois quarts des contaminations.",C1,C0,C0,85,False,C0,False,False,0
G036,B132,GC049,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,La vaccination est la seule façon de se protéger et de protéger les autres.,C2,C1,C2,80,False,C2,True,True,2
G037,B083,GC138,Olivier Véran,2021-07-20,pass / obligation,Les projections Pasteur indiquent qu’une vague sanitaire importante peut survenir d’ici la fin août sans freinage suffisant.,C1,C0,C0,80,False,C0,False,False,0
G038,B130,GC058,Emmanuel Macron,2021-11-09,rappel / pass,Il faudra vivre avec le virus et ses variants jusqu’à ce que la population mondiale dans son ensemble soit immunisée.,C1,C0,C0,85,False,C0,False,False,0
G039,B062,GC116,Olivier Véran,2020-10-13,régime transitoire,"À Lille, l’incidence est d’environ 480/100 000 et 382/100 000 chez les personnes âgées.",C0,C0,C0,90,True,C0,False,False,0
G040,B027,GC051,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,Faible vaccination et forte pression hospitalière justifient état d’urgence et couvre-feu en Martinique et à La Réunion.,C1,C0,C0,80,False,C0,False,False,0
G041,B121,GC134,Olivier Véran,2021-07-20,pass / obligation,"La reprise épidémique est principalement portée par Delta, extrêmement contagieux, à l’origine de la quatrième vague.",C0,C0,C0,90,True,C0,False,False,0
G042,B143,GC088,Jean Castex,2021-01-14,couvre-feu 18 h,La situation du 14 janvier ne justifie pas un nouveau confinement; un confinement deviendrait nécessaire si elle se dégradait fortement.,C1,C0,C0,75,False,C0,False,False,0
G043,B009,GC061,Emmanuel Macron,2021-11-09,rappel / pass,Toutes les études montrent qu’après six mois l’immunité diminue et le risque de forme grave réaugmente.,C1,C0,C0,85,False,C0,False,False,0
G044,B053,GC019,Emmanuel Macron,2020-10-28,second confinement,Laisser circuler jusqu’à 50-60 % contaminés entraînerait au moins 400 000 morts supplémentaires en quelques mois.,C1,C1,C1,65,True,C1,True,False,0
