event_id,date,actor,actor_class,topic,event_type,output_or_claim,state_at_date,later_state,audit_class,repair_or_update,downstream_use,downstream_actor,source_url,adjudication_anchor_url,confidence,notes
F200-001,2020-03-16,Conspiracy Watch,HYBRID_SPECIALIZED_PRESS_DEBUNKING,origin,analysis,Coronavirus probably not a biological weapon; lab fabrication presented as unsupported/implausible.,Reasonably calibrated against available genomic evidence.,Natural-origin evidence remained strong; accidental leak is distinct and later remained unresolved.,CORRECT_WITH_BOUNDS,No formal repair needed for the weapon/engineering claim.,Background source in later origin discourse.,—,https://www.conspiracywatch.info/pourquoi-le-coronavirus-nest-probablement-pas-une-arme-biologique.html,https://www.who.int/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,HIGH,Engineering/weapon != accidental lab leak.
F200-002,2020-03-28,Conspiracy Watch,HYBRID_SPECIALIZED_PRESS_DEBUNKING,origin,survey,"Survey headline/wording says 26% think virus was 'fabriqué/conçu en laboratoire', including 9% 'accidentally'.",Question/summary mixes intentional engineering and an 'accidental' laboratory category.,Later origin debate requires clean separation between engineering and accidental release of a naturally occurring virus.,CATEGORY_COLLAPSE_RISK,No same-page correction found in sampled current page.,Survey widely relayed by mainstream media.,Le Monde; Euronews,https://www.conspiracywatch.info/un-francais-sur-quatre-estime-a-tort-que-le-coronavirus-a-ete-concu-en-laboratoire.html,https://www.who.int/fr/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,HIGH,This does not validate a laboratory leak; it identifies a category-design problem.
F200-003,2020-04-09,Conspiracy Watch,HYBRID_SPECIALIZED_PRESS_DEBUNKING,origin,article,"In a Soros debunk, says belief that SARS-CoV-2 was engineered then spread accidentally/intentionally from a Wuhan lab is 'false in all respects' and says it appeared on an animal market.",The exact compound narrative (genetic engineering followed by lab spread) lacked evidence and was reasonably rejectable; 'false in all respects' can nevertheless blur the later-distinct accidental leak of a natural virus.,WHO later kept accidental lab leak distinct and unresolved while genomic evidence remained against deliberate genetic engineering.,CATEGORY_COLLAPSE_RISK,Contextualized in separate later outputs; no same-page propagated correction found.,Compatible framing was amplified in broader media ecosystem.,Indirect; see Le Monde/Euronews origin framing,https://www.conspiracywatch.info/nen-deplaise-aux-complotistes-george-soros-na-rien-a-voir-avec-le-covid-19.html,https://www.who.int/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,HIGH,Not adjudicated as a clean factual error; the finding is category/scope compression.
F200-004,2020-04-20,Conspiracy Watch,HYBRID_SPECIALIZED_PRESS_DEBUNKING,origin,weekly-review,Conspiracy News #16.2020 est publié le 20 avril 2020. Le corps est actuellement réservé aux abonnés; cette entrée ne lui attribue aucune formulation précise.,La date de publication est vérifiable sur la page courante; le contenu substantiel n’est pas retenu comme preuve primaire dans XQ204.,La distinction fuite accidentelle / fabrication est documentée par une source primaire accessible dès le 16 avril 2020 (F200-045).,PUBLICATION_METADATA_ONLY,Ne pas utiliser cette page Premium pour établir une contextualisation; renvoyer à F200-045.,Aucun usage probatoire substantiel dans XQ204; page conservée comme jalon de publication.,—,https://www.conspiracywatch.info/conspiracy-news-16-2020.html,https://www.who.int/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,HIGH_FOR_DATE_LOW_FOR_UNSEEN_BODY,Date corrigée à 20/04/2020. XQ204E retire l’attribution de contenu fondée sur l’index: le corps courant est Premium. Utiliser F200-045 (16/04) pour la contextualisation vérifiable.
F200-005,2021-05-22,Conspiracy Watch,HYBRID_SPECIALIZED_PRESS_DEBUNKING,origin,interview,Interview with Étienne Simon-Lorière: fabrication remains largely excluded; accidental lab escape cannot be entirely excluded.,Good separation of engineering from accidental escape.,Still compatible with WHO 2025 framing.,SUBSEQUENTLY_CONTEXTUALIZED,Separate later contextualization.,"Provides a later, more calibrated frame.",—,https://www.conspiracywatch.info/etienne-simon-loriere-lhypothese-dune-fabrication-en-laboratoire-reste-largement-ecartee.html,https://www.who.int/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,HIGH,
F200-006,2020-03-31,Le Monde (downstream of CW survey),DOWNSTREAM_MEDIA,origin,reuse+later-update,Le Monde relays the Ifop/Fondation Jean-Jaurès/Conspiracy Watch survey and initially frames genome as proving human creation false.,Contemporary mainstream amplification of CW survey/category.,Page modified 25 May 2021 and now points readers to a newer origins article.,DOWNSTREAM_REPAIR,Visible date modification + explicit note pointing to May 2021 update.,Strong example: correction/context can occur downstream rather than at source.,Le Monde,https://www.lemonde.fr/les-decodeurs/article/2020/03/31/l-etrange-obsession-d-un-quart-des-francais-pour-la-these-du-virus-cree-en-laboratoire_6035093_4355770.html,https://www.who.int/fr/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,HIGH,
F200-007,2020-04-07,Hoaxbuster,COLLABORATIVE_DEBUNKER_RUMOR_HUNTER,masks,article,DIY masks article explicitly warns knowledge/recommendations may evolve and asks readers to check latest version.,Strong temporal calibration under uncertainty.,Later mask guidance did evolve.,GOOD_TEMPORAL_CALIBRATION,Built-in temporal warning rather than later correction.,Public-facing debunk.,—,https://hoaxbuster.com/covid19/2020/04/07/des-masques-diy-pour-tous,,HIGH,Positive calibration example.
F200-008,2020-04-18,Hoaxbuster,COLLABORATIVE_DEBUNKER_RUMOR_HUNTER,origin,overview,Origin section says lab-safety reports are being investigated and that clarifications/corrections will be added when responsibilities are clearer; separately notes no genomic trace of known engineering techniques.,Carefully distinguishes uncertainty about laboratory responsibility from evidence against engineering.,Accidental laboratory leak remains unresolved; engineering evidence remains separate.,GOOD_TEMPORAL_CALIBRATION,Promise of later correction; historical completion not verified.,Public debunk.,—,https://www.hoaxbuster.com/covid19/2020/04/18/covid19-epidemie-de-fake-news,https://www.who.int/news/item/27-06-2025-who-scientific-advisory-group-issues-report-on-origins-of-covid-19,HIGH,Need archive-level check to see whether promised corrections were actually propagated.
F200-009,2020-04-30,Hoaxbuster,COLLABORATIVE_DEBUNKER_RUMOR_HUNTER,Wuhan P4,article,P4 inauguration is real and was not hidden; surrounding arguments about concealment are false.,"Narrow, document-checkable claim; evidence fits claim.",Still stands.,CORRECT_WITH_BOUNDS,No material repair identified.,Public debunk.,—,https://www.hoaxbuster.com/covid19/2020/04/30/linauguration-par-la-france-du-laboratoire-p4-a-wuhan-une-realite-non-dissimulee,,HIGH,Good example of 'du vrai / du faux'.
F200-010,2021-12-24,Hoaxbuster,COLLABORATIVE_DEBUNKER_RUMOR_HUNTER,hospitalization/vaccination,article,"A real hospital note showing many vaccinated ICU patients does not by itself prove vaccine inefficacy; denominator, vulnerability and updated hospital data matter.",Appropriate denominator/context warning.,Consistent with epidemiologic comparison logic.,CORRECT_WITH_BOUNDS,No correction found/needed in sampled item.,Public debunk.,—,https://www.hoaxbuster.com/covid19/2021/12/28/compte-rendu-note-interne-gare-a-ces-documents-trompeurs-qui-circulent-sur-les-reseaux-sociaux,,HIGH,Publication page shows 24/12/2021 despite URL date 28/12.
