repair_id,actor,original_date,original_issue,repair_date,repair_type,repair_strength,same_page,same_channel,audience_overlap,repair_description,source_url,status
R200-001,Conspiracy Watch,2020-04-09,Origin paragraph compresses engineering + accidental/intended lab spread.,2020-04-16,SEPARATE_ARTICLE_UPDATE_CONTEXTUALIZATION,MEDIUM,NO,YES_SITE_DIFFERENT_ITEM,UNKNOWN,"An article of March, updated 16 Apr, distinguishes an accidental natural-virus lab event from engineering and says the former still needs substantiation. This is actor-level contextualization, not a correction attached to the 9 Apr artifact.",https://www.conspiracywatch.info/pourquoi-le-coronavirus-nest-probablement-pas-une-arme-biologique.html,PARTIAL_REPAIR_ACTOR_LEVEL
R200-002,Conspiracy Watch,2020-04-09,Origin paragraph overcertain.,2021-05-22,SEPARATE_LATER_CONTEXTUALIZATION,MEDIUM_HIGH,NO_FOUND,YES_SITE_DIFFERENT_ITEM,UNKNOWN,Interview says accidental lab escape cannot be entirely excluded while fabrication remains largely excluded.,https://www.conspiracywatch.info/etienne-simon-loriere-lhypothese-dune-fabrication-en-laboratoire-reste-largement-ecartee.html,LATE_CONTEXTUALIZATION
R200-003,Le Monde (downstream CW),2020-03-31,Origin article written from March 2020 evidence with categorical framing.,2021-05-25,VISIBLE_PAGE_UPDATE_POINTER,HIGH_VISIBILITY_ON_CURRENT_PAGE,YES,YES,UNKNOWN,Current page explicitly says article was written March 2020 and points to newer May 2021 origin analysis.,https://www.lemonde.fr/les-decodeurs/article/2020/03/31/l-etrange-obsession-d-un-quart-des-francais-pour-la-these-du-virus-cree-en-laboratoire_6035093_4355770.html,VISIBLE_UPDATE
R200-004,Hoaxbuster,2020-04-18,Open question of lab responsibility.,UNKNOWN,PROMISED_FUTURE_CORRECTIONS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Article explicitly promises clarifications/corrections once facts are established; XQ200 did not verify historical fulfillment.,https://www.hoaxbuster.com/covid19/2020/04/18/covid19-epidemie-de-fake-news,OPEN_GAP
R200-005,Journalistes Solidaires,2020-2022,Correction policy/history across original Covid fact-checks.,UNKNOWN,ARCHIVE_UNRECOVERED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Current structural descriptions prove workflow but not historical correction ledger.,https://checkfirst.network/project/journalistes-solidaires/,OPEN_GAP
R200-006,Fact & Furious,2021-08,Contested pharmacovigilance fact-check technical details.,UNKNOWN,ARCHIVE_UNRECOVERED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Original site discontinuity prevents reliable correction-history adjudication.,https://blogs.mediapart.fr/enzo-lolo/blog/060821/covid-19-letiquette-fact-checker-est-elle-gage-de-competence,OPEN_GAP
R200-007,Factoscope,2021-12-03,Child vaccination verdict too categorical for HAS state at date.,NOT_FOUND,NO_VISIBLE_REPAIR_IN_CURRENT_PAGE,NONE_FOUND,NO,UNKNOWN,UNKNOWN,Sampled current page still carries binary Faux; no visible update tied to 20 Dec HAS expansion found in XQ200.,https://factoscope.fr/factoscope1722/la-balance-benefice-risque-etait-defavorable-a-la-vaccination-des-enfants/,NO_REPAIR_FOUND
R200-008,La Tronche en Biais,2021,Vaccines protect against contagion statement later judged imprudent/doubtful.,2022-02-04,EXPLICIT_SELF_CORRECTION,HIGH,NO_ORIGINAL_NOT_RECOVERED,YES_BRAND/AUDIENCE,UNKNOWN,Publicly says it was imprudent and 'j'ai eu tort'.,https://menace-theoriste.fr/masterclass-en-imposture-idriss-aberkane/,STRONG_REPAIR
R200-009,EU DisinfoLab,2020-10-27,Facebook HCQ policy link.,2020-10-28,VISIBLE_EDIT,LOW_MATERIALITY_HIGH_TRANSPARENCY,YES,YES,CURRENT_READERS,Page states it was edited to update the Facebook link; substantive method explicitly models evolving science.,https://www.disinfo.eu/publications/hydroxychloroquine-and-facebook%3A-the-challenge-of-moderating-scientifically-debatable-claims,VISIBLE_EDIT
R200-010,EUvsDisinfo,2020-03/05,Sampled origin entries conflate lab leak and engineering in claim-response fit.,NOT_FOUND,NO_FORMAL_REPAIR_FOUND_IN_SAMPLED_ENTRIES,NONE_FOUND,NO,UNKNOWN,UNKNOWN,"Later institutional work may be more nuanced, but sampled database entries remain methodologically mismatched on current pages.",https://euvsdisinfo.eu/report/covid-19-came-from-a-laboratory/,NO_REPAIR_FOUND
