idpeps;nominstallation;codeeicresourceobject;codeiris;codeinseecommune;commune;codeepci;epci;codedepartement;departement;coderegion;region;codeiriscommuneimplantation;codeinseecommuneimplantation;codes3renr;dateraccordement;datederaccordement;datemiseenservice;datedebutversion;postesource;tensionraccordement;moderaccordement;codefiliere;filiere;codecombustible;combustible;codescombustiblessecondaires;combustiblessecondaires;codetechnologie;technologie;typestockage;puismaxinstallee;puismaxraccharge;puismaxcharge;puismaxrac;puismaxinstalleedischarge;nbgroupes;nbinstallations;regime;energiestockable;capacitereservoir;hauteurchute;productible;debitmaximal;codegestionnaire;gestionnaire;energieannuelleglissanteinjectee;energieannuelleglissanteproduite;energieannuelleglissantesoutiree;energieannuelleglissantestockee;maxpuis;datemiseenservice_date
RTE-COUFFE04000000000000000206;COUFFE04 - ADP 04 DE LA FERME EOLIENNE DE COUFFRAU (MURATEL);17W100P100P0752Z;810230000;81023;Barre;200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;81;Tarn;76;Occitanie;810230000;81023;;28/06/2011;;;02/07/2011;COUFF;225 kV;DIRECT;EOLIE;Eolien;;;;;TERRE;Terrestre;;11500.0;;;11500.0;;5;1;En service;;;;;;10XFR-RTE------Q;RTE;25893276;25893276;;;11500.0;
17X100A100A0001A-30002321572571;Confidentiel;17W000000424012U;810230000;81023;Barre;200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;81;Tarn;76;Occitanie;;81023;;21/02/2007;;21/02/2007;10/07/2023;COUFF;HTA;Direct;EOLIE;Eolien;;;;;TERRE;Terrestre;;15000.0;;;15000.0;;2;1;En service;0.0;0.0;0.0;0.0;0.0;17X100A100A0001A;Enedis;15685680;;;;15000.0;2007-02-21
RTE-COUFFE05000000000000006880;COUFFE05 - ADP 05 DE LA FERME EOLIENNE DE COUFFRAU (PUECH DEL VERT);17W000000013431C;810230000;81023;Barre;200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;81;Tarn;76;Occitanie;810230000;81023;;10/05/2017;;10/05/2017;02/01/2021;COUFF;225 kV;DIRECT;EOLIE;Eolien;;;;;TERRE;Terrestre;;11500.0;;;11500.0;;5;1;En service;;;;;;10XFR-RTE------Q;RTE;24202829;24202829;;;11500.0;2017-05-10
17X100A100A0001A-50091895792197;Confidentiel;17W000000428689P;810230000;81023;Barre;200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;81;Tarn;76;Occitanie;;81023;;15/06/2007;;15/06/2007;10/07/2023;LACAU;HTA;Direct;EOLIE;Eolien;;;;;TERRE;Terrestre;;9000.0;;;9000.0;;2;1;En service;0.0;0.0;0.0;0.0;0.0;17X100A100A0001A;Enedis;5799083;;;;9000.0;2007-06-15
RTE-COUFFE01000000000000000203;COUFFE01 - ADP 01 DE LA FERME EOLIENNE DE COUFFRAU (LA BESSIERE);17W100P100P04570;810230000;81023;Barre;200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;81;Tarn;76;Occitanie;810230000;81023;;28/06/2011;;;30/06/2011;COUFF;225 kV;DIRECT;EOLIE;Eolien;;;;;TERRE;Terrestre;;13800.0;;;13800.0;;6;1;En service;;;;;;10XFR-RTE------Q;RTE;29110541;29110541;;;13800.0;
RTE-COUFFE06000000000000006881;COUFFE06 - ADP 06 DE LA FERME EOLIENNE DE COUFFRAU (BOIS DE MERDELOU);17W0000000134265;810230000;81023;Barre;200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;81;Tarn;76;Occitanie;810230000;81023;;10/05/2017;;10/05/2017;02/01/2021;COUFF;225 kV;DIRECT;EOLIE;Eolien;;;;;TERRE;Terrestre;;16100.0;;;16100.0;;7;1;En service;;;;;;10XFR-RTE------Q;RTE;51570677;51570677;;;16100.0;2017-05-10
RTE-COUFFE03000000000000000205;COUFFE03 - ADP 03 DE LA FERME EOLIENNE DE COUFFRAU (MURASSON);17W100P100P28597;810230000;81023;Barre;200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;81;Tarn;76;Occitanie;810230000;81023;;28/06/2011;;;02/07/2011;COUFF;225 kV;DIRECT;EOLIE;Eolien;;;;;TERRE;Terrestre;;2300.0;;;2300.0;;1;1;En service;;;;;;10XFR-RTE------Q;RTE;5610251;5610251;;;2300.0;
RTE-COUFFE02000000000000000204;COUFFE02 - ADP 02 DE LA FERME EOLIENNE DE COUFFRAU (PUECH DE L HOMME);17W100P100P0834X;810230000;81023;Barre;200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;81;Tarn;76;Occitanie;810230000;81023;;28/06/2011;;;30/06/2011;COUFF;225 kV;DIRECT;EOLIE;Eolien;;;;;TERRE;Terrestre;;16100.0;;;16100.0;;7;1;En service;;;;;;10XFR-RTE------Q;RTE;44185582;44185582;;;16100.0;
17X100A100A0001A-50008972453309;Confidentiel;17W000000414993B;811920000;81192;Murat-sur-Vèbre;200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;81;Tarn;76;Occitanie;;81192;;31/07/2013;;31/07/2013;28/09/2023;COUFF;HTA;Direct;EOLIE;Eolien;;;;;TERRE;Terrestre;;11500.0;;;11500.0;;1;1;En service;0.0;0.0;0.0;0.0;0.0;17X100A100A0001A;Enedis;29468349;;;;11500.0;2013-07-31
17X100A100A0001A-50030824841108;Confidentiel;17W000000044769Q;811920000;81192;Murat-sur-Vèbre;200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;81;Tarn;76;Occitanie;;81192;;31/07/2013;;31/07/2013;01/05/2024;COUFF;HTA;Direct;EOLIE;Eolien;;;;;TERRE;Terrestre;;4600.0;;;4600.0;;1;1;En service;0.0;0.0;0.0;0.0;0.0;17X100A100A0001A;Enedis;12405959;;;;4600.0;2013-07-31
