canonical_no,legacy_no,num_id,slug,url,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url,content_bytes,content_sha256
1,125,212538645,qui-fact-checke-les-fact-checkers,https://giak.substack.com/p/qui-fact-checke-les-fact-checkers,2026-08-25T18:12:46.287Z,true,2026-08-25T18:12:46.669Z,2026-08-25T18:12:46.669Z,newsletter,everyone,🕵️‍♂️ Qui fact-checke les fact-checkers ?,Ce que le Covid révèle de la confiance accordée au label « fact-check »,,178628,8725be5f2777fb38d868dffd29030f8ab45a18e3b1e2619b3a0b974afe2f3521
2,123,212051560,qui-fabrique-lautorite-du-vrai,https://giak.substack.com/p/qui-fabrique-lautorite-du-vrai,2026-08-20T19:18:44.216Z,true,2026-08-20T19:18:44.840Z,2026-08-20T19:18:44.840Z,newsletter,everyone,🔍 Qui fabrique l’autorité du vrai ?,"Quand le fact-checking devient une infrastructure de qualification : sélection, argent, plateformes, certifications, données et réparation.",,145783,c82024043f5dd1872a55d4febffd681ae89a24b2086d6052e3fbdd84361e4b6b
3,124,210245443,limpossible-rassemblement,https://giak.substack.com/p/limpossible-rassemblement,2026-08-09T07:03:22.979Z,true,2026-08-09T07:03:22.440Z,2026-08-09T07:03:22.440Z,newsletter,everyone,🤝 L’Impossible Rassemblement,"Comment le camp de la souveraineté populaire disperse sa force, et ce qu’il faudrait pour la constituer",,60264,376492639a0da4f6fec026046a01d606b02cd5a24487e12fe8d2e7f8e53642c3
4,121,210182384,lingerence-sans-mesure,https://giak.substack.com/p/lingerence-sans-mesure,2026-08-07T08:35:28.700Z,true,2026-08-07T08:35:28.477Z,2026-08-07T08:35:28.477Z,newsletter,everyone,🔍 L’ingérence sans mesure,Enquête : anatomie d’une machine qui s’étend plus vite que la menace qu’elle prétend combattre,,59087,f6af70037f145beca240cc3366f16f665422f4941749d5f08d9f25e674167afc
5,120,209458739,machine,https://giak.substack.com/p/machine,2026-08-02T04:32:14.007Z,true,,,page,everyone,Machine,,,52909,9479baabfae953650556c240caec77a53c1acfb928e84bfd5ba05117daa20ec0
6,119,209222653,du-narratif-a-lingerence-le-seuil,https://giak.substack.com/p/du-narratif-a-lingerence-le-seuil,2026-07-31T10:27:33.648Z,true,2026-07-31T10:27:33.824Z,2026-07-31T10:27:33.824Z,newsletter,everyone,⚖️ Du « narratif » à l’ingérence : le seuil Fedorova,"Une parole contestable, deux arrêtés exécutoires, zéro preuve publiée. Comment l'État a transformé en deux mois une chroniqueuse en « ingérence étrangère ».",,68948,10175600f9b291bf42dc9eee6ae6245a21dd2b91a02e0bb80278b261b0fe4c59
7,118,206399715,le-peuple-nexiste-que-sur-convocation,https://giak.substack.com/p/le-peuple-nexiste-que-sur-convocation,2026-07-30T18:20:05.944Z,true,2026-07-30T18:20:06.287Z,2026-07-30T18:20:06.287Z,newsletter,everyone,🗝 LE PEUPLE N’EXISTE QUE SUR CONVOCATION,Comment la République réserve aux institutions le pouvoir de faire apparaître son souverain.,,39209,6b48fd6ef6eb0736dd102d5c1df0c4d96166aadcdd9aa3973543a9a9639aac84
8,117,208733314,la-fabrique-de-la-menace-comment,https://giak.substack.com/p/la-fabrique-de-la-menace-comment,2026-07-29T06:50:22.038Z,true,2026-07-29T06:50:22.324Z,2026-07-29T06:50:22.324Z,newsletter,everyone,🎬 La fabrique de la menace : comment le documentaire d’Arte transforme une coopération réelle en guerre totale,"Autopsie d'un dispositif de persuasion : six actes, vingt-huit séquences, une destination.",,69989,66c6e050e5bd0559704f39b090b651949078c095db0cb05112caa27c9db76913
9,,206006558,police-francaise-anatomie-dun-systeme,https://giak.substack.com/p/police-francaise-anatomie-dun-systeme,2026-07-10T18:26:31.521Z,true,2026-07-10T18:26:32.116Z,2026-07-10T18:26:32.116Z,newsletter,everyone,🔒 Police française : anatomie d’un système de contrôle à trois étages,"Force publique, police privée, police clandestine : ce que 237 ans d’architecture napoléonienne ont produit",,59815,7bb2c36f767aa051bee3a9f0b1b30302828ba13d5e29a64aa43019558e0f95fd
10,1,205911763,le-verrou-invisible-anatomie-du-ric,https://giak.substack.com/p/le-verrou-invisible-anatomie-du-ric,2026-07-07T18:54:05.090Z,true,2026-07-07T18:54:06.070Z,2026-07-07T18:54:06.070Z,newsletter,everyone,"🔒 Le verrou invisible : anatomie du RIC français, 237 ans d’absence documentée","Pourquoi 65 à 83 % des Français favorables au RIC ne peuvent l’obtenir, ce que la Bavière, Taïwan et la Californie enseignent, et pourquoi la question compte plus que la réponse.",,47043,3050a43d82627a14e3530436a4c36ba705b8b175047d0201ebfe39d859705375
11,2,204390820,larchitecture-de-la-dependance,https://giak.substack.com/p/larchitecture-de-la-dependance,2026-07-01T17:55:50.903Z,true,2026-07-01T17:55:50.768Z,2026-07-01T17:55:50.768Z,newsletter,everyone,⛓️ L’architecture de la dépendance,🪤 ou comment l’ingénierie de la possession a verrouillé la démocratie française,,42934,103bad5dcd06770004d1c5089cd7f38a34197e462c60fb8db878c1c6faede78c
12,3,204169916,le-debat-qui-nexistait-pas-6-mecanismes,https://giak.substack.com/p/le-debat-qui-nexistait-pas-6-mecanismes,2026-06-30T05:53:10.989Z,true,2026-06-30T05:53:10.159Z,2026-06-30T05:53:10.159Z,newsletter,everyone,"🕳️ Le débat qui n’existait pas : 6 mécanismes, un seul récit","Autopsie de 30 minutes de direct : comment BFMTV a transformé un plateau d’« experts » en machine de guerre cognitive, sans que personne ait besoin de donner d’ordres.",,35795,e8ae5b974765ab5dd418ec2a947ed04804528a71343095507edcd84303f52bd3
13,4,203962785,un-geyser-de-6-metres-a-clichy-autopsie,https://giak.substack.com/p/un-geyser-de-6-metres-a-clichy-autopsie,2026-06-28T18:04:31.525Z,true,2026-06-28T18:04:31.561Z,2026-06-28T18:04:31.561Z,newsletter,everyone,🌊 Un geyser de 6 mètres à Clichy : autopsie d’une manipulation sous canicule,"Un geyser de 6 mètres, deux comptes, 5,3 milliards d’euros masqués : ce que les deux tweets du 27 juin ne vous ont pas dit.",,48871,d43714f0b3761eaef23daeace4df4f565f30841b7f7e5729e4f959c8afb12f15
14,5,202848231,lecart-legalitelegitimite-la-signature,https://giak.substack.com/p/lecart-legalitelegitimite-la-signature,2026-06-21T18:01:52.337Z,true,2026-06-21T18:01:52.467Z,2026-06-21T18:01:52.467Z,newsletter,everyone,🔬 L’écart légalité/légitimité : la signature du régime politique français,"26 % de confiance, 57 % d’abstention, 74 % de corruption perçue : et si les citoyens avaient raison ?",,68070,fe0f3912cbafdf64ead6e318a3201a9062396f2c3d1f19893b28d5c89e2ff092
15,6,202607767,le-systeme-informatique-detat-autopsie,https://giak.substack.com/p/le-systeme-informatique-detat-autopsie,2026-06-18T16:51:41.316Z,true,2026-06-18T16:51:41.460Z,2026-06-18T16:51:41.460Z,newsletter,everyone,Le Système informatique d’État : autopsie d’une prédation structurelle,"487 millions d’euros d’amendes, zéro euro pour 43 millions de victimes, 4 à 5 milliards dépensés chaque année sans aucune évaluation d’impact.",,55996,abc3709ddb8bcc69d0fd53ab981a5de4c47a0c2a328c6b01e56c90a41dd319b2
16,7,202002466,eloge-de-la-surface,https://giak.substack.com/p/eloge-de-la-surface,2026-06-15T19:35:03.252Z,true,2026-06-15T19:35:03.496Z,2026-06-15T19:35:03.496Z,newsletter,everyone,⚓ ÉLOGE DE LA SURFACE,Comment devenir indispensable plutôt qu’invisible,,46940,bc1a68c567a90a2abed556c2f52d266929db7888467c8b766af9af0e86a13f78
17,8,201207190,lyhanna-autopsie-dun-systeme-a-deux,https://giak.substack.com/p/lyhanna-autopsie-dun-systeme-a-deux,2026-06-09T05:55:07.266Z,true,2026-06-09T05:55:07.382Z,2026-06-09T05:55:07.382Z,newsletter,everyone,🔬 Lyhanna : autopsie d’un système à deux vitesses,6 mécanismes interconnectés documentent comment la mort d’une enfant de 11 ans était statistiquement inévitable.,,37532,319c8b8aafac024d2f7a3a8005b8621b485570314867411f554367e7383561bb
