section,source_no,citation_count
Ce que le Covid révèle de la confiance accordée au label « fact-check »,1,3
Ce que le Covid révèle de la confiance accordée au label « fact-check »,104,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,2,2
Ce que le Covid révèle de la confiance accordée au label « fact-check »,38,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,41,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,102,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,103,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,40,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,18,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,33,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,45,1
Le label ne désigne pas une fonction unique,31,1
Le label ne désigne pas une fonction unique,72,1
Le label ne désigne pas une fonction unique,77,1
Le label ne désigne pas une fonction unique,75,1
Le label ne désigne pas une fonction unique,76,1
Le label ne désigne pas une fonction unique,73,1
Le label ne désigne pas une fonction unique,74,1
D’abord : le fact-checking est utile sur les faits étroits,20,1
D’abord : le fact-checking est utile sur les faits étroits,23,1
D’abord : le fact-checking est utile sur les faits étroits,21,1
D’abord : le fact-checking est utile sur les faits étroits,22,2
D’abord : le fact-checking est utile sur les faits étroits,9,1
D’abord : le fact-checking est utile sur les faits étroits,10,1
D’abord : le fact-checking est utile sur les faits étroits,12,2
D’abord : le fact-checking est utile sur les faits étroits,14,1
D’abord : le fact-checking est utile sur les faits étroits,37,1
D’abord : le fact-checking est utile sur les faits étroits,47,1
D’abord : le fact-checking est utile sur les faits étroits,48,1
D’abord : le fact-checking est utile sur les faits étroits,49,1
D’abord : le fact-checking est utile sur les faits étroits,50,1
D’abord : le fact-checking est utile sur les faits étroits,51,1
D’abord : le fact-checking est utile sur les faits étroits,64,1
D’abord : le fact-checking est utile sur les faits étroits,65,1
D’abord : le fact-checking est utile sur les faits étroits,69,1
D’abord : le fact-checking est utile sur les faits étroits,70,1
D’abord : le fact-checking est utile sur les faits étroits,71,1
D’abord : le fact-checking est utile sur les faits étroits,19,1
D’abord : le fact-checking est utile sur les faits étroits,46,2
D’abord : le fact-checking est utile sur les faits étroits,45,1
D’abord : le fact-checking est utile sur les faits étroits,33,1
Avant le verdict : ce qui entre dans le radar,30,2
Avant le verdict : ce qui entre dans le radar,52,1
Avant le verdict : ce qui entre dans le radar,53,1
Avant le verdict : ce qui entre dans le radar,54,1
Avant le verdict : ce qui entre dans le radar,66,1
1. Fidélité : répond-on vraiment à la question posée ?,1,1
1. Fidélité : répond-on vraiment à la question posée ?,2,2
Plusieurs experts ne font pas plusieurs preuves,2,2
Plusieurs experts ne font pas plusieurs preuves,112,1
Plusieurs experts ne font pas plusieurs preuves,109,1
Plusieurs experts ne font pas plusieurs preuves,110,2
Plusieurs experts ne font pas plusieurs preuves,111,1
Plusieurs experts ne font pas plusieurs preuves,1,5
Plusieurs experts ne font pas plusieurs preuves,104,1
Plusieurs experts ne font pas plusieurs preuves,105,1
Plusieurs experts ne font pas plusieurs preuves,106,1
Plusieurs experts ne font pas plusieurs preuves,107,1
Plusieurs experts ne font pas plusieurs preuves,108,1
Fidélité : « fabrication » n’est pas « fuite de laboratoire »,78,1
Fidélité : « fabrication » n’est pas « fuite de laboratoire »,79,1
Fidélité : « fabrication » n’est pas « fuite de laboratoire »,113,1
Fidélité : « fabrication » n’est pas « fuite de laboratoire »,80,1
Fidélité : « fabrication » n’est pas « fuite de laboratoire »,81,1
Fidélité : « fabrication » n’est pas « fuite de laboratoire »,82,1
Fidélité : « fabrication » n’est pas « fuite de laboratoire »,83,1
Fidélité : « fabrication » n’est pas « fuite de laboratoire »,84,1
Fidélité : « fabrication » n’est pas « fuite de laboratoire »,94,1
Fidélité : « fabrication » n’est pas « fuite de laboratoire »,95,1
Fidélité : « fabrication » n’est pas « fuite de laboratoire »,85,1
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",3,2
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",63,2
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",4,2
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",5,2
