decision_id,date,subject,decision,reason,claim_ids,source_ids,status
DEC-0001,2026-08-16,Epistemic model,Une source n'a pas de grade probatoire absolu; la force est évaluée par relation source↔claim.,"Un dépôt peut prouver l'existence du code sans prouver ROI, production ni auteur exclusif.",,,ACTIVE
DEC-0002,2026-08-16,Skill levels,Supprimer Expert/Avancé/Intermédiaire de la base canonique.,Auto-évaluations non falsifiables; publier les preuves et capacités observables.,CLM-0300;CLM-0301;CLM-0302,SRC-0001,ACTIVE
DEC-0003,2026-08-16,Historical ROI,Bloquer tous les ROI/gains historiques non corroborés des exports publics.,Aucune pièce de mesure/client indépendante collectée dans V0.1.,CLM-0400;CLM-0401;CLM-0402;CLM-0403;CLM-0404;CLM-0405,SRC-0001,ACTIVE
DEC-0004,2026-08-16,Solo authorship,Ne pas écrire « tout construit seul » sans définition et preuve d'attribution.,"GitHub prouve au mieux un historique de contributions; LLM, bibliothèques et aides externes compliquent l'attribution.",CLM-0303,SRC-0001;SRC-0005,ACTIVE
DEC-0005,2026-08-16,MnemoLite metrics,Traiter 199/1570/1893 tests et 29/31 outils comme snapshots temporels jusqu'à preuve de contradiction.,Projet vivant; les valeurs peuvent être exactes à des dates différentes.,CLM-0103;CLM-0104,SRC-0001;SRC-0007,ACTIVE
DEC-0006,2026-08-16,Truth Engine count,Ne pas comparer 1095 « investigations » et 100+ « enquêtes/rapports » avant définition des unités.,"Risque de compter sous-investigations, fichiers, rapports ou dossiers avec des granularités différentes.",CLM-0112,SRC-0001;SRC-0008,ACTIVE
DEC-0007,2026-08-16,Truth Engine prompt-driven,Restreindre « 100% prompt-driven / 0 .py » au sous-système explicitement vérifié; ne jamais l'appliquer au dépôt entier.,La racine du dépôt contient des scripts Python.,CLM-0114,SRC-0001;SRC-0009,ACTIVE
DEC-0008,2026-08-16,MCO lossless,Bloquer « zéro perte sémantique » tant qu'aucun benchmark reproductible n'est enregistré.,Claim absolu de performance.,CLM-0304,SRC-0001,ACTIVE
DEC-0009,2026-08-16,Public positioning,"Considérer l'ancien portfolio comme source historique, pas comme vérité actuelle du positionnement.",Le corpus 2025-2026 documente des travaux IA/agentiques absents de la façade actuelle.,CLM-0001;CLM-0003,SRC-0002;SRC-0005;SRC-0007;SRC-0008,ACTIVE
DEC-0010,2026-08-16,Commercial proof model,"Séparer preuve de fabrication, preuve d'utilisation et preuve de valeur.",Les dépôts récents établissent surtout la fabrication; usage client et ROI IA restent peu documentés.,CLM-0306,SRC-0005;SRC-0007;SRC-0008;SRC-0012;SRC-0013,ACTIVE
