edge_id,claim_id,source_id,relation,directness,scope,independence_group,notes
EDG-0001,CLM-0001,SRC-0002,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0002,CLM-0002,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0003,CLM-0003,SRC-0002,SUPPORTS,contextual,current public positioning,GIACOMEL_SELF,
EDG-0004,CLM-0003,SRC-0005,SUPPORTS,contextual,2025-2026 repository activity,GITHUB_PLATFORM,
EDG-0005,CLM-0003,SRC-0004,SUPPORTS,contextual,2026 research/Truth Engine activity,GIACOMEL_SELF,
EDG-0006,CLM-0010,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0007,CLM-0011,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0008,CLM-0012,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0009,CLM-0013,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0010,CLM-0014,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0011,CLM-0015,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0012,CLM-0016,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0013,CLM-0017,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0014,CLM-0018,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0015,CLM-0019,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0016,CLM-0020,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0017,CLM-0021,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0018,CLM-0022,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0019,CLM-0023,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0020,CLM-0024,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0021,CLM-0025,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0022,CLM-0026,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0023,CLM-0027,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0024,CLM-0028,SRC-0003,SUPPORTS,direct,,GIACOMEL_SELF,
EDG-0025,CLM-0021,SRC-0001,PARTIALLY_SUPPORTS,secondary-self,"Summary repeats the claim; same originator, no independence.",GIACOMEL_SELF,
