source_id,title,type,originator,publisher,created_at,captured_at,uri,sha256,contemporary,public,confidentiality,independence_group,notes
SRC-0001,Résumé professionnel fourni le 16/08/2026,SELF_AUTHORED_SUMMARY,Christophe Giacomel,User-provided,2026-08-16,2026-08-16,evidence/input/professional_summary_2026-08-16.md,144682c2fa1ecc57a9279cce4994fca03c21acfad7bedf8ff638e31b68846d37,mixed,no,private,GIACOMEL_SELF,Source autobiographique de départ. Ne constitue pas une corroboration indépendante.
SRC-0002,Portfolio — page d'accueil,PORTFOLIO_PAGE,Christophe Giacomel,GitLab Pages,,2026-08-16,https://giak.gitlab.io/portfolio/,,current-page,yes,public,GIACOMEL_SELF,Titre public actuel: Architecte Web Senior JavaScript/TypeScript.
SRC-0003,CV public Christophe Giacomel,CV,Christophe Giacomel,GitLab Pages,,2026-08-16,https://giak.gitlab.io/cv/,,retrospective,yes,public,GIACOMEL_SELF,Chronologie professionnelle auto-documentée jusqu'à décembre 2024.
SRC-0004,Résistance Cognitive — À propos,AUTHOR_PAGE,Christophe Giacomel,Substack,,2026-08-16,https://giak.substack.com/about,,current-page,yes,public,GIACOMEL_SELF,"Décrit Truth Engine, la méthode éditoriale et des volumes de production."
SRC-0005,GitHub connecté — liste de dépôts giak,REPOSITORY_INDEX,GitHub,GitHub,,2026-08-16,https://github.com/giak?tab=repositories,,current,mixed,mixed,GITHUB_PLATFORM,"Observation de dépôts accessibles via le connecteur. Prouve l'existence/visibilité des dépôts, pas l'auteur exclusif ni l'usage en production."
SRC-0006,GitHub — giak/mnemo-lite metadata,REPOSITORY_METADATA,GitHub,GitHub,2025-04-24,2026-08-16,https://github.com/giak/mnemo-lite,,current,yes,public,GITHUB_PLATFORM,"Métadonnées GitHub: dépôt public, langage principal Python, activité jusqu'au 08/08/2026."
SRC-0007,MnemoLite README current,REPOSITORY_DOCUMENTATION,giak repository,GitHub,,2026-08-16,https://github.com/giak/mnemo-lite/blob/main/README.md,289f9454f3795338b9b4bb0cbfad4db8a4aa73ba,current,yes,public,GIACOMEL_SELF,"README courant: 1893 tests déclarés, 31 outils MCP, ~39 700 mémoires, 13 pages UI."
SRC-0008,Truth Engine README current,REPOSITORY_DOCUMENTATION,giak repository,GitHub,,2026-08-16,https://github.com/giak/Truth-engine/blob/main/README.md,dedf5a434e37f85c7740b1cc26e3a5f4677990c1,current,yes,public,GIACOMEL_SELF,README courant: système d'analyse cognitive/production éditoriale; 100+ enquêtes/rapports; export Substack indiqué à 86.
SRC-0009,Truth Engine root contents,REPOSITORY_TREE,GitHub,GitHub,,2026-08-16,https://github.com/giak/Truth-engine,,current,yes,public,GITHUB_PLATFORM,"Arborescence racine observée: articles, investigations, docs, outils/scripts et fichiers Python au niveau du dépôt."
SRC-0010,Expanse README current,REPOSITORY_DOCUMENTATION,giak repository,GitHub,,2026-08-16,https://github.com/giak/expanse/blob/main/README.md,2e680232b2ec7a2a1d05d8642ae8654e23c71176,current,yes,public,GIACOMEL_SELF,README décrit EXPANSE comme Cognitive Operating System et documente le Flux Vital.
SRC-0011,Expanse repository contents,REPOSITORY_TREE,GitHub,GitHub,,2026-08-16,https://github.com/giak/expanse,,current,yes,public,GITHUB_PLATFORM,"Arborescence observée: KERNEL.md, dashboard, docs, runtime, skills, v16, cortex."
SRC-0012,CV Generator README current,REPOSITORY_DOCUMENTATION,giak repository,GitHub,2025-03-10,2026-08-16,https://github.com/giak/cv-generator/blob/main/README.md,,current,yes,public,GIACOMEL_SELF,"Projet actif Vue 3/TypeScript, Clean Architecture, JSON Resume, i18n FR/EN."
SRC-0013,RéseauRacine README current,REPOSITORY_DOCUMENTATION,giak repository,GitHub,,2026-08-16,https://github.com/giak/reseau-racine/blob/main/README.md,5c0442254f7ccb7ceaa67d1bbb58679822c7617d,current,yes,public,GIACOMEL_SELF,"Projet Rust/Nostr de messagerie chiffrée; décrit NIP-17/NIP-44, cellules, Sender Keys, Docker et tests."
SRC-0014,GitHub — giak/solarstack existence,REPOSITORY_METADATA,GitHub,GitHub,,2026-08-16,https://github.com/giak/solarstack,,current,yes,public,GITHUB_PLATFORM,Dépôt public observé dans la liste GitHub connectée. Ne prouve pas les métriques de production SolarStack.
SRC-0015,GitHub — giak/design-patterns-typescript existence,REPOSITORY_METADATA,GitHub,GitHub,,2026-08-16,https://github.com/giak/design-patterns-typescript,,current,yes,public,GITHUB_PLATFORM,Dépôt public observé; appuie une production technique/pédagogique mais pas un nombre exact d'articles.
