id,title,type,truth_engine,renard,report_file,source_class,size_bytes
INV-001,"Audit d’intégrité du corpus Substack : manifest, doublons, absents, versions, contradictions index/CSV/HTML",STRUCTURAL,N/A_STRUCTURAL,NO,01_INVESTIGATIONS/INV-001.md,checkpoint_2026-09-07,2900
INV-002,"Cartographie des articles : faits établis, hypothèses, claims forts, réfutations, gaps, acteurs, flux, mécanismes",STRUCTURAL,N/A_CORPUS_MAPPING,NO,01_INVESTIGATIONS/INV-002.md,checkpoint_2026-09-07,12301
INV-003,"Taxonomie générale du pouvoir d’influence : persuasion, lobbying, propagande, manipulation, astroturfing, capture, corruption, coercition, ingérence, subversion, psyops",CONTROL_SPEC,N/A_METHOD,N/A_METHOD,01_INVESTIGATIONS/INV-003.md,checkpoint_2026-09-07,14663
INV-004,Échelle probatoire de l’influence : intérêt → capacité → accès → action → coordination → exposition → persuasion → comportement → impact,CONTROL_SPEC,N/A_METHOD,N/A_METHOD,01_INVESTIGATIONS/INV-004.md,checkpoint_2026-09-07,14663
INV-005,"Mesurer réellement l’effet d’une opération d’influence : contrefactuels, causalité, attribution, exposition, persuasion, changement électoral",CONTROL_SPEC,N/A_METHOD,N/A_METHOD,01_INVESTIGATIONS/INV-005.md,checkpoint_2026-09-07,14663
INV-006,Source officielle et vérité : valeur des sources primaires sans privilège automatique de véracité interprétative,CONTROL_SPEC,N/A_METHOD,N/A_METHOD,01_INVESTIGATIONS/INV-006.md,checkpoint_2026-09-07,14663
INV-007,Méthodologie anti-faux-complot : réseau ≠ coordination ; financeur ≠ commanditaire ; convergence ≠ planification ; corrélation ≠ causalité,CONTROL_SPEC,N/A_METHOD,N/A_METHOD,01_INVESTIGATIONS/INV-007.md,checkpoint_2026-09-07,14663
INV-008,"Contre-théories obligatoires : pluralisme, capture sectorielle, réseaux, émergence sans chef, coordinations ponctuelles, architecture cohérente",CONTROL_SPEC,N/A_METHOD,N/A_METHOD,01_INVESTIGATIONS/INV-008.md,checkpoint_2026-09-07,14663
INV-010,"CIA et élections étrangères : Italie, Chili et autres cas documentés ; techniques, argent, médias, partis, résultats",PRIMARY,DELIVERY_PASS_R2A2,CLOSED_NO_FURTHER_MATERIAL_DELTA,01_INVESTIGATIONS/INV-010.md,checkpoint_2026-09-07,83084
INV-019,"États-Unis : architecture publique de promotion de la démocratie — State Department, USAID, NED, USAGM, médias/société civile/élections",PRIMARY,DELIVERY_PASS_R2A2,NO,01_INVESTIGATIONS/INV-019.md,checkpoint_2026-09-07,42635
INV-022,"Russie : opérations d’influence visant la France — acteurs, infrastructures, campagnes, audiences, impacts réels",PRIMARY,DELIVERY_PASS_R3,NO,01_INVESTIGATIONS/INV-022.md,checkpoint_2026-09-07,100983
INV-023,"Russie : financement, contacts et relations avec partis/mouvements européens",CASE,DELIVERY_PASS_R3P1,NO,01_INVESTIGATIONS/INV-023.md,checkpoint_2026-09-07,93653
