id,workstream,title,status,priority,type,mode,coverage,utility,dependencies,parent,merged_into,gate,object_question,scope,corpus_refs,truth_engine,renard,result_path,next_action
INV-001,W0,"Audit d’intégrité du corpus Substack : manifest, doublons, absents, versions, contradictions index/CSV/HTML",CLOSED,P0,STRUCTURAL,N/A,SUBSTANTIAL_PRIOR,HIGH,,,,NONE,,,,N/A_STRUCTURAL,NO,INV-001/INV-001-R1_REPLAY.md,NONE — CLOSED/PASS.
INV-002,W0,"Cartographie des articles : faits établis, hypothèses, claims forts, réfutations, gaps, acteurs, flux, mécanismes",CLOSED,P0,STRUCTURAL,N/A,SUBSTANTIAL_PRIOR,HIGH,INV-001,,,NONE,,,,N/A_CORPUS_MAPPING,NO,INV-002/INV-002_REPORT.md,NONE — CLOSED/PASS.
INV-003,W0,"Taxonomie générale du pouvoir d’influence : persuasion, lobbying, propagande, manipulation, astroturfing, capture, corruption, coercition, ingérence, subversion, psyops",CLOSED,P0,CONTROL_SPEC,N/A_METHOD,PARTIAL,HIGH,,,,NONE,,,A082:183123537.lempire-du-mensonge-rapport-dautopsie;A008:208733314.la-fabrique-de-la-menace-comment;A004:210182384.lingerence-sans-mesure;A091:181572197.lindustrie-de-linfluence-enquete,N/A_METHOD,N/A_METHOD,METHOD_PACK/METHOD_PACK.md,NONE — CLOSED by METHOD_PACK.
INV-004,W0,Échelle probatoire de l’influence : intérêt → capacité → accès → action → coordination → exposition → persuasion → comportement → impact,CLOSED,P0,CONTROL_SPEC,N/A_METHOD,PARTIAL,HIGH,,,,NONE,,,A004:210182384.lingerence-sans-mesure;A006:209222653.du-narratif-a-lingerence-le-seuil;A002:212051560.qui-fabrique-lautorite-du-vrai;A008:208733314.la-fabrique-de-la-menace-comment,N/A_METHOD,N/A_METHOD,METHOD_PACK/METHOD_PACK.md,NONE — CLOSED by METHOD_PACK.
INV-005,W0,"Mesurer réellement l’effet d’une opération d’influence : contrefactuels, causalité, attribution, exposition, persuasion, changement électoral",CLOSED,P0,CONTROL_SPEC,N/A_METHOD,PARTIAL,HIGH,,,,NONE,,,A004:210182384.lingerence-sans-mesure;A002:212051560.qui-fabrique-lautorite-du-vrai;A013:203962785.un-geyser-de-6-metres-a-clichy-autopsie,N/A_METHOD,N/A_METHOD,METHOD_PACK/METHOD_PACK.md,NONE — CLOSED by METHOD_PACK.
INV-006,W0,Source officielle et vérité : valeur des sources primaires sans privilège automatique de véracité interprétative,CLOSED,P0,CONTROL_SPEC,N/A_METHOD,SUBSTANTIAL_PRIOR,HIGH,,,,NONE,,,A001:212538645.qui-fact-checke-les-fact-checkers;A002:212051560.qui-fabrique-lautorite-du-vrai;A004:210182384.lingerence-sans-mesure;A006:209222653.du-narratif-a-lingerence-le-seuil;A118:180054346.kallas-et-les-19-pays-ce-que-les,N/A_METHOD,N/A_METHOD,METHOD_PACK/METHOD_PACK.md,NONE — CLOSED by METHOD_PACK.
INV-007,W0,Méthodologie anti-faux-complot : réseau ≠ coordination ; financeur ≠ commanditaire ; convergence ≠ planification ; corrélation ≠ causalité,CLOSED,P0,CONTROL_SPEC,N/A_METHOD,PARTIAL,HIGH,,,,NONE,,,A002:212051560.qui-fabrique-lautorite-du-vrai;A004:210182384.lingerence-sans-mesure;A055:192483249.ce-nest-pas-du-satanisme-cest-une;A068:187674415.le-triangle-de-la-capture-le-mecanisme,N/A_METHOD,N/A_METHOD,METHOD_PACK/METHOD_PACK.md,NONE — CLOSED by METHOD_PACK.
INV-008,W0,"Contre-théories obligatoires : pluralisme, capture sectorielle, réseaux, émergence sans chef, coordinations ponctuelles, architecture cohérente",CLOSED,P0,CONTROL_SPEC,N/A_METHOD,PARTIAL,HIGH,,,,NONE,,,A014:202848231.lecart-legalitelegitimite-la-signature;A039:198659211.opposition-controlee-anatomie-dun;A068:187674415.le-triangle-de-la-capture-le-mecanisme;A082:183123537.lempire-du-mensonge-rapport-dautopsie,N/A_METHOD,N/A_METHOD,METHOD_PACK/METHOD_PACK.md,NONE — CLOSED by METHOD_PACK.
INV-009,W1,"Généalogie de la propagande démocratique moderne : Bernays, relations publiques, publicité politique, État, industrie",BACKLOG,P1,PRIMARY,DEEPEN,PARTIAL,HIGH,,,,PILOT_VALIDATED,,,A082:183123537.lempire-du-mensonge-rapport-dautopsie;A071:186904003.larchitecture-de-la-censure-europeenne,NOT_RUN,UNDECIDED,,"Pilote validé. Au prochain cycle, reclasser via CORE_MISSION_GATE puis model_change > discrimination > dependency_unlock > coverage_gap > utility. Ne pas pré-sélectionner hors d’un artefact de reclassification courant."
INV-010,W1,"CIA et élections étrangères : Italie, Chili et autres cas documentés ; techniques, argent, médias, partis, résultats",CLOSED,P1,PRIMARY,DEEPEN,PARTIAL,HIGH,,,,NONE,"Dans quels cas historiquement documentés les États-Unis, notamment via la CIA, ont-ils matériellement tenté d’influencer des élections étrangères, par quels mécanismes, et jusqu’à quel niveau I0..I7 les effets sont-ils démontrables ?","Focaliser 1945–1975, avec Italie 1948 et Chili 1964/1970 comme cas principaux. Ajouter d’autres cas seulement si une documentation primaire/quasi-primaire apporte un discriminant. Distinguer influence électorale, déstabilisation et changement de régime ; ne pas extrapoler aux opérations contemporaines.",A118:180054346.kallas-et-les-19-pays-ce-que-les;A082:183123537.lempire-du-mensonge-rapport-dautopsie,DELIVERY_PASS_R2A2,CLOSED_NO_FURTHER_MATERIAL_DELTA,INV-010_RUN_HANDOFF.md,CLOSED — pilot reviewed; targeted RENARD closed.
