source_no,citation_count_body,used,category
1,9,YES,"Spike, biodistribution et allaitement"
2,6,YES,"Spike, biodistribution et allaitement"
3,2,YES,"Spike, biodistribution et allaitement"
4,3,YES,"Spike, biodistribution et allaitement"
5,2,YES,"Spike, biodistribution et allaitement"
6,1,YES,"Spike, biodistribution et allaitement"
7,4,YES,Grossesse
8,2,YES,Grossesse
9,1,YES,Grossesse
10,2,YES,Grossesse
11,1,YES,Grossesse
12,5,YES,Grossesse
13,4,YES,Grossesse
14,4,YES,Grossesse
15,4,YES,"Transmission, passe et « ×12 »"
16,1,YES,"Transmission, passe et « ×12 »"
17,1,YES,"Transmission, passe et « ×12 »"
18,2,YES,"Transmission, passe et « ×12 »"
19,3,YES,"Transmission, passe et « ×12 »"
20,1,YES,"Transmission, passe et « ×12 »"
21,2,YES,"Transmission, passe et « ×12 »"
22,3,YES,"Transmission, passe et « ×12 »"
23,1,YES,"Transmission, passe et « ×12 »"
24,1,YES,"Transmission, passe et « ×12 »"
25,1,YES,"Transmission, passe et « ×12 »"
26,1,YES,"Transmission, passe et « ×12 »"
27,2,YES,"Transmission, passe et « ×12 »"
28,3,YES,"Origine, sélection et standards"
29,1,YES,"Origine, sélection et standards"
30,2,YES,"Origine, sélection et standards"
31,3,YES,"Origine, sélection et standards"
32,2,YES,"Origine, sélection et standards"
33,2,YES,Continuité éditoriale et tests adversariaux
34,1,YES,Continuité éditoriale et tests adversariaux
35,1,YES,Continuité éditoriale et tests adversariaux
36,3,YES,Continuité éditoriale et tests adversariaux
37,1,YES,Autre vérification étroite conservée comme contre-preuve
38,2,YES,Cadre juridique et matériel du choix Covid
39,1,YES,Cadre juridique et matériel du choix Covid
40,1,YES,Cadre juridique et matériel du choix Covid
41,2,YES,Cadre juridique et matériel du choix Covid
42,1,YES,"Correction, influence persistante et réparation"
43,1,YES,"Correction, influence persistante et réparation"
44,1,YES,"Correction, influence persistante et réparation"
45,2,YES,Saturation informationnelle et répétition
46,2,YES,Saturation informationnelle et répétition
47,1,YES,Efficacité du fact-checking : résultats favorables et limites
48,1,YES,Efficacité du fact-checking : résultats favorables et limites
49,1,YES,Efficacité du fact-checking : résultats favorables et limites
50,1,YES,Efficacité du fact-checking : résultats favorables et limites
51,1,YES,Efficacité du fact-checking : résultats favorables et limites
52,1,YES,Sélection et agenda : comparaisons et contrepoints
53,1,YES,Sélection et agenda : comparaisons et contrepoints
54,1,YES,Sélection et agenda : comparaisons et contrepoints
55,1,YES,Communication de l’incertitude et calibration
56,1,YES,Communication de l’incertitude et calibration
57,1,YES,Communication de l’incertitude et calibration
58,1,YES,Correction de la désinformation : compléments méta-analytiques
59,1,YES,Correction de la désinformation : compléments méta-analytiques
60,1,YES,Données internes de l’enquête citées dans le corps
61,1,YES,Données internes de l’enquête citées dans le corps
62,1,YES,Complément de chronologie Castex
63,2,YES,"Consolidation forensique : label, sélection et réparation"
64,1,YES,"Consolidation forensique : label, sélection et réparation"
65,1,YES,"Consolidation forensique : label, sélection et réparation"
66,1,YES,"Consolidation forensique : label, sélection et réparation"
67,1,YES,"Consolidation forensique : label, sélection et réparation"
68,1,YES,"Consolidation forensique : label, sélection et réparation"
69,1,YES,"Consolidation forensique : label, sélection et réparation"
70,1,YES,"Consolidation forensique : label, sélection et réparation"
71,1,YES,"Consolidation forensique : label, sélection et réparation"
72,2,YES,Frontières du label et acteurs hybrides
73,1,YES,Frontières du label et acteurs hybrides
74,1,YES,Frontières du label et acteurs hybrides
75,1,YES,Frontières du label et acteurs hybrides
76,2,YES,Frontières du label et acteurs hybrides
77,1,YES,Frontières du label et acteurs hybrides
78,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
79,2,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
80,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
81,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
82,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
83,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
84,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
85,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
86,2,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
87,2,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
88,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
89,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
90,4,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
91,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
92,2,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
93,2,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
94,2,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
95,2,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
96,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
97,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
98,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
99,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
100,1,YES,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation"
