source_no,category,source_entry,urls,citation_calls
1,"Spike, biodistribution et allaitement","*AFP Factuel*, Ryan Cole / Spike, 28 septembre 2021 : https://factuel.afp.com/doc.afp.com.9NL9D6",https://factuel.afp.com/doc.afp.com.9NL9D6,9
2,"Spike, biodistribution et allaitement","Ogata A. et al., *Clinical Infectious Diseases*, publication en ligne le 20 mai 2021, volume 74 (2022) : https://academic.oup.com/cid/article/74/4/715/6279075",https://academic.oup.com/cid/article/74/4/715/6279075,6
3,"Spike, biodistribution et allaitement","*AFP Factuel*, Byram Bridle / lait maternel, 18 juin 2021, mise à jour 29 juin : https://factuel.afp.com/doc.afp.com.9CE9N2",https://factuel.afp.com/doc.afp.com.9CE9N2,2
4,"Spike, biodistribution et allaitement","Golan Y. et al., prépublication *medRxiv*, rendue publique le 8 mars 2021, non-détection d’ARNm vaccinal dans les échantillons de lait analysés de 4 à 48 h après vaccination : https://www.medrxiv.org/content/10.1101/2021.03.05.21252998v1",https://www.medrxiv.org/content/10.1101/2021.03.05.21252998v1,3
5,"Spike, biodistribution et allaitement","Golan Y. et al., *JAMA Pediatrics*, publication en ligne le 6 juillet 2021, 7 participantes / 13 échantillons sans ARNm vaccinal détecté : https://jamanetwork.com/journals/jamapediatrics/fullarticle/2781679",https://jamanetwork.com/journals/jamapediatrics/fullarticle/2781679,2
6,"Spike, biodistribution et allaitement","Hanna N. et al., *JAMA Pediatrics*, 2022 : https://jamanetwork.com/journals/jamapediatrics/fullarticle/2796427",https://jamanetwork.com/journals/jamapediatrics/fullarticle/2796427,1
7,Grossesse,"ANSM, CSP « Reproduction, grossesse et allaitement », 2 février 2021 : https://ansm.sante.fr/uploads/2021/10/01/20210202-cr-csp-rga.pdf",https://ansm.sante.fr/uploads/2021/10/01/20210202-cr-csp-rga.pdf,4
8,Grossesse,"ANSM, CSP « Reproduction, grossesse et allaitement », séance du 7 décembre 2021 : https://ansm.sante.fr/uploads/2022/02/28/20211207-cr-csp-rga.pdf",https://ansm.sante.fr/uploads/2022/02/28/20211207-cr-csp-rga.pdf,2
9,Grossesse,"*AFP Factuel*, « Non, 50% des femmes enceintes vaccinées avec Pfizer en France n’ont pas fait une fausse couche », 1er juin 2021 : https://factuel.afp.com/non-50-des-femmes-enceintes-vaccinees-avec-pfizer-en-france-nont-pas-fait-une-fausse-couche",https://factuel.afp.com/non-50-des-femmes-enceintes-vaccinees-avec-pfizer-en-france-nont-pas-fait-une-fausse-couche,1
10,Grossesse,"*Les Décodeurs*, 6 mai 2022 : https://www.lemonde.fr/les-decodeurs/article/2022/05/06/efficacite-de-12-de-1-deconseille-aux-femmes-enceintes-les-trois-nouvelles-infox-sur-le-vaccin-de-pfizer_6125036_4355770.html",https://www.lemonde.fr/les-decodeurs/article/2022/05/06/efficacite-de-12-de-1-deconseille-aux-femmes-enceintes-les-trois-nouvelles-infox-sur-le-vaccin-de-pfizer_6125036_4355770.html,2
11,Grossesse,"EPI-PHARE, malformations congénitales majeures après exposition au premier trimestre, 2025 : https://www.epi-phare.fr/rapports-detudes-et-publications/vaccination-covid19-grossesse-malformations/",https://www.epi-phare.fr/rapports-detudes-et-publications/vaccination-covid19-grossesse-malformations/,1
12,Grossesse,"*FactCheck.org*, grossesse, 15 juillet 2021, avec corrections ultérieures : https://www.factcheck.org/2021/07/cdc-data-thus-far-show-covid-19-vaccination-safe-during-pregnancy/",https://www.factcheck.org/2021/07/cdc-data-thus-far-show-covid-19-vaccination-safe-during-pregnancy/,5
13,Grossesse,"ANSM, page « Covid-19 : vaccins et femmes enceintes » : capture archivée du 31 mai 2021, https://web.archive.org/web/20210531120803/https://ansm.sante.fr/dossiers-thematiques/covid-19-vaccins-et-femmes-enceintes ; version actuelle, https://ansm.sante.fr/dossiers-thematiques/covid-19-vaccins-et-femmes-enceintes",https://web.archive.org/web/20210531120803/https://ansm.sante.fr/dossiers-thematiques/covid-19-vaccins-et-femmes-enceintes | https://ansm.sante.fr/dossiers-thematiques/covid-19-vaccins-et-femmes-enceintes,4
14,Grossesse,"*New England Journal of Medicine*, correction de « Preliminary Findings of mRNA Covid-19 Vaccine Safety in Pregnant Persons », publiée en ligne le 8 septembre 2021, numéro du 14 octobre 2021 : https://www.nejm.org/doi/full/10.1056/NEJMx210016",https://www.nejm.org/doi/full/10.1056/NEJMx210016,4
15,"Transmission, passe et « ×12 »","Bosetti et al., prépublication Pasteur v1, 28 juin 2021 : https://modelisation-covid19.pasteur.fr/partially-vaccinated-population/Bosetti%20et%20al_Epidemio%20in%20partially%20vaccinated%20pop_2021.06.28-Text%20and%20Supplement-4.pdf",https://modelisation-covid19.pasteur.fr/partially-vaccinated-population/Bosetti%20et%20al_Epidemio%20in%20partially%20vaccinated%20pop_2021.06.28-Text%20and%20Supplement-4.pdf,4
16,"Transmission, passe et « ×12 »","Conseil scientifique Covid-19, avis du 6 juillet actualisé le 8 juillet 2021 : https://www.cesp.sante.gouv.fr/IMG/pdf/avis_conseil_scientifique_6_juillet_2021_actualise_8_juillet_2021.pdf",https://www.cesp.sante.gouv.fr/IMG/pdf/avis_conseil_scientifique_6_juillet_2021_actualise_8_juillet_2021.pdf,1
17,"Transmission, passe et « ×12 »","HAS, « Covid-19 : adapter la stratégie de vaccination pour faire face au variant delta », 9 juillet 2021 : https://www.has-sante.fr/jcms/p_3276955/fr/covid-19-adapter-la-strategie-de-vaccination-pour-faire-face-au-variant-delta",https://www.has-sante.fr/jcms/p_3276955/fr/covid-19-adapter-la-strategie-de-vaccination-pour-faire-face-au-variant-delta,1
18,"Transmission, passe et « ×12 »","Élysée, « Adresse aux Français », 12 juillet 2021 : https://www.elysee.fr/emmanuel-macron/2021/07/12/adresse-aux-francais-12-juillet-2021",https://www.elysee.fr/emmanuel-macron/2021/07/12/adresse-aux-francais-12-juillet-2021,2
19,"Transmission, passe et « ×12 »","Yahoo Actualités, analyse critique du « ×12 », 23 juillet 2021 : https://fr.news.yahoo.com/covid-19-vaccination-reduit-elle-par-12-risque-contamination-135540814.html",https://fr.news.yahoo.com/covid-19-vaccination-reduit-elle-par-12-risque-contamination-135540814.html,3
20,"Transmission, passe et « ×12 »","*AFP Factuel*, Blanquer / transmission, 28 juillet 2021 : https://factuel.afp.com/doc.afp.com.9H374M",https://factuel.afp.com/doc.afp.com.9H374M,1
