id,title,type,truth_engine,renard,package_class,result_path
INV-001,"Audit d’intégrité du corpus Substack : manifest, doublons, absents, versions, contradictions index/CSV/HTML",STRUCTURAL,N/A_STRUCTURAL,NO,STRUCTURAL_FULL,INV-001/INV-001-R1_REPLAY.md
INV-002,"Cartographie des articles : faits établis, hypothèses, claims forts, réfutations, gaps, acteurs, flux, mécanismes",STRUCTURAL,N/A_CORPUS_MAPPING,NO,STRUCTURAL_FULL,INV-002/INV-002_REPORT.md
INV-003,"Taxonomie générale du pouvoir d’influence : persuasion, lobbying, propagande, manipulation, astroturfing, capture, corruption, coercition, ingérence, subversion, psyops",CONTROL_SPEC,N/A_METHOD,N/A_METHOD,METHOD_PACK_CANONICAL,METHOD_PACK/METHOD_PACK.md
INV-004,Échelle probatoire de l’influence : intérêt → capacité → accès → action → coordination → exposition → persuasion → comportement → impact,CONTROL_SPEC,N/A_METHOD,N/A_METHOD,METHOD_PACK_CANONICAL,METHOD_PACK/METHOD_PACK.md
INV-005,"Mesurer réellement l’effet d’une opération d’influence : contrefactuels, causalité, attribution, exposition, persuasion, changement électoral",CONTROL_SPEC,N/A_METHOD,N/A_METHOD,METHOD_PACK_CANONICAL,METHOD_PACK/METHOD_PACK.md
INV-006,Source officielle et vérité : valeur des sources primaires sans privilège automatique de véracité interprétative,CONTROL_SPEC,N/A_METHOD,N/A_METHOD,METHOD_PACK_CANONICAL,METHOD_PACK/METHOD_PACK.md
INV-007,Méthodologie anti-faux-complot : réseau ≠ coordination ; financeur ≠ commanditaire ; convergence ≠ planification ; corrélation ≠ causalité,CONTROL_SPEC,N/A_METHOD,N/A_METHOD,METHOD_PACK_CANONICAL,METHOD_PACK/METHOD_PACK.md
INV-008,"Contre-théories obligatoires : pluralisme, capture sectorielle, réseaux, émergence sans chef, coordinations ponctuelles, architecture cohérente",CONTROL_SPEC,N/A_METHOD,N/A_METHOD,METHOD_PACK_CANONICAL,METHOD_PACK/METHOD_PACK.md
INV-010,"CIA et élections étrangères : Italie, Chili et autres cas documentés ; techniques, argent, médias, partis, résultats",PRIMARY,DELIVERY_PASS_R2A2,CLOSED_NO_FURTHER_MATERIAL_DELTA,LEGACY_CERTIFIED_BUNDLE_R2A2,INV-010_RUN_HANDOFF.md
INV-019,"États-Unis : architecture publique de promotion de la démocratie — State Department, USAID, NED, USAGM, médias/société civile/élections",PRIMARY,DELIVERY_PASS_R2A2,NO,LEGACY_CERTIFIED_BUNDLE_R2A2,INV-019_RUN_HANDOFF.md
