publisher,title,url,role,use
HATVP,ELNET France,https://www.hatvp.fr/fiche-organisation/?organisation=531006237,PRIMARY,"Lobbying, spend, FTE, own-account"
Assemblée nationale,Voyages XVIIe législature,https://www.assemblee-nationale.fr/dyn/opendata/RINFANR5L17B2466.html,PRIMARY,82 invitations; 38 ELNET
Israeli procurement,ELNET Europe-Israel / Sénat,https://mr.gov.il/ilgstorefront/en/p/4000606739,PRIMARY,"MFA €72k, 10 Nov 2025"
HATVP,CRIF,https://www.hatvp.fr/fiche-organisation/?organisation=411704430,PRIMARY,"Policy suggestions, hearings, spend"
HATVP,AJC France,https://www.hatvp.fr/fiche-organisation/?organisation=H547365010,PRIMARY,Institutional access; spend
EIC,Israel Files,https://eic.network/projects/israel-files.html,INVESTIGATIVE_META,>2m MoJ docs; lawfare
Assemblée nationale,Dépêche Justice 20 Oct 2020,https://www.assemblee-nationale.fr/dyn/contenu/visualisation/1094898/file/Annales%2BCEAA_2022_v2.pdf,PRIMARY,Official BDS dispatch
CEDH,Baldassi et autres c. France,https://hudoc.echr.coe.int/app/conversion/docx/html/body?id=001-202756&library=ECHR,PRIMARY,11 Jun 2020 judgment
Assemblée nationale,Réponse gouvernement Baldassi,https://questions.assemblee-nationale.fr/q15/15-35917QE.htm,PRIMARY,Rationale for dispatch
ProPublica/IRS,Friends of ELNET,https://projects.propublica.org/nonprofits/organizations/452212393,PRIMARY_DERIVED,990 financials/schedules
Parlement européen,Commission answer E-004904/2025,https://www.europarl.europa.eu/doceo/document/E-10-2025-004904-ASW_EN.html,PRIMARY,Commission/EEAS-ELNET access
EU,Transparency Register,https://transparency-register.europa.eu/index_en,PRIMARY,EU lobbying data
HATVP,Influence étrangère,https://www.hatvp.fr/la-haute-autorite/lencadrement-de-linfluence-etrangere/le-repertoire-de-linfluence-etrangere/,PRIMARY,ARGOS regime
Légifrance,Article 18-11,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000050052952,PRIMARY,Foreign mandate threshold
SGDSN/VIGINUM,Rokh Solis,https://www.sgdsn.gouv.fr/viginum/publications/rokh-solis-analyse-dun-mode-operatoire-informationnel-ayant-cible-les,PRIMARY,Blackcore; sponsor unknown
Israeli Embassy France,Press department,https://embassies.gov.il/france/fr/node/2744,PRIMARY,Press access
Israeli Embassy France,Public diplomacy,https://embassies.gov.il/france/fr/the-embassy/departments/diplomatie-publique,PRIMARY,Civil society/social channels
Mediapart,Voyage presse juillet 2025,https://www.mediapart.fr/journal/international/240925/israel-paye-le-voyage-des-journalistes-francais-pour-faire-sa-propagande,INVESTIGATIVE,Paid press trip
Government of Israel,Antisemitism Report 2024,https://www.gov.il/BlobFolder/reports/antisemitism_report_2024/en/anti-semitism_Antisemitism_Report_2024_6.5_en.pdf,PRIMARY,Voices funding
Knesset,Public diplomacy budget 2026,https://main.knesset.gov.il/EN/News/PressReleases/Pages/press13726w.aspx,PRIMARY,~1.2bn NIS
France Diplomatie,Recognition Palestine 22 Sep 2025,https://www.diplomatie.gouv.fr/fr/dossiers-pays/israel-territoires-palestiniens/actualites-et-evenements/2025/article/discours-de-m-emmanuel-macron-president-de-la-republique-a-la-tribune-des,PRIMARY,Negative control
France Diplomatie,11 Jun 2026 press conference,https://www.diplomatie.gouv.fr/fr/presse-et-ressources/decouvrir-et-informer/actualites/conference-de-presse-du-porte-parole-du-11-juin-2026,PRIMARY,Entry bans negative control
