paragraph_id	article_line	section	unit_type	inv_ids	source_ids	public_urls	support_function	reader_source_status	note
P01	5	1. Le mot « ingérence » mélange trop de choses	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P02	7	1. Le mot « ingérence » mélange trop de choses	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P03	9	1. Le mot « ingérence » mélange trop de choses	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P04	11	1. Le mot « ingérence » mélange trop de choses	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P05	13	1. Le mot « ingérence » mélange trop de choses	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P06	17	2. L'histoire prouve les opérations. Elle ne prouve pas l'omnipotence	FACTUAL	INV-011;INV-012;INV-013	S02;S03;S04	https://www.intelligence.senate.gov/wp-content/uploads/2024/08/sites-default-files-94755-i.pdf;https://vault.fbi.gov/cointel-pro;https://www.cia.gov/readingroom/docs/CIA-RDP84B00274R000100040004-8.pdf	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P07	19	2. L'histoire prouve les opérations. Elle ne prouve pas l'omnipotence	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
P08	21	2. L'histoire prouve les opérations. Elle ne prouve pas l'omnipotence	FACTUAL	INV-010	S01	https://www.archives.gov/declassification/iscap/pdf/2010-009	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P09	23	2. L'histoire prouve les opérations. Elle ne prouve pas l'omnipotence	FACTUAL	INV-016	S05;S06	https://www.gao.gov/products/gao-09-993;https://archive-yaleglobal.yale.edu/content/revolution-u	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P10	25	2. L'histoire prouve les opérations. Elle ne prouve pas l'omnipotence	FACTUAL	INV-017	S07;S08	https://www.ftc.gov/news-events/news/press-releases/2019/07/ftc-sues-cambridge-analytica-settles-former-ceo-app-developer;https://www.cambridge.org/core/journals/experimental-results/article/evidence-of-psychological-targeting-but-not-psychological-tailoring-in-political-persuasion-around-brexit/55AFE19E5B1AC95BA4E02DC2DFDF25FC	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P11	27	2. L'histoire prouve les opérations. Elle ne prouve pas l'omnipotence	FACTUAL	INV-013	S09	https://www.intelligence.senate.gov/2020/08/18/publications-report-select-committee-intelligence-united-states-senate-russian-active-measures/	SUPPORT	PASS	Public reader sources local to material proposition; source repetition does not create independent corroboration.
P12	29	2. L'histoire prouve les opérations. Elle ne prouve pas l'omnipotence	SYNTHESIS	A2/A3 support map			SYNTHESIS	SYNTHESIS_TRACE_ONLY	Analytical synthesis; no decorative citation added.
