id,title,status,priority_hint,type,mode,coverage,utility,dependencies,object_question,scope,falsifier,bottleneck
INV-159,Israel Files / BDS : input israélien et dépêche Justice 20-10-2020,BACKLOG_PROPOSED,P0,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,Le ministère israélien de la Justice/MFA et leurs intermédiaires ont-ils transmis un input identifiable qui a contribué matériellement à la dépêche française du 20 octobre 2020 ?,"France/Israël 2019-2021 : DDoSecrets/EIC, emails originaux, mémos, Navacelle, CRIF, réunions Justice/PM, drafts DACG, dépêche finale.",Aucun transfert documentaire/empreinte textuelle ; doctrine entièrement explicable par Baldassi + droit français.,TASKING + POLICY_FOOTPRINT
INV-160,ELNET : topologie financière US–Israël–France/UE,BACKLOG_PROPOSED,P0,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,"Quels flux financent les activités européennes/françaises d'ELNET, avec quelles restrictions et quels donneurs d'ordre ?","IRS 990/Schedules, 990-PF, Friends of ELNET, ELNET Europe-Israel, marchés israéliens, comptes français, HATVP.",Flux non reliables aux opérations France/UE ou financements généraux sans restriction/tasking.,TASKING + MONEY
INV-161,ELNET : voyages parlementaires et effet causal,BACKLOG_PROPOSED,P0,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,"Les voyages financés par ELNET sont-ils suivis d'un changement mesurable de positions publiques, au-delà de l'auto-sélection ?","France 2017-2026 : voyages, participants, discours/QE/amendements/votes avant-après, contrôles appariés.",Aucune différence robuste ; positions préexistantes expliquent les voyages.,EFFECT
INV-162,Voices of Israel / financements publics vers société civile,BACKLOG_PROPOSED,P1,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,Quels bénéficiaires et projets France/UE reçoivent des fonds israéliens de diplomatie publique et quels livrables sont exigés ?,"Israël 2023-2026 + France/UE : calls, contrats, bénéficiaires, livrables, montants.",Aucun bénéficiaire France/UE matériel ou fonds sans activité de policy influence.,TASKING + MONEY
INV-163,CRIF : policy footprint 2023-2026,BACKLOG_PROPOSED,P1,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,"Quelles suggestions/auditions déclarées se retrouvent dans des textes, dispositifs ou décisions françaises ?",HATVP -> objet précis -> drafts/amendements -> adoption/non-adoption.,Contributions non identifiables ou propositions déjà portées indépendamment.,POLICY_FOOTPRINT
INV-164,Ambassade d'Israël : voyages de presse et cadrage,BACKLOG_PROPOSED,P1,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,"Les voyages/accréditations financés ou facilités modifient-ils le cadrage, et les médias divulguent-ils le financement ?",France 2023-2026 + comparateurs autres États ; articles avant/après et disclosure.,Pas de différence robuste ; transparence complète ; effet expliqué par sélection/actualité.,EFFECT + SYMMETRY
INV-165,Réseau parlementaire France–Israël : overlap avec dénominateurs,BACKLOG_PROPOSED,P1,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,"Les mêmes élus cumulent-ils voyages, groupe d'amitié, événements et initiatives politiques au-delà des taux de base ?","Assemblée/Sénat 2017-2026, graphe biparti, temporalité, contrôles.",Overlap expliqué par parti/commission/spécialisation ; aucune coordination.,COORDINATION
INV-166,Registre influence étrangère : test de seuil,BACKLOG_PROPOSED,P1,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,Les relations documentées depuis 2025 franchissent-elles le seuil ordre/demande/direction/contrôle ?,"France depuis oct. 2025 : contrats, mandants, actions, ARGOS, loi 18-11, décret 2025-733.",Aucun lien satisfaisant ; activités réellement en propre.,LEGAL + TASKING
INV-167,AJC France : cost allocation transnational,BACKLOG_PROPOSED,P2,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,Comment sont financées les activités françaises d'AJC et quels coûts sont portés hors de l'entité française ?,"France/Europe/US 2021-2026 : entités, comptes, grants, payroll/events.",Aucune prise en charge externe matérielle liée au lobbying français.,MONEY + ACCESS
INV-168,ELNET EU & NATO : accès bruxellois et empreintes,BACKLOG_PROPOSED,P1,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,Quels meetings/délégations ELNET débouchent sur des contributions identifiables à des positions UE ?,"Commission, EEAS, Parlement, Transparency Register, agendas, voyages, résolutions.",Accès sans contribution identifiable ni effet.,POLICY_FOOTPRINT
INV-169,Rokh Solis / Blackcore : remonter au sponsor,BACKLOG_PROPOSED,P0,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,Qui a commandité l'opération caractérisée par VIGINUM et existe-t-il un lien avec un acteur étatique/politique/de plaidoyer ?,"Infrastructure numérique, sociétés, contrats, paiements, domaines, acteurs techniques.",Sponsor reste inconnu ; origine/opérateur privé ne permet pas attribution étatique.,TASKING + COVERT
INV-170,Contrôles négatifs : où le plaidoyer pro-Israël échoue,BACKLOG_PROPOSED,P1,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,Quels objectifs déclarés n'ont pas été atteints et que disent ces échecs du plafond réel d'influence ?,"Palestine 2025, sanctions 2026, décisions/votes défavorables, demandes rejetées.",Échecs rares/périphériques après normalisation par importance.,SYMMETRY + EFFECT_CEILING
