finding_id,domain,object,date_or_metric,finding,evidence_type,confidence,status,source_url,notes,action
XQ203A-001,DOCUMENTARY,Yahoo ×12,2021-07-23,"Le texte intégral de l'article Yahoo est récupérable via l'index web; il identifie le ×12 comme résultat d'une modélisation Pasteur, recommande la prudence et distingue ce ratio d'une mesure directe de l'efficacité du vaccin sur la transmission.",FACT,HIGH,RECOVERED,https://fr.news.yahoo.com/covid-19-vaccination-reduit-elle-par-12-risque-contamination-135540814.html,Article XQ203 lignes ~100 et ~373: la mention « corps non rejouable » est devenue obsolète.,P0_ARTICLE_PATCH
XQ203A-002,DOCUMENTARY,Conspiracy Watch origine,2020-04-09,"Le texte du 9 avril agrège dans une même proposition fabrication génétique et propagation accidentelle/intentionnelle depuis un laboratoire, ce qui comprime deux hypothèses distinctes.",FACT+INTERPRETATION,HIGH,CONFIRMED,https://www.conspiracywatch.info/nen-deplaise-aux-complotistes-george-soros-na-rien-a-voir-avec-le-covid-19.html,Conserver la borne: cela ne prouve pas une fuite de laboratoire; le défaut porte sur le périmètre de la proposition.,P0_CONTEXT_PATCH
XQ203A-003,DOCUMENTARY,Conspiracy Watch contextualisation,2020-04-16,Mise à jour d'un article de mars: Conspiracy Watch distingue explicitement l'hypothèse d'une fuite accidentelle d'un virus naturel de la thèse d'une fabrication/arme biologique et indique que la fuite accidentelle doit encore être étayée.,FACT,HIGH,CONFIRMED,https://www.conspiracywatch.info/pourquoi-le-coronavirus-nest-probablement-pas-une-arme-biologique.html,Contextualisation actor-level au plus tard 7 jours après le texte du 9 avril; ce n'est pas une correction attachée au texte du 9 avril.,P0_TIMELINE_PATCH
XQ203A-004,DOCUMENTARY,Conspiracy News #16.2020,2020-04-20,"La page est publiée le 20 avril 2020, pas le 18 avril. Son contenu indexé répète la distinction entre fuite accidentelle à étayer et fabrication en laboratoire.",FACT,HIGH,DATE_CORRECTED,https://www.conspiracywatch.info/conspiracy-news-16-2020.html,Corrige l'anomalie F200-004 dans la fresque XQ200.,P0_DATA_CORRECTION
XQ203A-005,DOCUMENTARY,AFP Byram Bridle,2021-06-29,La page AFP actuelle affiche une note d'édition datée du 29 juin 2021 indiquant une reformulation de l'avant-dernier paragraphe sur la transmission de l'ARN messager dans le lait maternel.,FACT,HIGH,CONFIRMED,https://factuel.afp.com/doc.afp.com.9CE9N2,La formulation pré-29 juin n'est pas encore récupérée; ne pas l'inférer.,GAP_REMAINS_OPEN
XQ203A-006,ARCHIVE_METHOD,Wayback Machine,,L'absence d'une page dans Wayback ne prouve pas son inexistence; Internet Archive documente des causes de non-collecte et des captures incomplètes.,FACT,HIGH,LOCKED_METHOD,https://archivesupport.zendesk.com/hc/en-us/articles/360004651732-Using-The-Wayback-Machine,Règle négative: NO_WAYBACK_CAPTURE != PAGE_NEVER_EXISTED.,METHOD_LOCK
XQ203A-007,ARCHIVE_METHOD,BnF Archives de l'internet,,"La BnF indique que ses collections du web français complètent Wayback, sont plus profondes pour le web français depuis le début des années 2000 et offrent une recherche plein texte pour la collection Covid-19; consultation sur place/établissements partenaires.",FACT,HIGH,LOCKED_METHOD,https://www.bnf.fr/fr/consulter-les-archives-de-linternet,À utiliser pour les gaps AFP/Fact & Furious lorsque les archives publiques échouent.,METHOD_LOCK
XQ203A-008,ARCHIVE_METHOD,Common Crawl,,Common Crawl fournit des index d'URL vers les fichiers WARC de son corpus et peut servir d'étage complémentaire pour retrouver des captures historiques.,FACT,HIGH,LOCKED_METHOD,https://commoncrawl.org/url-index,Cascade retenue: web vivant/index -> Wayback -> Common Crawl -> BnF -> traces indirectes.,METHOD_LOCK
XQ203A-009,MECHANICAL,Tirets cadratins XQ203,2026-08-25,"Le fichier XQ203 contient 4 caractères tiret cadratin « — », concentrés dans 2 paragraphes du corps.",MEASURED,HIGH,FAIL,,Contrainte utilisateur: aucun tiret cadratin. Gate future: COUNT(—)=0.,P0_TYPO
XQ203A-010,COGNITIVE,Paragraphes longs XQ203,2026-08-25,"Comptage reproductible par blocs de prose avant Sources: 235 blocs, médiane 46 mots, 14 blocs >100 mots, maximum 290 mots.",MEASURED,MEDIUM_HIGH,INFO,,Le problème de lisibilité n'est pas réductible à la longueur des paragraphes; cibler les zones à forte densité conceptuelle.,P1_REFACTOR_TARGETED
