inv,src_id,tier,family,ref,title,date,url
INV-011,SRC-001,◈,fam:A,US-SENATE-94-755-I,Church Committee Final Report Book I,1976-04-26,https://www.intelligence.senate.gov/wp-content/uploads/2024/08/sites-default-files-94755-i.pdf
INV-011,SRC-002,◈,fam:B,CIA-RDP90B00017R000400190032-6,Reference Points re Agency Provided Publication Support,1986-08-20,https://www.cia.gov/readingroom/docs/CIA-RDP90B00017R000400190032-6.pdf
INV-011,SRC-003,◈,fam:B,CIA-RDP82B00421R000100020039-7,DCI Statement of Policy on newsmen and churchmen,1976-02-11,https://www.cia.gov/readingroom/document/cia-rdp82b00421r000100020039-7
INV-011,SRC-004,◈,fam:B,CIA-PROJECT-MOCKINGBIRD-C02353962,Project MOCKINGBIRD,1963-06-15,https://www.cia.gov/readingroom/docs/PROJECT%20MOCKINGBIRD%5B15770719%5D.pdf
INV-011,SRC-005,◈,fam:B,CIA-DOC-0001451843,Family Jewels Office of Security memorandum,1973-05-16,https://www.cia.gov/readingroom/docs/DOC_0001451843.pdf
INV-011,SRC-006,◈,fam:B,CIA-RDP80M00596A000300080005-1,CIA policy on relationships with United States media,1977-12-02,https://www.cia.gov/readingroom/docs/CIA-RDP80M00596A000300080005-1.pdf
INV-011,SRC-007,◈,fam:C,PL-104-293-SEC309,Intelligence Authorization Act for Fiscal Year 1997,1996-10-11,https://www.intelligence.senate.gov/1996/10/11/laws-intelligence-authorization-act-fy-1997/
INV-011,SRC-008,◈,fam:C,HR3259-CONF-SEC309,Conference Report on H.R. 3259,1996-09-24,https://www.intelligence.senate.gov/1996/09/24/publications-conference-report-hr-3259-intelligence-authorization-act-fiscal-year-1997-september-24/
INV-011,SRC-009,◈,fam:D,CIA-RDP91-00587R000200890003-2,Reporters and the CIA,1986-10-01,https://www.cia.gov/readingroom/document/cia-rdp91-00587r000200890003-2
INV-011,SRC-010,◈,fam:E,BERNSTEIN-ROLLING-STONE-1977,The CIA and the Media,1977-10-20,https://goodtimesweb.org/industry-govt-agents/rs-bernstein-cia-media-oct-20-1977.html
INV-011,SRC-011,◈,fam:D,WP-1977-10-05-CIA-MEDIA,Journalism and the CIA,1977-10-05,https://www.washingtonpost.com/archive/lifestyle/1977/10/05/journalism-and-the-cia/de80094a-6b88-4e7a-94ef-3da744351fba/
INV-011,SRC-012,◈,fam:D,CIA-RDP99-00498R000100030147-9,CIA Doubletalk,1976-05-01,https://www.cia.gov/readingroom/document/cia-rdp99-00498r000100030147-9
INV-011,SRC-013,◈,fam:D,CIA-RDP91-00587R000200880032-1,"For Reporters, Nothing Is More Hazardous Than Being Thought a Spy",1986-10-01,https://www.cia.gov/readingroom/document/cia-rdp91-00587r000200880032-1
INV-011,SRC-014,◈,fam:B,CIA-RDP99-00498R000100030104-6,CIA: No Newsmen Need Apply,1976-05-27,https://www.cia.gov/readingroom/document/cia-rdp99-00498r000100030104-6
INV-012,SRC-001,◈,fam:A,FBI-VAULT-COINTELPRO,FBI Vault COINTELPRO index,UNKNOWN,https://vault.fbi.gov/cointel-pro
INV-012,SRC-002,◈,fam:A,FBI-157-BLACK-EXTREMIST-P01,FBI COINTELPRO Black Extremist Part 01,1968,https://vault.fbi.gov/cointel-pro/cointel-pro-black-extremists/COINTELPRO%20Black%20Extremist%20Part%2001/view
INV-012,SRC-003,◈,fam:A,FBI-157-WHITE-HATE-P13,FBI COINTELPRO White Hate Groups Part 13,1969-11-04,https://vault.fbi.gov/cointel-pro/White%20Hate%20Groups/COINTELPRO%20White%20Hate%20Groups%20Part%2013
INV-012,SRC-004,◉,fam:A,FBI100-1954-1971,"FBI 100 Years: And Justice for All, 1954-1971",2008,https://www.fbi.gov/file-repository/reports-and-publications/fbi100book.pdf
INV-012,SRC-005,◈,fam:C,SWP-v-AG-642-FSUPP-1357,"Socialist Workers Party v. Attorney General, 642 F. Supp. 1357",1986-08-25,https://law.justia.com/cases/federal/district-courts/FSupp/642/1357/2398821/
INV-012,SRC-006,◈,fam:C,HOBSON-v-WILSON-737-F2D-1,"Hobson v. Wilson, 737 F.2d 1",1984-08-17,https://law.justia.com/cases/federal/appellate-courts/F2/737/1/233037/
INV-012,SRC-007,◈,fam:C,HAMPTON-v-HANRAHAN-600-F2D-600,"Hampton v. Hanrahan, 600 F.2d 600",1979,https://law.justia.com/cases/federal/appellate-courts/F2/600/600/231409/
INV-012,SRC-008,◉,fam:B,SENATE-CHURCH-HISTORY,U.S. Senate history: Church Committee,2026,https://www.senate.gov/about/powers-procedures/investigations/church-committee.htm
INV-012,SRC-009,◈,fam:B,SSCI-95-217,Intelligence Activities and the Rights of Americans Charter,1977,https://www.intelligence.senate.gov/wp-content/uploads/2024/08/sites-default-filesations-95217.pdf
INV-012,SRC-010,◉,fam:D,NARA-MLK,National Archives: Martin Luther King Jr.,UNKNOWN,https://www.archives.gov/research/african-americans/individuals/martin-luther-king
INV-013,SRC-001,◈,fam:A,STATE-SR88-1981,Soviet Active Measures Special Report No. 88,1981-10-01,https://www.cia.gov/readingroom/docs/CIA-RDP84B00274R000100040004-8.pdf
