section,source_no,citation_count
Ce que le Covid révèle de la confiance accordée au label « fact-check »,1,3
Ce que le Covid révèle de la confiance accordée au label « fact-check »,2,2
Ce que le Covid révèle de la confiance accordée au label « fact-check »,18,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,31,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,33,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,38,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,40,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,41,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,45,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,72,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,73,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,74,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,75,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,76,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,77,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,102,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,103,1
Ce que le Covid révèle de la confiance accordée au label « fact-check »,104,1
D’abord : le fact-checking est utile sur les faits étroits,9,1
D’abord : le fact-checking est utile sur les faits étroits,10,1
D’abord : le fact-checking est utile sur les faits étroits,12,2
D’abord : le fact-checking est utile sur les faits étroits,14,1
D’abord : le fact-checking est utile sur les faits étroits,19,1
D’abord : le fact-checking est utile sur les faits étroits,20,1
D’abord : le fact-checking est utile sur les faits étroits,21,1
D’abord : le fact-checking est utile sur les faits étroits,22,2
D’abord : le fact-checking est utile sur les faits étroits,23,1
D’abord : le fact-checking est utile sur les faits étroits,33,1
D’abord : le fact-checking est utile sur les faits étroits,37,1
D’abord : le fact-checking est utile sur les faits étroits,45,1
D’abord : le fact-checking est utile sur les faits étroits,46,2
D’abord : le fact-checking est utile sur les faits étroits,47,1
D’abord : le fact-checking est utile sur les faits étroits,48,1
D’abord : le fact-checking est utile sur les faits étroits,49,1
D’abord : le fact-checking est utile sur les faits étroits,50,1
D’abord : le fact-checking est utile sur les faits étroits,51,1
D’abord : le fact-checking est utile sur les faits étroits,64,1
D’abord : le fact-checking est utile sur les faits étroits,65,1
D’abord : le fact-checking est utile sur les faits étroits,69,1
D’abord : le fact-checking est utile sur les faits étroits,70,1
D’abord : le fact-checking est utile sur les faits étroits,71,1
Le problème commence quand le fact-check arbitre une science en mouvement,30,2
Le problème commence quand le fact-check arbitre une science en mouvement,52,1
Le problème commence quand le fact-check arbitre une science en mouvement,53,1
Le problème commence quand le fact-check arbitre une science en mouvement,54,1
Le problème commence quand le fact-check arbitre une science en mouvement,66,1
1. Fidélité : répond-on vraiment à la question posée ?,1,6
1. Fidélité : répond-on vraiment à la question posée ?,2,4
1. Fidélité : répond-on vraiment à la question posée ?,78,1
1. Fidélité : répond-on vraiment à la question posée ?,79,1
1. Fidélité : répond-on vraiment à la question posée ?,80,1
1. Fidélité : répond-on vraiment à la question posée ?,81,1
1. Fidélité : répond-on vraiment à la question posée ?,82,1
1. Fidélité : répond-on vraiment à la question posée ?,83,1
1. Fidélité : répond-on vraiment à la question posée ?,84,1
1. Fidélité : répond-on vraiment à la question posée ?,85,1
1. Fidélité : répond-on vraiment à la question posée ?,94,1
1. Fidélité : répond-on vraiment à la question posée ?,95,1
1. Fidélité : répond-on vraiment à la question posée ?,104,1
1. Fidélité : répond-on vraiment à la question posée ?,105,1
1. Fidélité : répond-on vraiment à la question posée ?,106,1
1. Fidélité : répond-on vraiment à la question posée ?,107,1
1. Fidélité : répond-on vraiment à la question posée ?,108,1
1. Fidélité : répond-on vraiment à la question posée ?,109,1
1. Fidélité : répond-on vraiment à la question posée ?,110,2
1. Fidélité : répond-on vraiment à la question posée ?,111,1
1. Fidélité : répond-on vraiment à la question posée ?,112,1
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",3,2
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",4,2
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",5,2
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",6,1
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",55,1
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",56,1
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",57,1
"2. Calibration : « faux », « non démontré » et « impossible » ne sont pas synonymes",63,2
3. Temporalité : que savait-on réellement ce jour-là ?,7,3
3. Temporalité : que savait-on réellement ce jour-là ?,8,2
3. Temporalité : que savait-on réellement ce jour-là ?,10,1
3. Temporalité : que savait-on réellement ce jour-là ?,11,1
3. Temporalité : que savait-on réellement ce jour-là ?,13,3
3. Temporalité : que savait-on réellement ce jour-là ?,87,1
3. Temporalité : que savait-on réellement ce jour-là ?,88,1
3. Temporalité : que savait-on réellement ce jour-là ?,89,1
4. Du modèle au slogan : le cas du « ×12 »,15,3
4. Du modèle au slogan : le cas du « ×12 »,16,1
4. Du modèle au slogan : le cas du « ×12 »,17,1
4. Du modèle au slogan : le cas du « ×12 »,18,1
4. Du modèle au slogan : le cas du « ×12 »,19,1
4. Du modèle au slogan : le cas du « ×12 »,24,1
4. Du modèle au slogan : le cas du « ×12 »,25,1
4. Du modèle au slogan : le cas du « ×12 »,26,1
4. Du modèle au slogan : le cas du « ×12 »,27,1
4. Du modèle au slogan : le cas du « ×12 »,60,1
"5. Après publication : corriger, contextualiser, réparer",12,2
"5. Après publication : corriger, contextualiser, réparer",14,2
"5. Après publication : corriger, contextualiser, réparer",19,1
"5. Après publication : corriger, contextualiser, réparer",21,1
"5. Après publication : corriger, contextualiser, réparer",22,1
