archive_path,source_path,role,canonical,note,size_bytes,sha256
00_README/KNOWN_GAPS.md,generated,Limites et gaps de l'archive,True,,1283,50143aae51a622fdcb92fd79826d283eba27f43fe36a4c4ce83af9d47874ef00
00_README/LINEAGE.md,generated,Lineage et état canonique,True,,1559,f3d619ee68e893d45464d8cac3203e7ed515db16f1ce957a5af0b237c88f1a60
00_README/README_FIRST.md,generated,Guide principal,True,,2612,f6d5098462d6c854b374e72937d69d6edc48fce51cca87962263cec279cef0f1
01_ARTICLE_VERSIONS/2026-08-25_V3_1_ANNEXE_PANEL_30_CAS.md,/mnt/data/2026-08-25_V3_1_ANNEXE_PANEL_30_CAS.md,Annexe méthodologique 30 cas,True,,10024,18c0be11ca48ea8f5a2c1795757c259993ee5f5d776c3be100cd073344361392
01_ARTICLE_VERSIONS/2026-08-25_quand-le-travail-ne-vaut-plus-son-temps_V2.md,/mnt/data/2026-08-25_quand-le-travail-ne-vaut-plus-son-temps_V2.md,V2 / refactor P0-P1,False,,27898,4c2348b5ce1f7f1e7121819fd893c4d0f98d2a4e8b0b7347bde4a869c81fb606
01_ARTICLE_VERSIONS/2026-08-25_quand-le-travail-ne-vaut-plus-son-temps_V3.md,/mnt/data/2026-08-25_quand-le-travail-ne-vaut-plus-son-temps_V3.md,V3 / reset substantiel,False,,50350,bf8a4cda85101004d853ceab8f5dc7b2ffd0e45b6ecd558265ea5edf01fd6357
01_ARTICLE_VERSIONS/2026-08-25_quand-le-travail-ne-vaut-plus-son-temps_V3_1.md,/mnt/data/2026-08-25_quand-le-travail-ne-vaut-plus-son-temps_V3_1.md,V3.1 / version corrigée finale de travail,True,,63022,b7711ef8cdef02729198b56ef7d9a110b9b57a6940e6daf5145e379ef8d07b5a
01_ARTICLE_VERSIONS/2026-08-26_ia-modele-salarial-forensique_ARTICLE.md,/mnt/data/2026-08-26_ia-modele-salarial-forensique_ARTICLE.md,V1 / article initial,False,,38967,54c84a9d2e86352c7da8c35c0e80add0eb1dae112cfc077e58a8a3bb3e072d14
02_INVESTIGATIONS/2026-08-25_17-03_fresque-9d-travail-ia_INVESTIGATION.md,/mnt/data/2026-08-25_17-03_fresque-9d-travail-ia_INVESTIGATION.md,Investigation / matière probatoire,False,,13184,93246cad570c59df2f3137e25439107c9181a0efef99b53e1ffa89f4debf69c0
02_INVESTIGATIONS/2026-08-25_17-13_dix-organisations-chaine-ia-travail_INVESTIGATION.md,/mnt/data/2026-08-25_17-13_dix-organisations-chaine-ia-travail_INVESTIGATION.md,Investigation / matière probatoire,False,,21019,b1180dce6d1ad17d93274e3e7a892eefea7c33a93fbed515b878a977ab75f226
