file,role,bytes,sha256,numeric_id,slug,csv_present,csv_published,index_present,classification
index.md,INDEX,160953,25cda2515b1cd7aab918da56e08b4a394993b55e5de016e605da1d55be752af0,,,,,,CORE_METADATA
posts.csv,CSV,40581,9ced769d819e7b9ee7eaf201dd63d5705cdf351d4562d282ae2984ac22d6c8b6,,,,,,CORE_METADATA
posts/180021752.bardella-et-lagriculture-le-grand-757.html,HTML,4785,e6d6d1cbf414662ea652619cb196b2aed958a3b4f61f69b4746a1ddbaf6cfa04,180021752,bardella-et-lagriculture-le-grand-757,Y,TRUE,Y,RECONCILED
posts/180043331.le-double-discours-du-rn-sur-lagriculture.html,HTML,5688,750c43d5bf73b0fb49cbdb511472e164a808fbbfe8e5504472d796751bd5cca1,180043331,le-double-discours-du-rn-sur-lagriculture,Y,TRUE,Y,RECONCILED
posts/180052771.qui-est-vraiment-louis-duclos.html,HTML,3807,9c490faa691aa55acf8edee4cd72ded8ad86a9cd5c283dbaeaaff6ff618b7634,180052771,qui-est-vraiment-louis-duclos,Y,TRUE,Y,RECONCILED
posts/180054346.kallas-et-les-19-pays-ce-que-les.html,HTML,5088,ef8fa26faa9ab091a64049bbd6a5a5665be25ca7279d4d1ccbb3f00b1089a2e5,180054346,kallas-et-les-19-pays-ce-que-les,Y,TRUE,Y,RECONCILED
posts/180056619.emprunt-force-des-riches-le-spectacle.html,HTML,4945,0c7c9acdfc7aae81947ddfb60677da314153b93eda7b86b8efd5dd458eb6a137,180056619,emprunt-force-des-riches-le-spectacle,Y,TRUE,Y,RECONCILED
posts/180061326.qui-a-vraiment-la-tete-dans-le-sable.html,HTML,4095,c55767be32e2c40823ab4c463c8b80901df838e3bbf080ab290aade854b17e46,180061326,qui-a-vraiment-la-tete-dans-le-sable,Y,TRUE,Y,RECONCILED
posts/180081515.ukraine-ce-que-hayer-trump-et-zelenskyy.html,HTML,7306,bd05ba547bd80c742d579c97e791f1cbd2a7b28cb41054772bf2cc5f083f966b,180081515,ukraine-ce-que-hayer-trump-et-zelenskyy,Y,TRUE,Y,RECONCILED
posts/180084168.energies-renouvelables-le-double.html,HTML,6906,36502e4c9bbe9a290c8fecc776b4fc7a655ea11a5663f1bbeee34180dfd14aaa,180084168,energies-renouvelables-le-double,Y,TRUE,Y,RECONCILED
posts/180086502.leffondrement-educatif-francais-50-fea.html,HTML,8490,04e31fe0ab7f30dddc90995c42547f77aa8ef0ffe00051e96c5f3788351fef99,180086502,leffondrement-educatif-francais-50-fea,Y,TRUE,Y,RECONCILED
posts/180109075.liceberg-du-syndicalisme-agricole.html,HTML,18341,f2b15cdaf0d0c3f3a469811736d83d54ba8e32e11e95abf0a9f75dcddebacbfa,180109075,liceberg-du-syndicalisme-agricole,Y,TRUE,Y,RECONCILED
posts/180120693.macron-et-la-paix-en-ukraine-ce-que.html,HTML,10577,ba4946dd89448dc9cbfec0937f65590b4976ddbd870e3aea3893c49c40fcd8b8,180120693,macron-et-la-paix-en-ukraine-ce-que,Y,TRUE,Y,RECONCILED
posts/180128122.leurope-construit-elle-un-credit.html,HTML,13209,bb876757858abc38095876de664cd40e5eb3a1b6778fbf9ce973a0bb6c5370b2,180128122,leurope-construit-elle-un-credit,Y,TRUE,Y,RECONCILED
posts/180129975.leurope-construit-elle-un-credit-40d.html,HTML,23404,c97eed11d98e17960a02acf112428569852b4729f0da4b991c22dafd4d42fe09,180129975,leurope-construit-elle-un-credit-40d,Y,TRUE,Y,RECONCILED
posts/180158712.nationalisation-darcelormittal-ce.html,HTML,12117,516223ea9612de0865064db71b6e4864b263c139ba7f2113e4b527c7162560ad,180158712,nationalisation-darcelormittal-ce,Y,TRUE,Y,RECONCILED
posts/180162835.service-militaire-volontaire-ce-que.html,HTML,8594,f75f064541318472c736b50eba3a60ce143f33d59d1c97f80a9f84cac46ad056,180162835,service-militaire-volontaire-ce-que,Y,TRUE,Y,RECONCILED
posts/180194877.407-mensonges-lautopsie-dun-systeme.html,HTML,23177,9c9c30aa01d459b6d49e9c251d2170b0d9575a557791168440d839ddae3efa04,180194877,407-mensonges-lautopsie-dun-systeme,Y,TRUE,Y,RECONCILED
posts/180223640.larmee-potemkine-quand-le-spectre.html,HTML,10964,26da351cecbd04b7997de0d28b4136279a3c757ee61fb3d42f9839f0231e0063,180223640,larmee-potemkine-quand-le-spectre,Y,TRUE,Y,RECONCILED
posts/180261963.democratie-rare-en-temps-de-guerre-82a.html,HTML,15247,654f74880f106133900378f8edc7ddb21f74b636c2422c53bfe0f90885ab560b,180261963,democratie-rare-en-temps-de-guerre-82a,Y,TRUE,Y,RECONCILED
posts/180267309.corruption-en-ukraine-garraud-a-t.html,HTML,15048,04bad8d977321993020efdb51ee67c2af6709d295bd7ca45812d8059a9c26973,180267309,corruption-en-ukraine-garraud-a-t,Y,TRUE,Y,RECONCILED
posts/180300683.essence-la-double-manipulation-que.html,HTML,11977,3a89426dc50cd604a78c6a8cabfca964fff01aab8c049fa126353214d4dd69a7,180300683,essence-la-double-manipulation-que,Y,TRUE,Y,RECONCILED
posts/180309272.ladieu-aux-partis-du-diagnostic-de.html,HTML,27752,0ff92edd80cb725b3e7616f91a739598dd22e8d7ebd6f54c78ba33b07a2d4805,180309272,ladieu-aux-partis-du-diagnostic-de,Y,TRUE,Y,RECONCILED
posts/180377342.bandera-vs-petain-ce-que-les-faits.html,HTML,26427,83eeeffb067f8cfdef1abc00ade34a316f9caffb4d407b4202942b78993a2f7c,180377342,bandera-vs-petain-ce-que-les-faits,Y,TRUE,Y,RECONCILED
posts/180396722.alla-poedie-cafards-censure-et-opacite.html,HTML,40802,10cc15298b9d9850329737ae66bdb6a44e63e5d31073020cc97dbcde8fddb2b5,180396722,alla-poedie-cafards-censure-et-opacite,Y,TRUE,Y,RECONCILED
posts/180481861.quand-lelysee-attaque-un-journaliste.html,HTML,41910,a8d9d01c5712e109529a623ce160f9c70c674135a5533f99bb85a275252bc3ab,180481861,quand-lelysee-attaque-un-journaliste,Y,TRUE,Y,RECONCILED
posts/180580808.pravda-quand-lelysee-ironise-sur.html,HTML,58870,3393c049a47115f7af8ccf8965f9e14fd52bcd97457b4c2ce7f81d3c5d14892b,180580808,pravda-quand-lelysee-ironise-sur,Y,TRUE,Y,RECONCILED
posts/180734703.abattage-massif-en-savoie-la-france.html,HTML,17750,ff42f43389b99ed3454d58f6b23a8d574f2e99033d3d63a82fca39debc1bd584,180734703,abattage-massif-en-savoie-la-france,Y,TRUE,Y,RECONCILED
posts/180851146.france-2025-larchitecture-de-lenfer.html,HTML,26712,e7bf35abbed098480748a020c2262b4f88a667345b69698979fefe8df365ec53,180851146,france-2025-larchitecture-de-lenfer,Y,TRUE,Y,RECONCILED
posts/180872735.comment-musk-et-trump-vont-briser.html,HTML,10258,cc302baa513e9882535a3ce36240d2c6b1645dd8bb6cc479d98774d3bc079ce5,180872735,comment-musk-et-trump-vont-briser,Y,TRUE,Y,RECONCILED
posts/181348704.la-grande-arnaque-agricole-comment.html,HTML,56793,efa73b54af8cbcef80a978c33d09b00b14a04867a93420edb15a3cc065232b40,181348704,la-grande-arnaque-agricole-comment,Y,TRUE,Y,RECONCILED
posts/181428779.ce-que-letat-vous-cache-sur-la-dnc.html,HTML,41536,97d0eef0e4d1b37e5a58ec5c12e546eaf669f1b520b94d2616a0d77dcad4e9c9,181428779,ce-que-letat-vous-cache-sur-la-dnc,Y,TRUE,Y,RECONCILED
posts/181572197.lindustrie-de-linfluence-enquete.html,HTML,29709,6d15aa4ffa9674011f7f425d9180cf3971dd499c990c2c676540baf02396b652,181572197,lindustrie-de-linfluence-enquete,Y,TRUE,Y,RECONCILED
posts/181766389.les-telegraphistes-de-la-terreur.html,HTML,21404,33b1605314fa32608d88a4328d0c3d44e3d6c184994995553b5e8df3799cd316,181766389,les-telegraphistes-de-la-terreur,Y,TRUE,Y,RECONCILED
posts/181863121.truth-engine-lia-qui-revolutionne.html,HTML,18110,d44b4adf7179ba858f17f1e070bd911ceb8336554ca10b31708dd3bac52f1574,181863121,truth-engine-lia-qui-revolutionne,N,,N,HTML_ORPHAN_NO_CSV
posts/182308074.france-2025-lanatomie-dune-feodalite.html,HTML,35495,3ed9e8969650fd4562aedf3db2f8b802ad9e0096aec437897ad3c28d002423ac,182308074,france-2025-lanatomie-dune-feodalite,Y,TRUE,Y,RECONCILED
posts/182455797.larchitecture-de-labattoir-le-crime.html,HTML,13822,d4faa318e15552de6f3cb5363d74644230ccf1bdb2a4c29aa5ea053c230ddf9e,182455797,larchitecture-de-labattoir-le-crime,Y,TRUE,Y,RECONCILED
posts/182502562.la-justice-spectrale-lere-du-bannissement.html,HTML,14203,bcd507ae3051d9df8eb09e385ebff11008695b492c607bcfdf3461d244a06418,182502562,la-justice-spectrale-lere-du-bannissement,Y,TRUE,Y,RECONCILED
posts/182890010.le-schisme-larme-sur-la-tempe-et.html,HTML,18841,bde38ddf1b874c325e1af3f88843a48910049fc12bfdb2967a5b9fd528c4b9d3,182890010,le-schisme-larme-sur-la-tempe-et,Y,TRUE,Y,RECONCILED
posts/183098263.lempire-des-peches-psychopathologie.html,HTML,21872,b7037ac826231fdc88b94ab1dbe77a9a28e22029e77a4bbba383117338e4ea2d,183098263,lempire-des-peches-psychopathologie,Y,TRUE,Y,RECONCILED
posts/183123537.lempire-du-mensonge-rapport-dautopsie.html,HTML,146082,d392143a48a92f6ccdc3f1176f3931f57f9153999ffa35066ca8666fd0c39af4,183123537,lempire-du-mensonge-rapport-dautopsie,Y,TRUE,Y,RECONCILED
posts/183323402.lasphyxie-du-golem-traite-de-la-resistance.html,HTML,16646,5d6eb07bbb6faf7ee8067a995cce4e9b1724469f3f85a6a7665ab8b1fd9795cc,183323402,lasphyxie-du-golem-traite-de-la-resistance,Y,TRUE,Y,RECONCILED
posts/183424330.lagonie-du-souverain-la-singularite.html,HTML,18449,6369c8dbf2226678a26c0b72143b35e5e64d2c7533aad534cf78ea312894c8df,183424330,lagonie-du-souverain-la-singularite,Y,TRUE,Y,RECONCILED
posts/184196064.letat-mafia-autopsie-dune-liquidation.html,HTML,15638,8c60f615f7714807af7d40fb0671c423f41f2c51409316356060cb6c7984dd25,184196064,letat-mafia-autopsie-dune-liquidation,Y,TRUE,Y,RECONCILED
posts/184748463.la-derniere-recolte-autopsie-dune.html,HTML,19639,af0e21cac3a539f0d05e66da2b4674f9055b978a6a2dba3b48abc7a1d2654c9e,184748463,la-derniere-recolte-autopsie-dune,Y,TRUE,Y,RECONCILED
posts/185160908.annie-genevard-plus-de-cas-de-dnc.html,HTML,13127,d0473873f8e736a865b46f82eb74be0de2ffc64f0d5e39969c1d07d6ffc83eaf,185160908,annie-genevard-plus-de-cas-de-dnc,Y,TRUE,Y,RECONCILED
posts/185731731.lagriculture-au-scanner-autopsie.html,HTML,122319,c270913042811119ae0e0b24879ae66448da9eabff3e101fceb785e3184f2653,185731731,lagriculture-au-scanner-autopsie,Y,TRUE,Y,RECONCILED
