type,tag,articles,direct,refs
ACTOR,ETAT_FR,74,49,2;3;4;6;9;10;11;12;14;15;17;18;19;20;21;22;24;25;30;31;33;35;36;37;38;39;41;43;44;45
ACTOR,UE,88,54,2;4;6;10;12;13;14;15;17;19;20;21;22;23;24;25;26;27;29;31;32;33;34;35;37;38;39;40;41;43
ACTOR,MEDIAS,13,10,1;2;4;8;12;22;25;49;50;73;98;116;118
ACTOR,PLATEFORMES_BIGTECH,23,19,1;2;4;7;15;20;36;39;46;56;57;59;65;70;71;76;89;94;97;98;100;101;109
ACTOR,PARTIS_ELUS,20,12,2;3;7;39;41;49;57;68;71;94;95;101;102;103;112;114;116;117;120;121
ACTOR,ENTREPRISES_FINANCE,31,18,2;9;12;13;24;25;27;31;35;39;42;43;53;60;61;63;64;68;72;81;87;88;91;94;103;105;106;108;114;115
ACTOR,ONG_FONDATIONS,11,10,1;2;4;39;57;72;74;87;97;98;110
ACTOR,LOBBIES_THINKTANKS,18,18,4;23;24;26;39;46;56;57;59;65;68;74;78;91;93;102;109;110
ACTOR,USA,20,14,1;20;23;55;58;59;63;64;73;75;83;94;100;104;108;111;115;116;118;119
ACTOR,RUSSIE,19,16,4;6;8;13;23;25;57;58;60;75;100;103;104;105;111;115;116;118;119
ACTOR,UKRAINE,9,8,12;99;100;103;104;111;115;118;119
ACTOR,ISRAEL,10,8,4;23;44;46;57;58;75;100;111;115
ACTOR,ALLEMAGNE,11,6,10;14;24;26;29;31;60;61;63;109;114
ACTOR,CHINE,12,7,4;8;27;31;40;46;56;58;60;75;83;114
ACTOR,IRAN,6,4,8;23;58;64;75;83
ACTOR,GOLFE,4,3,4;19;63;64
ACTOR,CITOYENS_MOUVEMENTS,18,13,3;7;16;19;22;26;36;38;39;49;81;82;89;90;101;109;110;112
MECHANISM,FINANCEMENT_FLUX,46,28,2;3;4;13;15;16;20;21;22;23;25;26;29;30;33;35;36;39;42;43;49;50;56;62;64;66;68;72;76;77
MECHANISM,LOBBYING_RESEAUX,23,23,2;4;12;18;24;25;26;39;47;56;59;65;67;68;74;78;91;93;102;103;109;110;114
MECHANISM,CADRAGE_NARRATIF,27,24,1;2;4;6;8;12;13;18;25;36;41;43;61;72;77;79;80;82;90;93;100;102;104;106;111;114;118
MECHANISM,MEDIAS_AGENDA,11,9,1;2;7;12;19;22;49;50;66;73;91
MECHANISM,MODERATION_CENSURE,21,18,2;4;19;24;25;43;46;57;59;65;71;74;85;87;94;97;98;99;109;110;117
MECHANISM,DROIT_REGULATION,49,34,2;3;4;6;7;9;11;14;17;18;19;20;21;22;23;24;25;27;28;29;32;33;34;36;37;40;43;45;46;49
MECHANISM,SURVEILLANCE_DONNEES,22,21,1;2;9;19;20;24;26;37;39;43;46;65;67;70;71;74;76;78;93;109;110;113
MECHANISM,CAPTURE_INSTITUTIONNELLE,35,29,3;7;10;11;12;14;18;20;21;22;23;24;25;27;28;36;37;39;41;47;49;52;53;55;62;63;67;68;73;74
MECHANISM,CORRUPTION_TRAFFIC,16,12,14;26;35;36;45;46;55;59;64;78;81;86;89;93;103;115
MECHANISM,INGERENCE_ETRANGERE,15,15,4;6;8;13;23;25;43;46;57;58;75;105;111;118;119
MECHANISM,ELECTION_CONSENTEMENT,40,26,3;6;7;10;11;14;20;22;23;24;25;26;28;31;34;35;37;38;43;48;49;50;53;57;59;61;63;71;76;77
MECHANISM,COERCITION_ADMIN,38,34,2;3;4;6;9;12;13;15;20;21;22;25;29;35;36;49;52;57;63;65;67;68;70;71;72;74;76;78;80;86
MECHANISM,PSYCHO_COMPORTEMENT,18,15,5;11;12;25;38;41;47;48;52;74;82;91;97;99;100;105;106;110
MECHANISM,DEPENDANCE_ECONOMIQUE,22,11,11;16;23;24;27;33;34;38;39;43;47;49;53;54;60;62;72;101;106;110;114;117
MECHANISM,GUERRE_SECURITE,40,27,8;9;12;23;25;38;41;43;49;54;56;58;60;63;64;65;66;69;71;72;75;76;81;82;83;84;86;87;91;94
MECHANISM,SCIENCE_EXPERTISE,11,5,1;2;4;51;54;69;72;88;109;112;113
DIMENSION,JURIDIQUE,46,32,2;3;4;6;7;9;11;14;17;18;19;20;21;22;23;25;27;28;29;32;33;36;37;40;43;45;46;49;53;56
DIMENSION,TECHNIQUE,29,24,1;2;9;13;15;19;20;24;26;37;39;43;46;48;51;54;56;65;67;70;71;74;76;78;87;93;109;110;113
DIMENSION,PSYCHOLOGIQUE,17,15,5;11;12;25;38;41;47;52;74;82;91;97;99;100;105;106;110
DIMENSION,ANTHROPOLOGIQUE,21,14,1;3;7;14;20;23;36;38;51;55;66;70;73;82;83;85;89;90;95;101;115
DIMENSION,POLITIQUE,56,36,1;2;3;6;7;10;11;14;20;22;23;24;25;26;28;29;31;35;37;38;41;44;45;49;50;55;57;59;60;61
DIMENSION,ECONOMIQUE,61,32,2;4;9;11;15;16;18;19;20;21;22;23;24;25;26;27;29;30;31;32;33;34;35;36;38;39;42;43;44;46
DIMENSION,SOCIALE,26,12,1;19;20;26;28;29;30;32;33;37;41;47;59;61;62;69;74;76;81;92;96;109;110;112;113;120
DIMENSION,ETHIQUE,22,16,2;4;6;9;14;17;20;21;22;33;36;45;49;73;83;84;87;89;91;106;110;117
DIMENSION,NARRATIVE,21,18,2;6;12;13;18;41;43;61;72;77;79;80;82;90;93;100;104;106;111;114;118
DIMENSION,SCIENTIFIQUE,29,17,1;2;4;7;20;22;26;27;33;37;42;43;61;62;67;69;70;72;74;76;78;81;88;92;93;96;101;109;113
DIMENSION,COMMUNICATION,14,13,2;3;6;24;36;79;82;87;90;91;100;102;104;119
DIMENSION,MARKETING_PR,11,9,3;6;24;36;79;87;91;102;109;117;119
