filename,size_bytes,sha256
DEMOCRACY_INFLUENCE_INVESTIGATIONS_BUNDLE_001.zip,97818,23ba62413e5638b447d3972f3841da744a1cfdd0a620b13dc41ece1e284a0886
INV-022_R3_CANONICAL_6_FILES.zip,60806,ffebc4c4a78188350954badc7f7b6cf9c7f6f201547e57f7ea6abe385db04d18
INV-022_R3_FULL_FORENSIC_BUNDLE.zip,185449,9691ee258d0c600bb551a22e9fb2a3248d70ede39225685454230769d8339d0b
INV-023_R3P1_CANONICAL_6_FILES.zip,54351,e14719a1aca3a28340e4d60de8efd18fa0ed8bf50338c6ae15afab6ddd708af3
INV-026_BUNDLE.zip,80189,6b9754adf908de7d1ed665b4b08ea12e21ebf14c145fe48b435b9b91d1c58e49
INV-033_BUNDLE.zip,80700,61702c978ba1ce56775ceffef27d34b5389cef8f4a4227b5b15136cdbcc975a2
INV-039_BUNDLE.zip,47707,0416527edb70302209022874ecdbee709027cd46d5fa4bee5c6f4a0ee8b6701b
INV-044_BUNDLE.zip,57941,64203edff4f1e273f7d37c9bc09b62281a61e03348800df3e76e29a0390b2e30
INV-054_BUNDLE.zip,48908,81997b4f28a74392a642b25697e4e59c5b7b51a71ac8a297dc8d47634df759de
INV-081_BUNDLE.zip,43276,628e49e92fc4f93dc38ddce8e673c89010178a1222fe852fcf81993b3a8412d4
INV-093_BUNDLE.zip,53421,56e97e4402978eecb20588b50fd0f6bbc082ea47c60afd3816a16ade6b22ab60
INV-100_BUNDLE.zip,54287,d1a834751f5fd6c776c7b1a6709688ce1d33a787bdc595a4081c38df6572a961
INV-103_BUNDLE.zip,34449,26e4deaf660968b3f9d5f4e2373cfe75582d51c39b4517e8c4f3bac9dc8fcd47
INV-128_BUNDLE.zip,52649,44c3ef6027e2d334668aa8c4b467e6f93fddf1ac2826b30532271045288219bd
INV-134_BUNDLE.zip,55889,28676a4de3a86ce82051297a7eec0abbae6028ed78ae451043029d13c6378063
INV-135_BUNDLE.zip,81340,8d240c8be3ec417f26067dea33c791f44840ba8ac4993f60e2eaefb7e07cd895
INV-136_BUNDLE.zip,47558,5d7ad479b3dedaedf83604b511c97b310d4103638ed572556cfb5d22bbd55fc7
INV-137_BUNDLE.zip,77854,ef854839209b3997b5cd7ee9fdad7025af49a222047349aae23ba8457a2cd7b8
INV-138_CANONICAL_ASSEMBLED.zip,71974,1522639192c9113ec0b7dd0bdc8230d7e739415d2212dae188499da33cf399c5
INV-139_RECOVERY_HANDOFF.md,3940,4f1519ff60088529dcb42bed830fc5df8c8aa2218063e3dcb73f8e0d11a8405a
INV-140_RECOVERY_HANDOFF.md,3023,aec894571a3eee531ea92bd386da1ecb664e9a7bd27c82ee2a73b330f26cb083
INV-145_BUNDLE.zip,45912,fc9a2513f91347e1ef2fc7e4975edca3aa77e469005c00e5435b9af6c3ca815a
INV-146_BUNDLE.zip,20438,7ebd342ea57c31af3aba1fde7db9c63db89e7f25b0d96d726e8e0dce9164f6b5
INVESTIGATION_CONTROL_v0.7_METHOD_PACK.zip,1833111,7e2dcdadfef8129b86d6c98522ebb8c7f5793ee971b0ee29ce2b8306de3314fe
SUBSTACK_BASELINE_2026-08-26_v0.4.zip,1682652,6774944e80f3c150e6d3506c4356e5ecb51243eb0ce8d4b99b207c3b69752052
TRUTH_ENGINE_2.10.6_R3P1_CANONICAL.zip,218204,d113e3bd1848805bc3dbf1485eb1107a5767ebe74efd0cf27b601e01db278d30
