inv_id	workstream	type	family_id	family	authority	physical_source	disposition	article_section	material_yield	justification
INV-010	W1	PRIMARY	F1	Interventions historiques, clandestines et mobilisation	FIRST_ORDER_RESULT	INV-010_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§2	No epistemic/content delta was introduced by this retry. It only closes the R2A.2 persistence/delivery boundary. The prior INV-010 substantive result remains the pilot result: documented intervention is much easier to establish than counterfactual change of winner; I6/I7 remain the material unresolved causal boundary.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-011	W1	PRIMARY	F1	Interventions historiques, clandestines et mobilisation	FIRST_ORDER_RESULT	INV-011_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§2	INV-011 establishes a heterogeneous Cold War CIA-media system rather than a single proven umbrella programme: the Church record documents covert journalist/media relationships, payments, organizational cover and foreign propaganda access, while primary CIA files use Project MOCKINGBIRD for a specific 1963 wiretap against Robert S. Allen and Paul J. Scott. Post-1976 policy and the 1996 statute materially restricted paid/operational use but retained voluntary cooperation and narrow waiver authority. The run therefore closes historical capability and several operational edges without establishing general U.S. editorial command, a primary-verified cumulative 400-plus denominator, uninterrupted present-day continuity, or a general political/electoral effect.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-012	W1	PRIMARY	F1	Interventions historiques, clandestines et mobilisation	FIRST_ORDER_RESULT	INV-012_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§2	systematic domestic FBI disruption is established beyond passive surveillance: headquarters-approved programs and executed deception, wedge, infiltration, reputational and logistics-interference mechanisms are documented. Lawful political activity was among targets. Harm is case-specific, not automatic.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-013	W1	PRIMARY	F1	Interventions historiques, clandestines et mobilisation	FIRST_ORDER_RESULT	INV-013_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§2	INV-013 ferme une distinction essentielle entre continuité tactique et continuité institutionnelle. Le corpus établit un répertoire soviétique documenté d'active measures (forgeries, fronts, influence agents, manipulation médiatique) et des opérations russes contemporaines actor-specific utilisant faux sites/personas, contenus fabriqués ou mis en scène, amplification coordonnée et dissimulation de provenance. La continuité est forte au niveau du répertoire et de l'adaptation technique, mais le corpus inspecté ne ferme pas une chaîne organisationnelle ininterrompue KGB/Service A -> opérateurs russes actuels. Les opérations modernes peuvent fermer opérateur/tasking/distribution dans des cas précis, y compris vers France/Europe, mais exposition, persuasion et résultat politique restent distincts : les mesures de portée sont hétérogènes et les études inspectées ne démontrent pas un effet électoral général. `doctrine/capacité != opération`, `opération != exposition`, `exposition != persuasion`, `activité != efficacité` restent les gardes centrales.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-014	W1	PRIMARY	F1	Interventions historiques, clandestines et mobilisation	FIRST_ORDER_RESULT	INV-014_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§2	l'assistance extérieure est directement documentée dans les quatre environnements, mais sa meilleure arête probatoire est `assistance -> capacité domestique` (formation, monitoring, polling, médias, administration électorale, conseil organisationnel). Dans plusieurs cas, ces capacités alimentent la détection publique de fraude. Le corpus ne ferme ni un commandement étranger commun, ni un effet nécessaire/suffisant ou marginal identifiable de l'aide sur le changement final de dirigeant.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-015	W1	CASE	F1	Interventions historiques, clandestines et mobilisation	FIRST_ORDER_RESULT	INV-015_RUN_HANDOFF.md	COVERED_BY_MATERIAL_FAMILY	§2	INV-015 ferme une distinction à quatre étages : assistance matérielle/formation externe à Otpor, transfert humain documenté de méthodes vers Kmara/Pora, adoption locale des techniques, puis résultat politique. Les deux premiers étages sont établis ; l'effet aval reste multi-causal. Le corpus soutient donc une diffusion transnationale réelle de méthodes de mobilisation, sans fermer ni commandement externe des mouvements, ni suffisance causale de la formation pour expliquer le changement de régime. Les cas comparatifs et les échecs de diffusion imposent de conserver contexte domestique, coalition, surveillance électorale et réaction du régime comme causes concurrentes.	Rendement préservé dans la famille matérielle et son plafond probatoire; pas de section dédiée nécessaire.
INV-016	W1	PRIMARY	F1	Interventions historiques, clandestines et mobilisation	FIRST_ORDER_RESULT	INV-016_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§2	INV-016 établit trois contributions intermédiaires distinctes aux printemps arabes : une infrastructure d’assistance démocratique occidentale préexistait en Égypte ; un transfert tactique CANVAS/Otpor vers au moins un militant d’April 6 est documenté ; et les réseaux sociaux ont facilité information, logistique et participation précoce en Égypte ainsi que la coalition/information en Tunisie. Aucun de ces mécanismes ne ferme cependant `acteur extérieur -> tasking -> déclenchement -> chute du régime`. Le contrôle April 6 de 2008 montre qu’une forte audience Facebook peut ne pas produire une mobilisation de rue réussie, et le cas tunisien impose de distinguer catalyse numérique et origine domestique du soulèvement. Soutien != déclenchement ; formation != tasking ; réseau social != révolution ; participation != changement de régime attribuable.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-017	W1	CASE	F1	Interventions historiques, clandestines et mobilisation	FIRST_ORDER_RESULT	INV-017_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§2	INV-017 ferme la chaîne amont Cambridge Analytica sans valider le récit d'une machine électorale dont l'effet serait démontré. FTC et ICO établissent collecte GSR/Facebook à grande échelle, génération de scores de personnalité, appariement avec des fichiers électoraux et usage pour des services de profilage/ciblage. Les paiements FEC et témoignages ferment une participation matérielle aux campagnes américaines. Les travaux académiques confirment qu'inférer des traits depuis des traces numériques et modifier certains comportements par ciblage psychologique est techniquement plausible, mais ces résultats ne démontrent ni l'exactitude des modèles Cambridge Analytica pour chaque électeur, ni l'exposition, la persuasion ou le vote. Pour Trump, l'usage psychographique précis reste non résolu : capacité Ripon/OCEAN et témoignages existent, mais Nix l'a nié et Vickery n'a pas pu vérifier un déploiement direct. Aucun design crédible ne mesure l'effet marginal de Cambridge Analytica sur le résultat de 2016. Leave.EU sert de contrôle négatif : le régulateur n'a trouvé qu'une phase exploratoire, sans prestation de campagne.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-018	W1	CASE	F1	Interventions historiques, clandestines et mobilisation	FIRST_ORDER_RESULT	INV-018_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§2	opération russe multicanal 2016 établie ; attribution principale forte ; contacts/vulnérabilités campagne réels mais coordination/conspiration générale non établie ; manipulation des décomptes non établie ; effet IRA-spécifique sur vote et changement du vainqueur non établis. La donnée PNAS 2026 empêche aussi de conclure que tout effet comportemental de suppression numérique est nécessairement nul.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-019	W2	PRIMARY	F2	Puissances étrangères, diplomatie, diasporas et réseaux	FIRST_ORDER_RESULT	INV-019_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§3	L'architecture américaine est un **écosystème public-financé à plusieurs régimes de contrôle**, pas une seule agence : ```text Congress -> State / legacy USAID -> implementing partners -> institutions / civil society / media / election support Congress -> State passthrough -> NED Board -> core institutes + direct grantees -> local actors Congress -> USAGM -> federal networks + nonprofit grantees / OTF -> audiences / information access ``` NED combine financement public, identité privée/nonprofit et discrétion d'un Board distinct. USAGM combine mission stratégique publique et firewall éditorial.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-021	W2	PRIMARY	F2	Puissances étrangères, diplomatie, diasporas et réseaux	FIRST_ORDER_RESULT	INV-021_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§3	Des opérations clandestines américaines d'influence sont historiquement établies en Europe, avec une interface française directe ou structurante. Le Congress for Cultural Freedom ferme la chaîne la plus forte : OPC/CIA -> financement clandestin et conditions organisationnelles -> infrastructure culturelle européenne pilotée depuis Paris -> conférences/revues/exposition. Le même corpus fournit toutefois un contrôle interne contre `funding=content_control`: des participants disposaient d'une autonomie substantielle et pouvaient critiquer les États-Unis. La branche Force Ouvrière ferme un soutien américain matériel mais ne permet pas d'attribuer la création ou la scission à la CIA seule : Braden attribue des flux CIA aux réseaux Lovestone/Brown, Lovestone dément, Meany reconnaît 35 000 dollars d'aide AFL tout en niant l'origine CIA, et Caffery documente des causes domestiques immédiates. Pour la période moderne, les révélations NSA ferment `collecte -> révélation -> réaction institutionnelle/diplomatique`, mais `surveillance = influence politique` est rejeté comme saut de catégorie.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-022	W2	PRIMARY	F2	Puissances étrangères, diplomatie, diasporas et réseaux	FIRST_ORDER_RESULT	INV-022_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§3	The run establishes repeated and adaptive Russia-linked influence operations materially targeting France, with documented infrastructure/actor relations for several branches and observable local effects on content availability, intermediary workload and removed assets. It does **not** establish a causal effect on French opinion, behavior or an electoral result. Exposure is heterogeneous and in several measured cases low or limited. The central model therefore remains: ```text OPERATION / TARGETING / INFRASTRUCTURE = ESTABLISHED on several branches EXPOSURE = HETEROGENEOUS / PARTIAL PERSUASION = NOT_ESTABLISHED BEHAVIORAL / ELECTORAL EFFECT = NOT_ESTABLISHED UNIFIED COMMAND ACROSS ALL MOI = NOT_ESTABLISHED ``` The main attribution boundary is preserved rather than averaged away: VIGINUM 2026 attributes Storm-1516 to GRU Unit 29155, while the inspected public chain does not independently reproduce the full command bridge (`CLM-007`, `CAU-006`).	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-023	W2	CASE	F2	Puissances étrangères, diplomatie, diasporas et réseaux	FIRST_ORDER_RESULT	INV-023_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§3	"The investigation does **not** support a single class ""European parties financed or controlled by Russia"". It separates materially different mechanisms and evidentiary ceilings: - received financing without demonstrated political quid pro quo (`CLM-001`, `CAU-001`); - formal inter-party cooperation without demonstrated financing/tasking (`CLM-002`, `CLM-003`, `CAU-002`); - attempted but unrealized party financing (`CLM-004`, `CAU-003`); - a documented funded influence vehicle/network in the Voice of Europe case (`CLM-005`, `CAU-004`, `ACT-005`); - individual responsibility allegations still under procedural/judicial ceiling (`CLM-006`, `CLM-007`, `ACT-006`, `ACT-007`); - a negative control where Russian contacts did not establish third-party Russian funding (`CLM-008`, `CAU-007`). The material model is therefore **typed relations + typed flows + typed evidentiary ceilings**, not guilt by proximity."	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-025	W2	CASE	F2	Puissances étrangères, diplomatie, diasporas et réseaux	FIRST_ORDER_RESULT	INV-025_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§3	INV-025 ferme la confusion entre diaspora chinoise, architecture du Front uni et proxy étatique. Le PCC assigne explicitement au Front uni un travail outre-mer de guidage politique, mobilisation autour d’objectifs nationaux et rôle de pont, mais ce mandat ne transforme pas chaque personne ou association diasporique en relais de l’État. En France, un mécanisme plus étroit est directement documenté : la DGSI a identifié neuf relais de stations de police et le Conseil d’État a constaté qu’une association du Fujian avait hébergé une station clandestine servant de relais à des organes du PCC chargés du contrôle de la diaspora et au ministère chinois de la Sécurité publique, avec atteinte à la souveraineté française. Les sources européennes confirment des canaux de pression, surveillance et mobilisation, mais l’attribution varie entre Front uni, sécurité publique et services de renseignement. Prévalence dans la diaspora, tasking général des associations et effet causal sur élections, opinion ou politiques publiques restent non établis.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-026	W2	PRIMARY	F2	Puissances étrangères, diplomatie, diasporas et réseaux	FIRST_ORDER_RESULT	INV-026_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§3	Israël est un émetteur documenté d'influence ouverte en France ; un financement étatique précis d'un événement ELNET Europe est établi ; ELNET France déclare parallèlement ses activités de lobbying en propre ; et Rokh Solis établit une ingérence numérique étrangère liée à un opérateur privé israélien sans commanditaire identifié. L'ensemble interdit aussi bien le déni de mécanismes d'influence que la promotion automatique d'acteurs pro-israéliens en proxies étatiques.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
INV-027	W2	CASE	F2	Puissances étrangères, diplomatie, diasporas et réseaux	FIRST_ORDER_RESULT	INV-027_RUN_HANDOFF.md	DIRECT_MATERIAL_USE	§3	INV-027 établit ELNET France comme un dispositif déclaré et professionnalisé de représentation d'intérêts : dépenses HATVP de 100 à 200 k€ par an de 2021 à 2025, trois personnes dédiées, objectifs législatifs et diplomatiques explicites, événements et voyages parlementaires dont plusieurs prises en charge sont confirmées par les déclarations de l'Assemblée nationale. Ces dispositifs ferment la chaîne ressources -> voyage/événement/rencontre -> accès/exposition de responsables publics et fournissent une capacité d'agenda. Ils ne ferment pas voyage -> position/vote ni lobbying -> décision : aucun footprint borné n'isole une contribution ELNET comme cause d'une clause ou d'un vote, la HATVP déclare les intérêts représentés en propre et le financement étatique précis identifié par INV-026 concernait un événement ELNET Europe, pas un tasking général d'ELNET France. Le contre-exemple le plus discriminant est 2025 : ELNET déclarait vouloir empêcher la reconnaissance française de l'État palestinien, mais la France l'a reconnue le 22 septembre 2025. Accès et tentative d'influence sont donc établis ; contrôle/capture et effet politique marginal ne le sont pas.	Résultat distinctif explicitement mobilisé dans la progression/prose ou comme contrepoint.
