id,type,completeness_class,input,run_state,narrative,investigation,mnemo,certification,handoff,pre_gate,delivery_gate,artifact_file_count,result_path
INV-010,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,1,1,0,0,7,INV-010_RUN_HANDOFF.md
INV-011,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-011_RUN_HANDOFF.md
INV-012,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,1,1,1,1,1,0,1,1,1,11,INV-012_RUN_HANDOFF.md
INV-013,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-013_RUN_HANDOFF.md
INV-014,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-014_RUN_HANDOFF.md
INV-015,CASE,PARTIAL_MACHINE_ARTIFACTS,0,0,1,0,0,0,1,0,0,3,INV-015_RUN_HANDOFF.md
INV-016,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,1,1,1,1,1,1,15,INV-016_RUN_HANDOFF.md
INV-017,CASE,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-017_RUN_HANDOFF.md
INV-018,CASE,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-018_RUN_HANDOFF.md
INV-019,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,3,INV-019_RUN_HANDOFF.md
INV-021,PRIMARY,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-021_RUN_HANDOFF.md
INV-022,PRIMARY,CANONICAL_6_COMPLETE,1,1,1,1,1,1,1,0,0,24,INV-022_RUN_HANDOFF.md
INV-023,CASE,CANONICAL_6_COMPLETE,1,1,1,1,1,1,1,0,0,8,INV-023_RUN_HANDOFF.md
INV-025,CASE,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-025_RUN_HANDOFF.md
INV-026,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,1,1,1,0,1,1,1,0,0,13,INV-026_RUN_HANDOFF.md
INV-027,CASE,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-027_RUN_HANDOFF.md
INV-028,CASE,PARTIAL_MACHINE_ARTIFACTS,0,0,0,1,0,0,1,0,0,2,INV-028_RUN_HANDOFF.md
INV-029,PRIMARY,PARTIAL_MACHINE_ARTIFACTS,0,1,1,1,1,1,1,0,0,7,INV-029_RUN_HANDOFF.md
INV-030,CASE,HANDOFF_OR_DERIVED_ONLY,0,0,0,0,0,0,1,0,0,1,INV-030_RUN_HANDOFF.md
