id,periode,strate_ou_regime,dispositif_ou_cas,peuple_titulaire,initiative_citoyenne_autonome,agenda_public_contraint,decision_populaire_directe,mandat_ou_programme_opposable,revocation_des_elus,veto_ou_abrogation_populaire,controle_continu_opposable,filtre_principal,effet_reel,anti_strate_ou_ouverture,pilote_a_l_origine,mecanisme_de_persistance,qualite_preuve,verdict_forensique,sources
FR01,1789,Fondation constitutionnelle,Déclaration des droits de l'homme et du citoyen articles 3 et 6,1,0,0,0,0,0,0,P,"La Nation est titulaire; la loi est censée exprimer la volonté générale; aucun pipeline populaire n'est défini","Fondation du titre souverain et de l'égalité civique abstraite","Droits, publicité et résistance à l'oppression fournissent des ressources normatives","Assemblée constituante et auteurs de la Déclaration","Réemploi durable du vocabulaire de souveraineté nationale et de représentation",A,"Souveraineté proclamée mais encore non équipée de pouvoirs populaires opératoires","https://www.conseil-constitutionnel.fr/le-bloc-de-constitutionnalite/declaration-des-droits-de-l-homme-et-du-citoyen-de-1789"
FR02,1789,Doctrine représentative,Discours de Sieyès du 7 septembre 1789,1,0,0,0,0,0,0,0,"Séparation explicite entre citoyens qui nomment et représentants qui font la loi","Justifie l'indépendance décisionnelle des représentants","La responsabilité électorale reste possible à l'échéance","Sieyès et majorité constituante","Doctrine reprise par les constitutions et l'interdiction du mandat impératif",A,"Acte fondateur intentionnel de la dépossession opératoire; ce n'est pas un effet accidentel","https://www.persee.fr/doc/arcpa_0000-0000_1875_num_8_1_4952_t2_0592_0000_6"
FR03,1791,Constitution,Constitution représentative et suffrage censitaire,1,0,0,0,0,0,0,0,"Pouvoirs exercés par délégation; distinction citoyens actifs/passifs; roi et Corps législatif","La Nation ne peut exercer ses pouvoirs que par délégation","Élections périodiques et séparation des pouvoirs","Constituants de 1791","Dépendance de sentier de la représentation nationale",A,"Première constitutionnalisation complète du peuple titulaire mais non gouvernant","https://www.conseil-constitutionnel.fr/les-constitutions-dans-l-histoire/constitution-de-1791"
FR04,1791,Organisation collective,Loi Le Chapelier et suppression des corps intermédiaires,NA,0,0,0,0,0,0,0,"Interdiction des coalitions professionnelles et pétitions collectives corporatives","Réduit les moyens d'agrégation autonome des intérêts sociaux","Égalité juridique individuelle et fin des privilèges corporatifs","Assemblée constituante; Le Chapelier","Conversion ultérieure en imaginaire de l'État face au citoyen abstrait; dispositif légal ensuite abrogé",A,"Strate historique de désintermédiation, mais l'analogie directe avec l'article 49.3 serait abusive","https://www.legifrance.gouv.fr/loda/id/LEGITEXT000006071161/"
FR05,1792-1793,Élargissement électoral,Élection de la Convention au suffrage universel masculin,P,0,0,P,0,0,0,0,"Exclusion des femmes; vote pour choisir une assemblée","Élargissement majeur de la qualité d'électeur","Clubs, sections et mobilisation populaire pèsent fortement hors du droit constitutionnel","Convention nationale","Institutionnalisation ultérieure du suffrage sans mandat des élus",A,"Le peuple devient plus largement électeur, non législateur permanent","https://www2.assemblee-nationale.fr/decouvrir-l-assemblee/histoire/le-suffrage-universel"
FR06,1793,Constitution non appliquée,Constitution montagnarde et veto des assemblées primaires,1,0,P,1,0,0,1,P,"Le Corps législatif propose; un seuil territorial d'opposition déclenche le vote populaire","Prévoit un contrôle populaire sur les lois proposées","Assemblées primaires et référendum législatif","Convention montagnarde","Aucune persistance institutionnelle car Constitution suspendue puis abandonnée",A,"Vrai contre-modèle sur le papier; faux précédent pratique et ce n'est pas une initiative législative citoyenne générale","https://www.conseil-constitutionnel.fr/les-constitutions-dans-l-histoire/constitution-du-24-juin-1793"
FR07,1795,Directoire,Constitution de l'an III et bicamérisme censitaire,1,0,0,P,0,0,0,0,"Suffrage indirect et censitaire; exécutif collégial; représentation","Stabilisation conservatrice après la Terreur","Référendum constituant initial et séparation des pouvoirs","Convention thermidorienne","Recherche de stabilité et peur de la souveraineté populaire immédiate",A,"Refermeture explicite des mécanismes populaires de 1793","https://www.conseil-constitutionnel.fr/les-constitutions-dans-l-histoire/constitution-du-5-fructidor-an-iii"
FR08,1799-1815,Consulat et Empire,Plébiscites napoléoniens,1,0,0,1,0,0,0,0,"Question, calendrier, information et appareil contrôlés par l'exécutif","Ratification massive affichée de décisions venues d'en haut","Le peuple peut approuver ou rejeter formellement","Bonaparte et ses rédacteurs constitutionnels","Légitimation plébiscitaire couplée à la centralisation",A,"Décision directe sans initiative autonome: peuple-arbitre convoqué par le pouvoir, non peuple-gouvernant","https://www.conseil-constitutionnel.fr/les-constitutions-dans-l-histoire/constitution-du-22-frimaire-an-viii"
FR09,1800-1982,Centralisation administrative,Préfets et tutelle administrative,NA,0,0,0,0,0,0,P,"Nomination centrale; contrôle des collectivités; chaîne hiérarchique de l'État","Homogénéise l'exécution territoriale et limite historiquement l'autonomie locale","Capacité administrative, égalité territoriale et continuité de l'État","Bonaparte et loi du 28 pluviôse an VIII","Utilité fonctionnelle, intérêts bureaucratiques et réformes par conversion plutôt que suppression",A,"Strate robuste du verrou territorial; depuis 1982 la tutelle est remplacée par un contrôle de légalité a posteriori","https://www.vie-publique.fr/fiches/20169-quel-est-le-role-dun-prefet | https://www.vie-publique.fr/fiches/19608-quest-ce-que-lacte-i-de-la-decentralisation-les-lois-defferre"
FR10,1814-1848,Monarchies constitutionnelles,Suffrage censitaire et parlementarisme oligarchique,P,0,0,0,0,0,0,0,"Corps électoral très restreint par le cens","Développe des pratiques parlementaires dans un régime socialement fermé","Publicité parlementaire et responsabilité politique progressive des ministres","Monarques, doctrinaires et élites censitaires","Auto-reproduction sociale du corps électoral et des notables",A,"Contre le peuple gouvernant; montre aussi que le parlementarisme peut naître sans démocratie de masse","https://www2.assemblee-nationale.fr/decouvrir-l-assemblee/histoire/le-suffrage-universel"
FR11,1848,Deuxième République,Suffrage universel masculin et élection présidentielle directe,P,0,0,P,0,0,0,0,"Exclusion des femmes et situations coloniales différenciées; représentants indépendants","Transformation radicale du recrutement électoral sans transfert de l'initiative législative","Vote de masse et libertés politiques élargies","Gouvernement provisoire et Constituante","Le suffrage universel devient une source durable de légitimité",A,"Anti-strate décisive sur l'inclusion électorale; ne crée ni mandat impératif ni révocation","https://www.conseil-constitutionnel.fr/les-constitutions-dans-l-histoire/constitution-de-1848-iie-republique"
