id,workstream,kind,title,coverage_initial,evaluation,decision,depth,priority,status,dependencies,truth_engine,renard,renard_reason,corpus_refs,result_path,next_action,created_at,updated_at,notes,coverage_current,utility,item_type,execution_mode,parent_id,merged_into,wave,gate,coverage_basis,structure_note
INV-001,W0,INVESTIGATION,"Audit d’intégrité du corpus Substack : manifest, doublons, absents, versions, contradictions index/CSV/HTML",SUBSTANTIAL_PRIOR,CONFIRMED,RECHECK,RECHECK,P0,CLOSED,,N/A_STRUCTURAL,NO,Audit structurel déterministe ; RENARD sans valeur avant réparation baseline,,INV-001/INV-001-R1_REPLAY.md,INV-002 est READY ; analyser le replay avant lancement.,2026-09-05,2026-09-05,FAIL initial -> baseline gelée/reconstruite -> replay PASS. Canonical corpus=121; exclusions=8; voir replay.,SUBSTANTIAL_PRIOR,HIGH,STRUCTURAL,N/A,,,0,NONE,N/A,
INV-002,W0,INVESTIGATION,"Cartographie des articles : faits établis, hypothèses, claims forts, réfutations, gaps, acteurs, flux, mécanismes",SUBSTANTIAL_PRIOR,CONFIRMED,DO,RECHECK,P0,CLOSED,INV-001,N/A_CORPUS_MAPPING,NO,Cartographie corpus ; approfondissement RENARD non pertinent à ce stade.,,INV-002/INV-002_REPORT.md,Revue humaine INV-002 avant tout lancement INV-003+.,2026-09-05,2026-09-05,Cartographie 121 articles terminée ; aucun claim du corpus n’a été re-fact-checké automatiquement. Voir carte CSV et rapport.,SUBSTANTIAL_PRIOR,HIGH,STRUCTURAL,N/A,,,0,NONE,N/A,
INV-003,W0,INVESTIGATION,"Taxonomie générale du pouvoir d’influence : persuasion, lobbying, propagande, manipulation, astroturfing, capture, corruption, coercition, ingérence, subversion, psyops",NEW,PASS_STATIC,CONTROL,N/A,P0,CLOSED,HUMAN_REVIEW_INV-002,N/A_METHOD,N/A_METHOD,,A082:183123537.lempire-du-mensonge-rapport-dautopsie;A008:208733314.la-fabrique-de-la-menace-comment;A004:210182384.lingerence-sans-mesure;A091:181572197.lindustrie-de-linfluence-enquete,METHOD_PACK/METHOD_PACK.md,Satisfied by METHOD_PACK v0.1; runtime validation occurs through pilot gate.,2026-09-05,2026-09-05,,PARTIAL,HIGH,CONTROL_SPEC,N/A_METHOD,,,G0,NONE,STRONG,Exigence méthodologique transverse ; ne doit pas consommer un run Truth Engine séparé.
INV-004,W0,INVESTIGATION,Échelle probatoire de l’influence : intérêt → capacité → accès → action → coordination → exposition → persuasion → comportement → impact,NEW,PASS_STATIC,CONTROL,N/A,P0,CLOSED,HUMAN_REVIEW_INV-002,N/A_METHOD,N/A_METHOD,,A004:210182384.lingerence-sans-mesure;A006:209222653.du-narratif-a-lingerence-le-seuil;A002:212051560.qui-fabrique-lautorite-du-vrai;A008:208733314.la-fabrique-de-la-menace-comment,METHOD_PACK/METHOD_PACK.md,Satisfied by METHOD_PACK v0.1; runtime validation occurs through pilot gate.,2026-09-05,2026-09-05,,PARTIAL,HIGH,CONTROL_SPEC,N/A_METHOD,,,G0,NONE,STRONG,Exigence méthodologique transverse ; ne doit pas consommer un run Truth Engine séparé.
INV-005,W0,INVESTIGATION,"Mesurer réellement l’effet d’une opération d’influence : contrefactuels, causalité, attribution, exposition, persuasion, changement électoral",NEW,PASS_STATIC,CONTROL,N/A,P0,CLOSED,HUMAN_REVIEW_INV-002,N/A_METHOD,N/A_METHOD,,A004:210182384.lingerence-sans-mesure;A002:212051560.qui-fabrique-lautorite-du-vrai;A013:203962785.un-geyser-de-6-metres-a-clichy-autopsie,METHOD_PACK/METHOD_PACK.md,Satisfied by METHOD_PACK v0.1; runtime validation occurs through pilot gate.,2026-09-05,2026-09-05,,PARTIAL,HIGH,CONTROL_SPEC,N/A_METHOD,,,G0,NONE,STRONG,Exigence méthodologique transverse ; ne doit pas consommer un run Truth Engine séparé.
INV-006,W0,INVESTIGATION,Source officielle et vérité : valeur des sources primaires sans privilège automatique de véracité interprétative,PARTIAL,PASS_STATIC,CONTROL,N/A,P0,CLOSED,HUMAN_REVIEW_INV-002,N/A_METHOD,N/A_METHOD,,A001:212538645.qui-fact-checke-les-fact-checkers;A002:212051560.qui-fabrique-lautorite-du-vrai;A004:210182384.lingerence-sans-mesure;A006:209222653.du-narratif-a-lingerence-le-seuil;A118:180054346.kallas-et-les-19-pays-ce-que-les,METHOD_PACK/METHOD_PACK.md,Satisfied by METHOD_PACK v0.1; runtime validation occurs through pilot gate.,2026-09-05,2026-09-05,,SUBSTANTIAL_PRIOR,HIGH,CONTROL_SPEC,N/A_METHOD,,,G0,NONE,STRONG,Exigence méthodologique transverse ; ne doit pas consommer un run Truth Engine séparé.
INV-007,W0,INVESTIGATION,Méthodologie anti-faux-complot : réseau ≠ coordination ; financeur ≠ commanditaire ; convergence ≠ planification ; corrélation ≠ causalité,NEW,PASS_STATIC,CONTROL,N/A,P0,CLOSED,HUMAN_REVIEW_INV-002,N/A_METHOD,N/A_METHOD,,A002:212051560.qui-fabrique-lautorite-du-vrai;A004:210182384.lingerence-sans-mesure;A055:192483249.ce-nest-pas-du-satanisme-cest-une;A068:187674415.le-triangle-de-la-capture-le-mecanisme,METHOD_PACK/METHOD_PACK.md,Satisfied by METHOD_PACK v0.1; runtime validation occurs through pilot gate.,2026-09-05,2026-09-05,,PARTIAL,HIGH,CONTROL_SPEC,N/A_METHOD,,,G0,NONE,STRONG,Exigence méthodologique transverse ; ne doit pas consommer un run Truth Engine séparé.
INV-008,W0,INVESTIGATION,"Contre-théories obligatoires : pluralisme, capture sectorielle, réseaux, émergence sans chef, coordinations ponctuelles, architecture cohérente",NEW,PASS_STATIC,CONTROL,N/A,P0,CLOSED,HUMAN_REVIEW_INV-002,N/A_METHOD,N/A_METHOD,,A014:202848231.lecart-legalitelegitimite-la-signature;A039:198659211.opposition-controlee-anatomie-dun;A068:187674415.le-triangle-de-la-capture-le-mecanisme;A082:183123537.lempire-du-mensonge-rapport-dautopsie,METHOD_PACK/METHOD_PACK.md,Satisfied by METHOD_PACK v0.1; runtime validation occurs through pilot gate.,2026-09-05,2026-09-05,,PARTIAL,HIGH,CONTROL_SPEC,N/A_METHOD,,,G0,NONE,MEDIUM,Exigence méthodologique transverse ; ne doit pas consommer un run Truth Engine séparé.
INV-009,W1,INVESTIGATION,"Généalogie de la propagande démocratique moderne : Bernays, relations publiques, publicité politique, État, industrie",NEW,CONFIRMED,DO,DEEPEN,P1,BACKLOG,,NOT_RUN,UNDECIDED,,A082:183123537.lempire-du-mensonge-rapport-dautopsie;A071:186904003.larchitecture-de-la-censure-europeenne,,"Après validation du pilote, sélectionner dynamiquement selon model_change > discrimination > dependency_unlock > coverage_gap > utility.",2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,MAIN_DYNAMIC,PILOT_VALIDATED,THIN,Ordre non figé : sélection dynamique après chaque résultat.
INV-010,W1,INVESTIGATION,"CIA et élections étrangères : Italie, Chili et autres cas documentés ; techniques, argent, médias, partis, résultats",PARTIAL,CONFIRMED,DO,DEEPEN,P1,BLOCKED,,NOT_RUN,UNDECIDED,,A118:180054346.kallas-et-les-19-pays-ce-que-les;A082:183123537.lempire-du-mensonge-rapport-dautopsie,,Wait for human review/acceptance of METHOD_PACK v0.1; then execute pilots one by one.,2026-09-05,2026-09-05,,PARTIAL,HIGH,PRIMARY,DEEPEN,,,PILOT,HUMAN_REVIEW_METHOD_PACK,THIN,Pilot choisi pour tester une famille probatoire distincte.
