note;source;niveau_source;statut_R14;constat_forensique
1;Insee, chômage au sens du BIT, deuxième trimestre 2026 : https://www.insee.fr/fr/statistiques/9032359;A1 primaire public;CONFIRMÉ;Statistique officielle Insee, T2 2026.
2;Insee, emploi salarié privé, deuxième trimestre 2026 : https://www.insee.fr/fr/statistiques/9032830;A1 primaire public;CONFIRMÉ;Statistique officielle Insee sur l’emploi privé, T2 2026.
3;Apec, prévisions de recrutements de cadres 2026 : https://corporate.apec.fr/home/nos-etudes/toutes-nos-etudes/previsions-de-recrutements-de-cadres-2026.html;A2 organisme professionnel;CONFIRMÉ;"Donnée Apec ; utilisée pour les recrutements de cadres, pas comme mesure d’un effet IA."
4;Insee Blog, « Les gains de productivité français en partie retrouvés, sans effacer le retard accumulé », 29 mai 2026 : https://blog.insee.fr/les-gains-de-productivite-francais-en-partie-retrouves/;A1 analyse statistique publique;CONFIRMÉ;"Analyse Insee ; données 2025 provisoires et comparaison à la tendance pré-Covid correctement qualifiées."
5;France Num, EIST, devis industriels : https://www.francenum.gouv.fr/guides-et-conseils/intelligence-artificielle/analyse-et-exploitation-des-donnees-metiers-avec-lia-7;A2 cas institutionnel / entreprise;CONFIRMÉ AVEC BORNE;"Cas France Num/EIST ; gain déclaré dans un cas d’usage précis, non généralisable."
6;France Num, Ixarys, analyse documentaire : https://www.francenum.gouv.fr/guides-et-conseils/intelligence-artificielle/recherche-intelligente-et-analyse-documentaire-2;A2 cas institutionnel / entreprise;CONFIRMÉ AVEC BORNE;"Cas France Num/Ixarys ; gain déclaré, validation humaine maintenue."
7;Erik Brynjolfsson, Danielle Li, Lindsey Raymond, « Generative AI at Work », *Quarterly Journal of Economics*, 2025 : https://academic.oup.com/qje/article/140/2/889/7990658;A1 article académique évalué;CONFIRMÉ AVEC BORNE;"5 172 agents ; +15 % moyen, effets hétérogènes ; validité externe limitée au contexte étudié."
8;Insee, « Caractéristiques des personnes en emploi en 2025 » : https://www.insee.fr/fr/statistiques/8733041;A1 primaire public;CONFIRMÉ;Insee, population en emploi 2025.
9;Insee, « Niveau de vie et pauvreté en 2024 », juillet 2026 : https://www.insee.fr/fr/statistiques/9019316;A1 primaire public;CONFIRMÉ;Insee, pauvreté 2024 publiée en 2026.
10;Insee, « Le travail domestique : 60 milliards d’heures en 2010 », Insee Première n° 1423 : https://www.insee.fr/fr/statistiques/2123967;A1 primaire public historique;CONFIRMÉ AVEC BORNE;"Insee 2010 ; donnée historique utilisée comme ordre de grandeur, non comme valeur 2026."
11;DREES, « Trois aidants sur dix accompagnent seuls leur proche, six sur dix sont en activité ou étudiants », décembre 2025 : https://drees.solidarites-sante.gouv.fr/publications-communique-de-presse/251217-ER-etudes-et-resultats/proches-aidants;A1 primaire public;CONFIRMÉ;DREES, aidants, 2025.
12;"METR, « Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity », juillet 2025 : https://metr.org/blog/2025-07-10-early-2025-ai-experienced-os-dev-study/ ; METR, « We are Changing our Developer Productivity Experiment Design », 24 février 2026 : https://metr.org/blog/2026-02-24-uplift-update/";A1 étude expérimentale + mise à jour auteur;CORRIGÉ R9;Le résultat 2025 (-19 % de vitesse) reste valide pour l’expérience initiale mais ne devait pas être extrapolé à 2026. Mise à jour METR de février 2026 ajoutée.
13;France Num, Ingérop, analyse des appels d’offres : https://www.francenum.gouv.fr/guides-et-conseils/intelligence-artificielle/recherche-intelligente-et-analyse-documentaire-1;A2 cas institutionnel / entreprise;CONFIRMÉ AVEC BORNE;"France Num/Ingérop ; cas d’usage, pas coefficient général."
14;Wavestone, résultats 2025/26 : https://www.wavestone.com/fr/regul-information/resultats-2025-26-resultat-net-en-progression-de-8-lead-the-shift-le-plan-strategique-de-wavestone-a-lhorizon-2030/;A2 primaire entreprise;CONFIRMÉ;"Résultats Wavestone 2025/26 ; attribution à l’entreprise."
