inv	file	src_id	tier	family	ref	title	date	url
INV-098	2026-09-08_05-09_vote-buying-clientelism_INVESTIGATION.md	SRC-001	◈	fam:A	LEGIFRANCE-L106	Code électoral — article L106	2026-04-12	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006353253/2026-04-12
INV-098	2026-09-08_05-09_vote-buying-clientelism_INVESTIGATION.md	SRC-002	◈	fam:A	CE-322236	Conseil d’État, 8 juin 2009, n°322236, Corbeil-Essonnes	2009-06-08	https://www.legifrance.gouv.fr/ceta/id/CETATEXT000020869399/
INV-098	2026-09-08_05-09_vote-buying-clientelism_INVESTIGATION.md	SRC-003	◈	fam:A	CE-385592	Conseil d’État, 19 juin 2015, n°385592, Sainte-Suzanne	2015-06-19	https://www.legifrance.gouv.fr/ceta/id/CETATEXT000030755736
INV-098	2026-09-08_05-09_vote-buying-clientelism_INVESTIGATION.md	SRC-004	◈	fam:A	CE-450129	Conseil d’État, 22 juillet 2021, n°450129, Corbeil-Essonnes	2021-07-22	https://www.conseil-etat.fr/fr/arianeweb/CE/decision/2021-07-22/450129
INV-098	2026-09-08_05-09_vote-buying-clientelism_INVESTIGATION.md	SRC-005	◈	fam:A	CE-449614	Conseil d’État, 22 juillet 2021, n°449614, Dourdan	2021-07-22	https://www.legifrance.gouv.fr/ceta/id/CETATEXT000043852126
INV-098	2026-09-08_05-09_vote-buying-clientelism_INVESTIGATION.md	SRC-006	◈	fam:A	CE-395481	Conseil d’État, 17 juin 2016, n°395481, La Réunion	2016-06-17	https://www.legifrance.gouv.fr/ceta/id/CETATEXT000032772236/
INV-098	2026-09-08_05-09_vote-buying-clientelism_INVESTIGATION.md	SRC-007	◈	fam:B	AFA-ETAT-ART-CORRUPTION	AFA — État de l’art sur la corruption	2021	https://www.agence-francaise-anticorruption.gouv.fr/files/files/Etat%20de%20l%27art%20corruption.pdf
INV-098	2026-09-08_05-09_vote-buying-clientelism_INVESTIGATION.md	SRC-008	◉	fam:C	JPE-2025-105276	Fabre & Sangnier — The political allocation of public investment subsidies	2025-01	https://www.sciencedirect.com/science/article/pii/S0047272724002123
INV-098	2026-09-08_05-09_vote-buying-clientelism_INVESTIGATION.md	SRC-009	◉	fam:D	RFAP-2024-186-455	Dubois & Monnery — Réserve parlementaire et ciblage électoral	2024	https://droit.cairn.info/revue-francaise-d-administration-publique-2024-2-page-455?lang=fr
INV-098	2026-09-08_05-09_vote-buying-clientelism_INVESTIGATION.md	SRC-010	◉	fam:E	PUBLIC-CHOICE-2020	Lévêque — Political connections and building permits in France	2020	https://link.springer.com/article/10.1007/s11127-019-00718-z
INV-098	2026-09-08_05-09_vote-buying-clientelism_INVESTIGATION.md	SRC-011	◉	fam:other:debt-cycle	ECON-LETTERS-2014	Cassette & Farvaque — Political budget cycles and reelection in French municipalities	2014	https://www.sciencedirect.com/science/article/abs/pii/S0165176513005612
INV-099	2026-09-08_05-54_electoral-fraud-claims_INVESTIGATION.md	SRC-001	◈	fam:A	CE-451509	Conseil d’État — décision n°451509	2022-01-11	https://www.conseil-etat.fr/fr/arianeweb/CE/decision/2022-01-11/451509
INV-099	2026-09-08_05-54_electoral-fraud-claims_INVESTIGATION.md	SRC-002	◈	fam:B	OSCE-FR-PRES-2022	OSCE/ODIHR — France presidential election 2022 final report	2022-09-06	https://odihr.osce.org/odihr/elections/france/525330
INV-099	2026-09-08_05-54_electoral-fraud-claims_INVESTIGATION.md	SRC-003	◈	fam:B	OSCE-FR-PARL-2022	OSCE/ODIHR — France parliamentary elections 2022 final report	2022-12-19	https://odihr.osce.org/odihr/elections/france/535110
INV-099	2026-09-08_05-54_electoral-fraud-claims_INVESTIGATION.md	SRC-004	◈	fam:C	SENAT-Q07520-2026	Sénat — conditions d’établissement des procurations, réponse Intérieur	2026-05-28	https://www.senat.fr/questions/base/2026/qSEQ260207520.html
INV-099	2026-09-08_05-54_electoral-fraud-claims_INVESTIGATION.md	SRC-005	◈	fam:other:afp	AFP-32CZ79X	AFP Factuel — Véran/Woerth fraude électronique impossible	2022-06-24	https://factuel.afp.com/doc.afp.com.32CZ79X
INV-099	2026-09-08_05-54_electoral-fraud-claims_INVESTIGATION.md	SRC-006	◈	fam:other:afp	AFP-32962GJ	AFP Factuel — faux recomptage RN après présidentielle	2022-04-28	https://factuel.afp.com/doc.afp.com.32962GJ
INV-099	2026-09-08_05-54_electoral-fraud-claims_INVESTIGATION.md	SRC-007	◈	fam:other:lemonde	LEMONDE-FR2-2022	Le Monde — bug France 2 et rumeur de fraude	2022-04-25	https://www.lemonde.fr/les-decodeurs/article/2022/04/25/election-presidentielle-2022-une-video-de-france-2-montre-t-elle-une-fraude-electorale-dans-le-decompte-des-voix_6123625_4355770.html
INV-099	2026-09-08_05-54_electoral-fraud-claims_INVESTIGATION.md	SRC-008	◈	fam:D	BERLIN-VFGH-154-21	Verfassungsgerichtshof Berlin — élections 2021 invalides	2022-11-16	https://www.berlin.de/gerichte/sonstige-gerichte/verfassungsgerichtshof/pressemitteilungen/2022/pressemitteilung.1265423.php
INV-099	2026-09-08_05-54_electoral-fraud-claims_INVESTIGATION.md	SRC-009	◈	fam:D	BVERFG-2BVC4-23	Bundesverfassungsgericht — Berlin Bundestag repeat election	2023-12-19	https://www.bundesverfassungsgericht.de/SharedDocs/Pressemitteilungen/EN/2023/bvg23-119.html
INV-099	2026-09-08_05-54_electoral-fraud-claims_INVESTIGATION.md	SRC-010	◈	fam:E	JUSTICE-CONDAMNATIONS-2026	Ministère de la Justice — données sur les condamnations	2026-04-23	https://www.justice.gouv.fr/documentation/etudes-et-statistiques/condamnations
INV-099	2026-09-08_05-54_electoral-fraud-claims_INVESTIGATION.md	SRC-011	◈	fam:other:legifrance	LEGIFRANCE-ELECTORAL-PENAL-2022	Légifrance — Code électoral, dispositions pénales L86 à L117-2	2022-12-09	https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006070239/LEGISCTA000006148461/2022-12-09/
INV-143	2026-09-08_06-18_institutional-election-timing_INVESTIGATION.md	SRC-001	◈	fam:other:csm	CSM-AVIS-2020-09-15	CSM — avis du 15 septembre 2020 sur le PNF et l’enquête Fillon	2020-09-16	https://www.conseil-superieur-magistrature.fr/publications/avis-de-la-formation-pleniere-du-conseil-superieur-de-la-magistrature-du-15-septembre
INV-143	2026-09-08_06-18_institutional-election-timing_INVESTIGATION.md	SRC-002	○	fam:B	LM-FILLON-TIMELINE-2017-01-28	Le Monde — Affaire Fillon : comprendre le déroulé de l’enquête	2017-01-28	https://www.lemonde.fr/election-presidentielle-2017/article/2017/01/28/affaire-penelope-fillon-comprendre-le-deroule-de-l-enquete_5070477_4854003.html
INV-143	2026-09-08_06-18_institutional-election-timing_INVESTIGATION.md	SRC-003	○	fam:B	LM-FILLON-INFO-2017-02-24	Le Monde — Le PNF ouvre une information judiciaire dans l’affaire Fillon	2017-02-24	https://www.lemonde.fr/affaire-penelope-fillon/article/2017/02/24/affaire-fillon-le-parquet-national-financier-ouvre-une-information-judiciaire_5085285_5070021.html
INV-143	2026-09-08_06-18_institutional-election-timing_INVESTIGATION.md	SRC-004	◈	fam:C	IPSOS-CEVIPOF-EEF-V11	Ipsos/CEVIPOF — Enquête électorale française, vague 11	2017-02-16	https://www.ipsos.com/fr-fr/enquete-electorale-francaise-vague-11-deux-mois-du-scrutin-le-match-est-loin-detre-plie
INV-143	2026-09-08_06-18_institutional-election-timing_INVESTIGATION.md	SRC-005	○	fam:B	LM-CEVIPOF-2017-01-19	Le Monde — Le Pen, Fillon et Macron en tête dans les intentions de vote	2017-01-19	https://www.lemonde.fr/election-presidentielle-2017/article/2017/01/19/le-pen-fillon-et-macron-en-tete-dans-les-intentions-de-vote-au-premier-tour_5065009_4854003.html
INV-143	2026-09-08_06-18_institutional-election-timing_INVESTIGATION.md	SRC-006	◈	fam:other:courcass	CASS-22-83.466	Cour de cassation — pourvoi n°22-83.466	2024-04-24	https://www.courdecassation.fr/decision/6628a0ddb2cb67000826a425
INV-143	2026-09-08_06-18_institutional-election-timing_INVESTIGATION.md	SRC-007	◈	fam:other:cc	CC-2025-1129-QPC	Conseil constitutionnel — décision n°2025-1129 QPC	2025-03-28	https://qpc360.conseil-constitutionnel.fr/2025-03-28/decision-2025-1129-qpc-28-mars-2025
INV-143	2026-09-08_06-18_institutional-election-timing_INVESTIGATION.md	SRC-008	◈	fam:other:ce	CE-LEPEN-2025-11-10	Conseil d’État — exécution provisoire de l’inéligibilité de Marine Le Pen	2025-11-10	https://conseil-etat.fr/site/actualites/execution-provisoire-d-une-peine-d-ineligibilite-le-conseil-d-etat-confirme-la-demission-d-office-de-mme-marine-le-pen-de-son-mandat-de-conseille
