claim_id,actor,date,claim_or_verdict,source_url,audit_issue,evidence_at_date,later_evidence,xq200_verdict,confidence,correction_status,article_value,notes
C200-001,Conspiracy Watch,2020-04-09,Engineered + accidental/intended lab spread described as 'false in all respects'.,https://www.conspiracywatch.info/nen-deplaise-aux-complotistes-george-soros-na-rien-a-voir-avec-le-covid-19.html,"Category/scope compression, not clean factual error",Strong evidence against engineering; accidental leak was not equivalently disproved.,Conspiracy Watch distinguished accidental natural-virus lab escape from engineering by 16 Apr 2020; WHO 2025 still favors zoonotic spillover by weight of evidence but says a lab-related incident cannot be excluded with available information.,CATEGORY_COLLAPSE_RISK,HIGH,SEPARATE_ACTOR_LEVEL_CONTEXTUALIZATION_FROM_2020-04-16,HIGH,"The 9 Apr compound wording is a scope-compression case, not proof that CW denied every generic lab-leak scenario. Earliest confirmed actor-level distinction now 16 Apr 2020; not attached to the 9 Apr artifact."
C200-002,Conspiracy Watch,2020-03-28,Survey treats 'fabricated accidentally in a laboratory' as laboratory-created category.,https://www.conspiracywatch.info/un-francais-sur-quatre-estime-a-tort-que-le-coronavirus-a-ete-concu-en-laboratoire.html,Category design,Accidental engineering and accidental release are not the same proposition.,Later public origin debate made this distinction central.,CATEGORY_COLLAPSE_RISK,HIGH,NOT_FOUND,HIGH,
C200-003,Hoaxbuster,2020-04-18,Lab responsibility under investigation; corrections promised as facts emerge; no genome trace of known engineering.,https://www.hoaxbuster.com/covid19/2020/04/18/covid19-epidemie-de-fake-news,Temporal calibration,Appropriately separates open lab-responsibility question from anti-engineering genomic evidence.,Still a sound distinction.,GOOD_TEMPORAL_CALIBRATION,HIGH,PROMISED_UPDATES_NOT_AUDITED,MEDIUM_HIGH,Positive comparator.
C200-004,Hoaxbuster,2021-12-24,Real hospital snapshot cannot be used alone to show vaccine inefficacy.,https://www.hoaxbuster.com/covid19/2021/12/28/compte-rendu-note-interne-gare-a-ces-documents-trompeurs-qui-circulent-sur-les-reseaux-sociaux,Denominator/context,Hospital note must be contextualized by vaccine coverage/risk mix and updated data.,No later contradiction identified.,CORRECT_WITH_BOUNDS,HIGH,NONE_NEEDED_FOUND,MEDIUM,
C200-005,Fact & Furious,2021-08,Raw VigiAccess report counts do not establish that Covid vaccines are 10x more dangerous.,https://blogs.mediapart.fr/enzo-lolo/blog/060821/covid-19-letiquette-fact-checker-est-elle-gage-de-competence,Pharmacovigilance method,"UMC: reports are suspected causal relationships, unproven; cannot compare safety profiles solely from reports.",OPECST 2022 likewise warns spontaneous reporting cannot directly yield incidence/risk without careful analysis.,CORE_WARNING_SUPPORTED_SPECIFICS_CONTESTED,MEDIUM_HIGH,UNKNOWN_ARCHIVE,HIGH,Specific F&F calculations/wording require original archived article; adversarial response is not independent adjudication.
C200-006,Factoscope,2021-07-09,"Véran: 'phase 3 is finished for months, validated' → Faux.",https://factoscope.fr/factoscope1722/la-phase-3-des-essais-de-vaccin-est-terminee-depuis-des-mois-elle-est-validee/,Binary compression,Literal phase-3 follow-up was ongoing.,Underlying Le Monde source says statement wrong literally but Véran right on substantive non-'experimental' point.,CORRECT_NARROW_BUT_LOSES_SOURCE_NUANCE,HIGH,NOT_FOUND,HIGH,
C200-007,Factoscope,2021-12-03,Child-vaccine benefit/risk statement → Faux.,https://factoscope.fr/factoscope1722/la-balance-benefice-risque-etait-defavorable-a-la-vaccination-des-enfants/,Temporal calibration / population scope,HAS 30 Nov recommended vaccination for fragile 5–11s and said broader 5–11 decision was still forthcoming.,HAS 20 Dec favored offering vaccination to all 5–11s without obligation.,VERDICT_TOO_CATEGORICAL_AT_DATE,HIGH,NOT_FOUND,VERY_HIGH,Later recommendation cannot be back-projected to erase the 3 Dec uncertainty.
C200-008,La Tronche en Biais,2021→2022,Vaccines protect against contagion.,https://menace-theoriste.fr/masterclass-en-imposture-idriss-aberkane/,Temporal calibration,Protection against infection/transmission changed materially with variants; author's own release timing was later judged doubtful/imprudent.,Feb 2022 explicit admission 'j'ai eu tort'.,SELF_CORRECTED,HIGH,EXPLICIT_SELF_CORRECTION,VERY_HIGH,Positive repair case; exact original video should be archived for reach comparison.
C200-009,EU DisinfoLab,2020-10-27,Scientific moderation must account for claims whose truth-status changes as evidence evolves.,https://www.disinfo.eu/publications/hydroxychloroquine-and-facebook%3A-the-challenge-of-moderating-scientifically-debatable-claims,Temporal model,Explicitly states information could be correct in April and not later under updated evidence.,Method remains sound.,GOOD_TEMPORAL_CALIBRATION,HIGH,VISIBLE_MINOR_EDIT,HIGH,Counterexample to binary timeless fact-checking.
C200-010,EUvsDisinfo,2020-03-30,Summary: possible lab leak; response: no evidence of fabrication/weapon.,https://euvsdisinfo.eu/report/coronavirus-a-leak-from-a-lab-300m-away-from-markets/,Claim-response fit,Engineering evidence does not itself settle accidental leak.,WHO later kept lab leak on table.,CLAIM_SCOPE_COLLAPSE,HIGH,NOT_FOUND,VERY_HIGH,Methodological failure independent of whether leak ultimately occurred.
