id,workstream,kind,title,coverage_after_inv002,utility,recommended_action,corpus_refs,reason
INV-001,W0,INVESTIGATION,"Audit d’intégrité du corpus Substack : manifest, doublons, absents, versions, contradictions index/CSV/HTML",SUBSTANTIAL_PRIOR,HIGH,CLOSE,,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-002,W0,INVESTIGATION,"Cartographie des articles : faits établis, hypothèses, claims forts, réfutations, gaps, acteurs, flux, mécanismes",SUBSTANTIAL_PRIOR,HIGH,COMPLETE,,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-003,W0,INVESTIGATION,"Taxonomie générale du pouvoir d’influence : persuasion, lobbying, propagande, manipulation, astroturfing, capture, corruption, coercition, ingérence, subversion, psyops",PARTIAL,HIGH,DEEPEN,A082:183123537.lempire-du-mensonge-rapport-dautopsie;A008:208733314.la-fabrique-de-la-menace-comment;A004:210182384.lingerence-sans-mesure;A091:181572197.lindustrie-de-linfluence-enquete,Corpus touches the subject but does not close the proposed investigation.
INV-004,W0,INVESTIGATION,Échelle probatoire de l’influence : intérêt → capacité → accès → action → coordination → exposition → persuasion → comportement → impact,PARTIAL,HIGH,DEEPEN,A004:210182384.lingerence-sans-mesure;A006:209222653.du-narratif-a-lingerence-le-seuil;A002:212051560.qui-fabrique-lautorite-du-vrai;A008:208733314.la-fabrique-de-la-menace-comment,Corpus touches the subject but does not close the proposed investigation.
INV-005,W0,INVESTIGATION,"Mesurer réellement l’effet d’une opération d’influence : contrefactuels, causalité, attribution, exposition, persuasion, changement électoral",PARTIAL,HIGH,DEEPEN,A004:210182384.lingerence-sans-mesure;A002:212051560.qui-fabrique-lautorite-du-vrai;A013:203962785.un-geyser-de-6-metres-a-clichy-autopsie,Corpus touches the subject but does not close the proposed investigation.
INV-006,W0,INVESTIGATION,Source officielle et vérité : valeur des sources primaires sans privilège automatique de véracité interprétative,SUBSTANTIAL_PRIOR,HIGH,RECHECK,A001:212538645.qui-fact-checke-les-fact-checkers;A002:212051560.qui-fabrique-lautorite-du-vrai;A004:210182384.lingerence-sans-mesure;A006:209222653.du-narratif-a-lingerence-le-seuil;A118:180054346.kallas-et-les-19-pays-ce-que-les,Dedicated or repeated corpus coverage exists; reuse only after revalidation of material claims.
INV-007,W0,INVESTIGATION,Méthodologie anti-faux-complot : réseau ≠ coordination ; financeur ≠ commanditaire ; convergence ≠ planification ; corrélation ≠ causalité,PARTIAL,HIGH,DEEPEN,A002:212051560.qui-fabrique-lautorite-du-vrai;A004:210182384.lingerence-sans-mesure;A055:192483249.ce-nest-pas-du-satanisme-cest-une;A068:187674415.le-triangle-de-la-capture-le-mecanisme,Corpus touches the subject but does not close the proposed investigation.
INV-008,W0,INVESTIGATION,"Contre-théories obligatoires : pluralisme, capture sectorielle, réseaux, émergence sans chef, coordinations ponctuelles, architecture cohérente",PARTIAL,HIGH,DEEPEN,A014:202848231.lecart-legalitelegitimite-la-signature;A039:198659211.opposition-controlee-anatomie-dun;A068:187674415.le-triangle-de-la-capture-le-mecanisme;A082:183123537.lempire-du-mensonge-rapport-dautopsie,Corpus touches the subject but does not close the proposed investigation.
INV-009,W1,INVESTIGATION,"Généalogie de la propagande démocratique moderne : Bernays, relations publiques, publicité politique, État, industrie",PARTIAL,HIGH,DEEPEN,A082:183123537.lempire-du-mensonge-rapport-dautopsie;A071:186904003.larchitecture-de-la-censure-europeenne,Corpus touches the subject but does not close the proposed investigation.
INV-010,W1,INVESTIGATION,"CIA et élections étrangères : Italie, Chili et autres cas documentés ; techniques, argent, médias, partis, résultats",PARTIAL,HIGH,DEEPEN,A118:180054346.kallas-et-les-19-pays-ce-que-les;A082:183123537.lempire-du-mensonge-rapport-dautopsie,Corpus touches the subject but does not close the proposed investigation.
INV-011,W1,INVESTIGATION,"CIA, médias et Operation Mockingbird : faits établis, mythes, continuités éventuelles",PARTIAL,HIGH,DEEPEN,A071:186904003.larchitecture-de-la-censure-europeenne,Corpus touches the subject but does not close the proposed investigation.
INV-012,W1,INVESTIGATION,"COINTELPRO et ingénierie politique intérieure américaine : infiltration, fragmentation, surveillance, neutralisation",PARTIAL,HIGH,DEEPEN,A071:186904003.larchitecture-de-la-censure-europeenne;A082:183123537.lempire-du-mensonge-rapport-dautopsie,Corpus touches the subject but does not close the proposed investigation.
INV-013,W1,INVESTIGATION,"Active Measures soviétiques puis russes : continuités, ruptures, doctrine et efficacité réelle",PARTIAL,HIGH,DEEPEN,A004:210182384.lingerence-sans-mesure;A008:208733314.la-fabrique-de-la-menace-comment;A013:203962785.un-geyser-de-6-metres-a-clichy-autopsie;A116:180061326.qui-a-vraiment-la-tete-dans-le-sable,Corpus touches the subject but does not close the proposed investigation.
INV-014,W1,INVESTIGATION,"Révolutions de couleur : Serbie, Géorgie, Ukraine, Kirghizistan ; dynamique endogène versus assistance extérieure",PARTIAL,HIGH,DEEPEN,A100:180377342.bandera-vs-petain-ce-que-les-faits;A111:180120693.macron-et-la-paix-en-ukraine-ce-que;A118:180054346.kallas-et-les-19-pays-ce-que-les,Corpus touches the subject but does not close the proposed investigation.
INV-015,W1,INVESTIGATION,"Otpor, CANVAS et exportation des techniques de mobilisation politique",NEW,HIGH,DEEPEN,,No sufficiently substantive prior investigation identified in the canonical corpus.
INV-016,W1,INVESTIGATION,"Printemps arabes : spontanéité, réseaux sociaux, assistance occidentale, ONG, diplomatie et intérêts géopolitiques",NEW,HIGH,DEEPEN,,No sufficiently substantive prior investigation identified in the canonical corpus.
INV-017,W1,INVESTIGATION,"Cambridge Analytica : données, psychométrie, microtargeting et différence entre capacité revendiquée et efficacité démontrée",PARTIAL,HIGH,DEEPEN,A071:186904003.larchitecture-de-la-censure-europeenne;A082:183123537.lempire-du-mensonge-rapport-dautopsie,Corpus touches the subject but does not close the proposed investigation.
INV-018,W1,INVESTIGATION,"Élections américaines 2016 : opération russe démontrée, effet électoral non démontré, construction politique ultérieure du récit",PARTIAL,HIGH,DEEPEN,A118:180054346.kallas-et-les-19-pays-ce-que-les;A004:210182384.lingerence-sans-mesure,Corpus touches the subject but does not close the proposed investigation.
INV-019,W2,INVESTIGATION,"États-Unis : architecture publique de promotion de la démocratie — State Department, USAID, NED, USAGM, médias/société civile/élections",PARTIAL,HIGH,DEEPEN,A090:181766389.les-telegraphistes-de-la-terreur;A004:210182384.lingerence-sans-mesure,Corpus touches the subject but does not close the proposed investigation.
