article_no,date,verification_inv002,post_id,title,keywords,relevance,reuse_policy,claim_posture,traceability_links,word_count,external_links,actors,mechanisms,dimensions,central_claim_from_corpus,evidence_anchors_from_index,explicit_limits_refutations,gaps_reuse_warning,url
1,2026-08-25,NOT_REVERIFIED,212538645.qui-fact-checke-les-fact-checkers,🕵️♂️ Qui fact-checke les fact-checkers ?,"fact-checking, Covid, AFP, vaccins, désinformation, médias, santé",DIRECT,ANCHOR_RECHECK_MATERIAL,CALIBRATED,RICH,15612,109,MEDIAS|PLATEFORMES_BIGTECH|ONG_FONDATIONS|USA,CADRAGE_NARRATIF|MEDIAS_AGENDA|SURVEILLANCE_DONNEES|SCIENCE_EXPERTISE,TECHNIQUE|ANTHROPOLOGIQUE|POLITIQUE|SOCIALE|SCIENTIFIQUE,"Prolonge « Qui fabrique l'autorité du vrai ? » : mesure la confiance que mérite l'étiquette « fact-check » face à une science incertaine et des libertés en jeu, via le Covid.","Cas d'ouverture : AFP Factuel, 28 septembre 2021 (traduction d'une vérification du 18 août) sur Ryan Cole et la protéine Spike : la conclusion (rejet du saut causal détection → danger) est défendable, mais la prémisse « la protéine Spike ne circule pas dans le corps » est plus catégorique que les données (étude d'Ogata : sous-unité S1 détectée dans le plasma de 11 participants sur 13 après Moderna, Spike complète chez 3) : un fact-check peut aboutir à une conclusion globalement juste en déformant le statut probatoire d'une composante. Utilité réelle mais limitée : excelle sur les faits étroits (Blanquer 2021, Castex, fausses couches, « 251 fois plus de charge virale ») ; effet correctif positif mesuré mais modeste (méta-analyse politique : 30 études, 20 963 participants, d = 0,29 ; santé : 24 études, 6 086 participants, d = 0,40, IC 95 % 0,25-0,55, biais de publication non exclu) : « non, le fact-checking n'est pas inutile », mais sa valeur spécifique n'est pas « nous vérifions ».","Utilité réelle mais limitée : excelle sur les faits étroits (Blanquer 2021, Castex, fausses couches, « 251 fois plus de charge virale ») ; effet correctif positif mesuré mais modeste (méta-analyse politique : 30 études, 20 963 participants, d = 0,29 ; santé : 24 études, 6 086 participants, d = 0,40, IC 95 % 0,25-0,55, biais de publication non exclu) : « non, le fact-checking n'est pas inutile », mais sa valeur spécifique n'est pas « nous vérifions ». Ce que l'enquête n'établit pas : ni taux d'erreur général, ni dangerosité des vaccins, ni collusion ; le corpus documente des possibilités d'échec et des contre-exemples, il ne mesure pas la profession entière.",,https://giak.substack.com/p/qui-fact-checke-les-fact-checkers
2,2026-08-20,NOT_REVERIFIED,212051560.qui-fabrique-lautorite-du-vrai,🔍 Qui fabrique l'autorité du vrai ?,"fact-checking, désinformation, plateformes, certification, médias, données",DIRECT,ANCHOR_RECHECK_MATERIAL,CALIBRATED,RICH,13878,90,ETAT_FR|UE|MEDIAS|PLATEFORMES_BIGTECH|PARTIS_ELUS|ENTREPRISES_FINANCE|ONG_FONDATIONS,FINANCEMENT_FLUX|LOBBYING_RESEAUX|CADRAGE_NARRATIF|MEDIAS_AGENDA|MODERATION_CENSURE|DROIT_REGULATION|SURVEILLANCE_DONNEES|COERCITION_ADMIN|SCIENCE_EXPERTISE,JURIDIQUE|TECHNIQUE|POLITIQUE|ECONOMIQUE|ETHIQUE|NARRATIVE|SCIENTIFIQUE|COMMUNICATION,"Enquête sur le fact-checking comme infrastructure de qualification : le fact-check n'est plus seulement un article, il peut devenir un signal de plateforme (Meta : plus de 3,2 M de contenus étiquetés pour la ligne France sur Facebook au S2 2025, 57,8 % de repartages non finalisés, chiffres descriptifs sans contrefactuel causal, pas un « taux de censure »).","Enquête sur le fact-checking comme infrastructure de qualification : le fact-check n'est plus seulement un article, il peut devenir un signal de plateforme (Meta : plus de 3,2 M de contenus étiquetés pour la ligne France sur Facebook au S2 2025, 57,8 % de repartages non finalisés, chiffres descriptifs sans contrefactuel causal, pas un « taux de censure »). Pas de ministère de la vérité, pas de cartel homogène, pas de financeur dictant les verdicts : le problème est la composition, pas le centre.","Pas de ministère de la vérité, pas de cartel homogène, pas de financeur dictant les verdicts : le problème est la composition, pas le centre. Argent : financeur → verdict imposé non établi ; financé → ne critique jamais réfuté (Les Surligneurs critiquent Meta après l'accord 2024, Science Feedback) ; financeur → cadre, capacité et pouvoir de sortie fortement soutenus ; activité rémunérée et mesurée (Full Fact 342 712 £ de Meta en 2025, Database Grants 860 000 € liés au volume, TikTok contrats-cadres standardisés) ; coût marginal d'une erreur non observable (asymétrie d'auditabilité).","Pouvoir de sélection avant le verdict : Louis-Sidois (JEEA 2025, 10 628 articles, 2 405 codés) trouve des différences reflétant l'orientation du média, mais seulement 2 désaccords sur 232 affirmations partagées : l'asymétrie vient de la sélection, pas des verdicts ; contre-modèles (PolitiFact/PNAS Nexus : la « prominence » prédit mieux que le parti, 20 % des élus = 90 % des fact-checks ; débat Macron-Le Pen 2022 : 51 vs 24 vérifications sans dénominateur) ; test de biais actuel rejeté faute de dénominateur défendable (corpus Factoscope/STVD-FC). Argent : financeur → verdict imposé non établi ; financé → ne critique jamais réfuté (Les Surligneurs critiquent Meta après l'accord 2024, Science Feedback) ; financeur → cadre, capacité et pouvoir de sortie fortement soutenus ; activité rémunérée et mesurée (Full Fact 342 712 £ de Meta en 2025, Database Grants 860 000 € liés au volume, TikTok contrats-cadres standardisés) ; coût marginal d'une erreur non observable (asymétrie d'auditabilité).",https://giak.substack.com/p/qui-fabrique-lautorite-du-vrai
3,2026-08-09,NOT_REVERIFIED,210245443.limpossible-rassemblement,🤝 L'Impossible Rassemblement,"souveraineté, RIC, Frexit, démocratie, rassemblement, référendum, organisations",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,6617,20,ETAT_FR|PARTIS_ELUS|CITOYENS_MOUVEMENTS,FINANCEMENT_FLUX|DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE|ELECTION_CONSENTEMENT|COERCITION_ADMIN,JURIDIQUE|ANTHROPOLOGIQUE|POLITIQUE|COMMUNICATION|MARKETING_PR,"Diagnostic organisationnel : la France ne manque ni de colères, ni de diagnostics, ni de mobilisations, mais d'une force commune capable de conserver, d'ordonner et de transformer les victoires en pouvoir durable ; l'échec n'est pas seulement électoral, il est reproduit de l'intérieur.","Séquence fondatrice : le non du 29 mai 2005 (15 449 508 voix, 54,67 %, participation 69,37 %) puis ratification de Lisbonne par le Congrès le 4 février 2008 (560 pour, 181 contre, 152 abstentions) sans second référendum : les électeurs ont pu répondre à une question, jamais en poser une nouvelle. Demande ≠ force : 80 % favorables au RIC (Harris Interactive, janv.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/limpossible-rassemblement
4,2026-08-07,NOT_REVERIFIED,210182384.lingerence-sans-mesure,🔍 L'ingérence sans mesure,"ingérence, Viginum, désinformation, loi, médias, justice",DIRECT,ANCHOR_RECHECK_MATERIAL,MIXED,RICH,5998,51,ETAT_FR|UE|MEDIAS|PLATEFORMES_BIGTECH|ONG_FONDATIONS|LOBBIES_THINKTANKS|RUSSIE|ISRAEL|CHINE|GOLFE,FINANCEMENT_FLUX|LOBBYING_RESEAUX|CADRAGE_NARRATIF|MODERATION_CENSURE|DROIT_REGULATION|INGERENCE_ETRANGERE|COERCITION_ADMIN|SCIENCE_EXPERTISE,JURIDIQUE|ECONOMIQUE|ETHIQUE|SCIENTIFIQUE,"Analyse forensique de la machine anti-ingérence française : 7 couches législatives en 22 ans (LCEN 2004 → projet de loi Nuñez du 22 juillet 2026), zéro abrogation, zéro contrôle constitutionnel au fond.","Analyse forensique de la machine anti-ingérence française : 7 couches législatives en 22 ans (LCEN 2004 → projet de loi Nuñez du 22 juillet 2026), zéro abrogation, zéro contrôle constitutionnel au fond. L'écart entre les chiffres officiels (25 tentatives 2024, 4 ingérences 2026) et la mesure publique de la menace : le chef de Viginum reconnaît que leur très grande majorité n'a eu ni visibilité ni effet, l'impact n'est pas mesuré (VIGISCORE = risque estimé, pas effet constaté).","L'écart entre les chiffres officiels (25 tentatives 2024, 4 ingérences 2026) et la mesure publique de la menace : le chef de Viginum reconnaît que leur très grande majorité n'a eu ni visibilité ni effet, l'impact n'est pas mesuré (VIGISCORE = risque estimé, pas effet constaté).","L'écart entre les chiffres officiels (25 tentatives 2024, 4 ingérences 2026) et la mesure publique de la menace : le chef de Viginum reconnaît que leur très grande majorité n'a eu ni visibilité ni effet, l'impact n'est pas mesuré (VIGISCORE = risque estimé, pas effet constaté). Verdict : boucle institutionnelle sans fonction de mesure des résultats, la mesure publique reste très inférieure à la précision des pouvoirs construits pour la combattre.",https://giak.substack.com/p/lingerence-sans-mesure
5,2026-08-02,NOT_REVERIFIED,209458739.machine,"La machine qui documente les machines : 120 fichiers de fabrication, ouverts à tous","méthode, protocole, LLM, transparence, traçabilité",SUPPORTING,SUPPORT_RECHECK,MIXED,RICH,5519,27,,PSYCHO_COMPORTEMENT,PSYCHOLOGIQUE,"Anatomie comparative de Résistance Cognitive : 120 fichiers de fabrication publiés en ZIP, onze propriétés combinées sans équivalent identifié, limites documentées, l'humain aux commandes.","Anatomie comparative de Résistance Cognitive : 120 fichiers de fabrication publiés en ZIP, onze propriétés combinées sans équivalent identifié, limites documentées, l'humain aux commandes.","Anatomie comparative de Résistance Cognitive : 120 fichiers de fabrication publiés en ZIP, onze propriétés combinées sans équivalent identifié, limites documentées, l'humain aux commandes.",,https://giak.substack.com/p/machine
6,2026-07-31,NOT_REVERIFIED,209222653.du-narratif-a-lingerence-le-seuil,⚖️ Du « narratif » à l'ingérence : le seuil Fedorova,"liberté d'expression, justice, OQTF, ingérence, médias, géopolitique",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,6658,91,ETAT_FR|UE|RUSSIE,CADRAGE_NARRATIF|DROIT_REGULATION|INGERENCE_ETRANGERE|ELECTION_CONSENTEMENT|COERCITION_ADMIN,JURIDIQUE|POLITIQUE|ETHIQUE|NARRATIVE|COMMUNICATION|MARKETING_PR,"Enquête forensique du basculement Fedorova : du 29 mai (Barrot : « on peut mentir sans finir au goulag ») au 29 juillet (arrêté d'expulsion) puis au 31 juillet (gel des avoirs, NOR ECOT2616999A).","Enquête forensique du basculement Fedorova : du 29 mai (Barrot : « on peut mentir sans finir au goulag ») au 29 juillet (arrêté d'expulsion) puis au 31 juillet (gel des avoirs, NOR ECOT2616999A). Base légale L.562-1/L.562-2-1 (acte accompli « à la demande ou pour le compte d'une puissance étrangère ») : Fedorova est au moins le 2e cas public de ce nouvel instrument (après Nyamsi, 10 février 2026) ; Moreau illustre la sanction européenne, la neutralisation financière visant Français et étrangers, seule l'exclusion territoriale dépendant de la nationalité.",,La chaîne de preuve n'est pas publiée : la qualification n'est pas sa propre preuve.,https://giak.substack.com/p/du-narratif-a-lingerence-le-seuil
7,2026-07-30,NOT_REVERIFIED,206399715.le-peuple-nexiste-que-sur-convocation,🔒 Le peuple n'existe que sur convocation,"démocratie, souveraineté, constitution, RIC, histoire",DIRECT,ANCHOR_RECHECK_MATERIAL,MIXED,RICH,3527,38,PLATEFORMES_BIGTECH|PARTIS_ELUS|CITOYENS_MOUVEMENTS,MEDIAS_AGENDA|DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE|ELECTION_CONSENTEMENT,JURIDIQUE|ANTHROPOLOGIQUE|POLITIQUE|SCIENTIFIQUE,"Thèse : le peuple français est souverain dans les textes, électeur en pratique, mais ne possède pas le premier des pouvoirs politiques : le déclenchement.","9 sections remontant de 1789 (Sieyès) à 2026 (RIC délibératif bloqué à minuit). Quatre épreuves modernes : TCE 2005, Gilets jaunes 2018, Convention climat 2020, retraites 2023.",,,https://giak.substack.com/p/le-peuple-nexiste-que-sur-convocation
8,2026-07-29,NOT_REVERIFIED,208733314.la-fabrique-de-la-menace-comment,🎬 La fabrique de la menace : comment le documentaire d'Arte transforme une coopération réelle en guerre totale,"médias, manipulation, géopolitique, Arte, désinformation",DIRECT,ANCHOR_RECHECK_MATERIAL,MIXED,RICH,7711,19,MEDIAS|RUSSIE|CHINE|IRAN,CADRAGE_NARRATIF|INGERENCE_ETRANGERE|GUERRE_SECURITE,,"Analyse forensique du documentaire Arte « Russie, Chine, Iran : la revanche des empires » (94 min, mai 2024).","Analyse forensique du documentaire Arte « Russie, Chine, Iran : la revanche des empires » (94 min, mai 2024). Six actes narratifs démontés séquence par séquence : agrégation (52 pays), militarisation (« machine de guerre contre l'Occident » assumée par la voix off), totalisation (« ensemble ou séparément »), absorption (crises intérieures), téléologie (BRICS comme « plan »), prescription (« destin de puissance militaire »).",,,https://giak.substack.com/p/la-fabrique-de-la-menace-comment
9,2026-07-10,NOT_REVERIFIED,206006558.police-francaise-anatomie-dun-systeme,🔒 Police française : anatomie d’un système de contrôle à trois étages,"police, sécurité, contrôle, surveillance, DGSI, justice, syndicats, industrie, lois",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,6211,61,ETAT_FR|ENTREPRISES_FINANCE,DROIT_REGULATION|SURVEILLANCE_DONNEES|COERCITION_ADMIN|GUERRE_SECURITE,JURIDIQUE|TECHNIQUE|ECONOMIQUE|ETHIQUE,"Le dossier soutient que la force publique française forme un système de contrôle cumulatif combinant opacité budgétaire, doctrine de maintien de l’ordre, faiblesse des contre-pouvoirs, intérêts industriels, cogestion syndicale, renseignement intérieur et cliquet législatif.",Absent de l’index legacy ; contenu et métadonnées présents dans le snapshot. Cartographie sémantique à réaliser en INV-002.,La qualification de « système de contrôle » est une synthèse causale forte ; les maillons doivent être réutilisés séparément et revalidés avant toute généralisation à une intention commune.,Réutiliser les maillons séparément ; ne pas inférer une coordination globale sans preuve supplémentaire.,https://giak.substack.com/p/police-francaise-anatomie-dun-systeme
10,2026-07-07,NOT_REVERIFIED,205911763.le-verrou-invisible-anatomie-du-ric,"🔒 Le verrou invisible : anatomie du RIC français, 237 ans d'absence documentée","démocratie, système, Europe",SUPPORTING,SUPPORT_RECHECK,ASSERTIVE,RICH,5114,10,ETAT_FR|UE|ALLEMAGNE,CAPTURE_INSTITUTIONNELLE|ELECTION_CONSENTEMENT,POLITIQUE,"5 strates de verrouillage du RIC (4 constitutionnelles + 1 supranationale monétaire BCE), 237 ans d'absence documentée depuis 1789.","5 strates de verrouillage du RIC (4 constitutionnelles + 1 supranationale monétaire BCE), 237 ans d'absence documentée depuis 1789. 65-83 % des Français favorables, <5 % le priorisent (écart 12×).",,,https://giak.substack.com/p/le-verrou-invisible-anatomie-du-ric
