footnote_id	article_note	urls
1	U.S. Senate Select Committee on Intelligence, *Volume 5: Counterintelligence Threats and Vulnerabilities*, 2020	https://www.intelligence.senate.gov/2020/08/18/press-rubio-statement-senate-intel-release-volume-5-bipartisan-russia-report/
2	Berkman Klein Center, *Partisanship, Propaganda, and Disinformation: Online Media and the 2016 U.S. Presidential Election*, 2017	https://cyber.harvard.edu/publications/2017/08/mediacloud
3	U.S. Intelligence Community, *Assessing Russian Activities and Intentions in Recent US Elections*, 2017	https://www.intelligence.senate.gov/2017/01/06/publications-assessing-russian-activities-and-intentions-recent-us-elections/
4	VIGINUM / RCPE, rapport public sur les élections municipales 2026	https://www.sgdsn.gouv.fr/files/files/viginum/Publications/20260611_SGDSN_VIGINUM_Rapport-public_Elections-municipales.pdf
5	Sénat, rapport n° 326 (2024-2025), financement des associations intervenant dans les politiques d’immigration et d’intégration	https://www.senat.fr/rap/r24-326/r24-3262.html
6	HATVP, fiche France Terre d’Asile	https://www.hatvp.fr/fiche-organisation/?organisation=784547507
7	Conseil d’État, SOS Méditerranée, décision du 13 mai 2024 et communiqué	https://conseil-etat.fr/fr/arianeweb/CE/decision/2024-05-13/474507
8	Ministère polonais de la Justice, documents déclassifiés sur l’acquisition de Pegasus	https://www.gov.pl/web/sprawiedliwosc/ministerstwo-upublicznia-dokumenty-dotyczace-zakupu-systemu-pegasus
9	Sénat polonais, rapport final de la commission extraordinaire sur la surveillance illégale, 2023	https://www.senat.gov.pl/download/gfx/senat/pl/defaultaktualnosci/1924/15764/1/raport_koncowy_z_prac_komisji_nadzwyczajnej.pdf
10	Sénat polonais, audition de Citizen Lab sur Krzysztof Brejza, 2022	https://www.senat.gov.pl/prace/komisje-senackie/przebieg%2C9512%2C1.html
11	VIGINUM, *Rokh Solis*, 11 juin 2026	https://www.sgdsn.gouv.fr/viginum/publications/rokh-solis-analyse-dun-mode-operatoire-informationnel-ayant-cible-les
12	Reuters, Blackcore et les municipales françaises, 11 juin 2026	https://www.reuters.com/world/israeli-firm-blackcore-also-suspected-meddling-nyc-scotland-votes-french-2026-06-11/
13	Code de commerce, article 18-11 sur la transparence des activités d’influence pour le compte d’un mandant étranger	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000050052952
