id,object,url_or_artifact,route,status,finding,article_rule
AR205-01,AFP Bridle France pre-29/06/2021,https://factuel.afp.com/doc.afp.com.9CE9N2,PUBLIC_WEB + SIBLING_VERSIONS,PARTIAL_RECOVERY,Current page confirms 18/06 publication and 29/06 reformulation. Exact French pre-edit wording not recovered. German source 07/05 is accessible and shows probabilistic expert wording versus categorical editorial conclusion.,Keep claim bounded to current 29/06 French version + directly accessible German source; exact pre-29 wording remains unknown.
AR205-02,AFP Bridle German source 07/05/2021,https://faktencheck.afp.com/die-vaers-datenbank-des-cdc-beweist-nicht-den-impftod-eines-babys-nach-dem-stillen,PUBLIC_WEB,RECOVERED,Full article accessible. Münz: passage improbable / migration nearly excluded; Zöllkau: relevant quantities not plausible; Golan preprint explicitly cited with caution.,Primary media artifact for calibration audit.
AR205-03,AFP Bridle English sibling 23/06/2021,https://factcheck.afp.com/immunologists-misinterpretation-data-fuels-misleading-covid-19-vaccine-claims,PUBLIC_WEB,RECOVERED_WITH_UPDATE_BOUND,"Published 23/06, updated 30/06. Current text preserves categorical summary and links to German source. Because revision content is not separately replayed, do not infer exact 23/06 wording from current text.",Context only; not used to reconstruct French 18/06 state.
AR205-04,Conspiracy News #16/2020,https://www.conspiracywatch.info/conspiracy-news-16-2020.html,PUBLIC_PAGE/PREMIUM_BODY,DATE_ONLY_FOR_ARTICLE,Page/date directly accessible; body paywalled. Substantive contextualisation is instead supported by accessible 16/04 Conspiracy Watch article.,No need to infer paywalled body; gap non-blocking.
AR205-05,Conspiracy Watch 16/04 contextualisation,https://www.conspiracywatch.info/pourquoi-le-coronavirus-nest-probablement-pas-une-arme-biologique.html,PUBLIC_WEB,RECOVERED,Accessible update distinguishes accidental lab escape from engineered/bioweapon thesis.,Supports actor-level contextualisation; not a correction attached to 09/04 article.
AR205-06,Fact & Furious pharmacovigilance original,https://factandfurious.com/fact-checking/non-les-effets-indesirables-des-vaccins-covid19-ne-sont-pas-dix-fois-superieurs-aux-autres-vaccins,DEAD_OR_UNREPLAYABLE + CONTEMPORARY_QUOTATION,PARTIAL_RECOVERY,"Exact title, URL and 13/07/2021 date recovered from contemporaneous references. A 06/08/2021 Mediapart Club response reproduces numerous attributed passages point by point. Full original and correction history remain unrecovered.",Specific quoted assertions may be audited as secondary preserved quotations; no global verdict on full original.
AR205-07,Fact & Furious contemporary response preserving excerpts,https://blogs.mediapart.fr/enzo-lolo/blog/060821/covid-19-letiquette-fact-checker-est-elle-gage-de-competence,PUBLIC_WEB,RECOVERED,Long contemporaneous rebuttal quotes the missing Fact & Furious article extensively and identifies its title.,"Secondary/adversarial trace, not substitute for original."
AR205-08,Yahoo ×12 23/07/2021,https://fr.news.yahoo.com/covid-19-vaccination-reduit-elle-par-12-risque-contamination-135540814.html,PUBLIC_WEB,RECOVERED,"Full article replayed; identifies Pasteur modelling, separates model ratio from direct transmission efficacy measurement and urges caution.",Integrated as contemporary counterexample.
AR205-09,×12 negative search in AFP/franceinfo/Décodeurs/CheckNews,annexes/XQ203_AUDIT_X12_NEGATIVE_SEARCH_PROTOCOL_2026-08-24.md,WEB_SEARCH + INDEXES,BOUNDED_NEGATIVE,25/08 recheck found general coverage and later contextualisation but no new direct contemporary equivalent in the defined four-outlet subset. Some internal routes remain robots-blocked/incomplete.,Maintain wording: not found in bounded search != nonexistent.
AR205-10,BnF web archives escalation,https://www.bnf.fr/fr/consulter-les-archives-de-linternet,ON_SITE_OR_PARTNER_LIBRARY,NOT_EXECUTABLE_REMOTE,"BnF offers deeper French-web coverage and full-text Covid collection, but consultation requires BnF/partner access.",Escalation route only if exact missing historical wording becomes material.
AR205-11,Wayback direct snapshot retrieval attempts — AFP Bridle / Fact & Furious,https://web.archive.org/,WAYBACK_DIRECT_HISTORICAL_URL + SEARCH,ROUTE_INCONCLUSIVE,"Direct historical-URL/CDX attempts did not yield a usable capture through the available remote tooling. This is an access/tool result, not evidence that no Wayback snapshot exists.",NO_USABLE_CAPTURE_IN_TOOL != NO_ARCHIVE_EXISTS. Keep exact historical wording unresolved.
