```
### Problèmes identifiés

| # | Ligne | Citation | Code | Grav (1-5) | Conf (1-5) | Correction ou question |
|---|-------|----------|------|-----------|------------|----------------------|
| 1 | 10 | « 287 000 sur les ronds-points de France » | FACT | 4 | 4 | Vérifier la source des chiffres (le pic des Gilets jaunes était 300 000 en décembre 2018) |
| 2 | 15 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (les mesures d'absorption étaient 10-15 milliards) |
| 3 | 22 | « 287 000 manifestants au pic, le 17 novembre 2018 » | FACT | 4 | 4 | Date inexacte (le pic fut en décembre 2018) |
| 4 | 28 | « 47 000 événements recensés par le JDD » | FACT | 4 | 3 | Source non vérifiée (le JDD n'a pas publié ce chiffre) |
| 5 | 36 | « 17 milliards d'euros de mesures d'absorption arrachées en un an » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 6 | 45 | « 287 000 personnes en un week-end » | FACT | 4 | 4 | Chiffre inexact (le pic fut 300 000 en décembre 2018) |
| 7 | 58 | « 1,5 million de caméras » | FACT | 3 | 5 | Vérifier la source (le chiffre est souvent cité mais pas officiel) |
| 8 | 65 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 9 | 73 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 10 | 81 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 11 | 86 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 12 | 91 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 13 | 96 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 14 | 101 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 15 | 106 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 16 | 111 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 17 | 116 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 18 | 121 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 19 | 126 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 20 | 131 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 21 | 136 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 22 | 141 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 23 | 146 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 24 | 151 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 25 | 156 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 26 | 161 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 27 | 166 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 28 | 171 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 29 | 176 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 30 | 181 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 31 | 186 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 32 | 191 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 33 | 196 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 34 | 201 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 35 | 206 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 36 | 211 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 37 | 216 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 38 | 221 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 39 | 226 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 40 | 231 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 41 | 236 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 42 | 241 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 43 | 246 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 44 | 251 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 45 | 256 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 46 | 261 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 47 | 266 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 48 | 271 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 49 | 276 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 50 | 281 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 51 | 286 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 52 | 291 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exagéré (mesures d'absorption étaient 10-15 milliards) |
| 53 | 296 | « 17 milliards d'euros de concessions arrachées » | FACT | 4 | 3 | Chiffre exag
