id,status,type,workstream,input,run_state,narrative,investigation,mnemo,certification,handoff,pre_gate,delivery_gate,canonical_6_count,artifact_file_count,completeness_class,result_path
INV-001,CLOSED,STRUCTURAL,W0,0,0,0,1,0,0,0,0,0,1,4,PARTIAL_MACHINE_ARTIFACTS,INV-001/INV-001-R1_REPLAY.md
INV-002,CLOSED,STRUCTURAL,W0,0,0,0,1,0,0,0,0,0,1,7,PARTIAL_MACHINE_ARTIFACTS,INV-002/INV-002_REPORT.md
INV-003,CLOSED,CONTROL_SPEC,W0,0,0,0,1,0,0,0,0,0,1,3,PARTIAL_MACHINE_ARTIFACTS,METHOD_PACK/METHOD_PACK.md
INV-004,CLOSED,CONTROL_SPEC,W0,0,0,0,1,0,0,0,0,0,1,3,PARTIAL_MACHINE_ARTIFACTS,METHOD_PACK/METHOD_PACK.md
INV-005,CLOSED,CONTROL_SPEC,W0,0,0,0,1,0,0,0,0,0,1,3,PARTIAL_MACHINE_ARTIFACTS,METHOD_PACK/METHOD_PACK.md
INV-006,CLOSED,CONTROL_SPEC,W0,0,0,0,1,0,0,0,0,0,1,3,PARTIAL_MACHINE_ARTIFACTS,METHOD_PACK/METHOD_PACK.md
INV-007,CLOSED,CONTROL_SPEC,W0,0,0,0,1,0,0,0,0,0,1,3,PARTIAL_MACHINE_ARTIFACTS,METHOD_PACK/METHOD_PACK.md
INV-008,CLOSED,CONTROL_SPEC,W0,0,0,0,1,0,0,0,0,0,1,3,PARTIAL_MACHINE_ARTIFACTS,METHOD_PACK/METHOD_PACK.md
INV-009,BACKLOG,PRIMARY,W1,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-010,CLOSED,PRIMARY,W1,0,0,0,1,0,1,1,0,0,2,7,PARTIAL_MACHINE_ARTIFACTS,INV-010_RUN_HANDOFF.md
INV-011,CLOSED,PRIMARY,W1,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-011_RUN_HANDOFF.md
INV-012,CLOSED,PRIMARY,W1,1,1,1,1,1,0,1,1,1,5,11,PARTIAL_MACHINE_ARTIFACTS,INV-012_RUN_HANDOFF.md
INV-013,CLOSED,PRIMARY,W1,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-013_RUN_HANDOFF.md
INV-014,CLOSED,PRIMARY,W1,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-014_RUN_HANDOFF.md
INV-015,CLOSED,CASE,W1,0,0,1,0,0,0,1,0,0,1,3,PARTIAL_MACHINE_ARTIFACTS,INV-015_RUN_HANDOFF.md
INV-016,CLOSED,PRIMARY,W1,0,1,1,1,1,1,1,1,1,5,15,PARTIAL_MACHINE_ARTIFACTS,INV-016_RUN_HANDOFF.md
INV-017,CLOSED,CASE,W1,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-017_RUN_HANDOFF.md
INV-018,CLOSED,CASE,W1,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-018_RUN_HANDOFF.md
INV-019,CLOSED,PRIMARY,W2,0,0,0,1,0,0,1,0,0,1,3,PARTIAL_MACHINE_ARTIFACTS,INV-019_RUN_HANDOFF.md
INV-020,MERGED,MERGED,W2,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-021,CLOSED,PRIMARY,W2,0,0,0,0,0,0,1,0,0,0,1,HANDOFF_OR_DERIVED_ONLY,INV-021_RUN_HANDOFF.md
INV-022,CLOSED,PRIMARY,W2,1,1,1,1,1,1,1,0,0,6,24,CANONICAL_6_COMPLETE,INV-022_RUN_HANDOFF.md
INV-023,CLOSED,CASE,W2,1,1,1,1,1,1,1,0,0,6,8,CANONICAL_6_COMPLETE,INV-023_RUN_HANDOFF.md
INV-024,BACKLOG,PRIMARY,W2,0,0,0,0,0,0,0,0,0,0,0,NO_ARTIFACT_RECOVERED,
INV-025,CLOSED,CASE,W2,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-025_RUN_HANDOFF.md
INV-026,CLOSED,PRIMARY,W2,1,1,1,0,1,1,1,0,0,5,13,PARTIAL_MACHINE_ARTIFACTS,INV-026_RUN_HANDOFF.md
INV-027,CLOSED,CASE,W2,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-027_RUN_HANDOFF.md
INV-028,CLOSED,CASE,W2,0,0,0,1,0,0,1,0,0,1,2,PARTIAL_MACHINE_ARTIFACTS,INV-028_RUN_HANDOFF.md
INV-029,CLOSED,PRIMARY,W2,0,1,1,1,1,1,1,0,0,5,7,PARTIAL_MACHINE_ARTIFACTS,INV-029_RUN_HANDOFF.md
