reader_id	title	url	origin	provenance
S01	National Archives — Senate staff report: Covert Action in Chile, 1963-1973	https://www.archives.gov/declassification/iscap/pdf/2010-009	INV-010 targeted recovery	TARGETED_WEB_RECOVERY
S02	Church Committee Final Report Book I	https://www.intelligence.senate.gov/wp-content/uploads/2024/08/sites-default-files-94755-i.pdf	INV-011/SRC-001	TE_ORIGINAL_SOURCE
S03	FBI Vault COINTELPRO index	https://vault.fbi.gov/cointel-pro	INV-012/SRC-001	TE_ORIGINAL_SOURCE
S04	Soviet Active Measures Special Report No. 88	https://www.cia.gov/readingroom/docs/CIA-RDP84B00274R000100040004-8.pdf	INV-013/SRC-001	TE_ORIGINAL_SOURCE
S05	U.S. GAO — Democracy Assistance (2009)	https://www.gao.gov/products/gao-09-993	INV-016/SRC-001	TE_ORIGINAL_SOURCE
S06	YaleGlobal — Revolution U	https://archive-yaleglobal.yale.edu/content/revolution-u	INV-016/SRC-004	TE_ORIGINAL_SOURCE
S07	FTC sues Cambridge Analytica	https://www.ftc.gov/news-events/news/press-releases/2019/07/ftc-sues-cambridge-analytica-settles-former-ceo-app-developer	INV-017/SRC-001	TE_ORIGINAL_SOURCE
S08	Experimental Results Brexit targeting/tailoring	https://www.cambridge.org/core/journals/experimental-results/article/evidence-of-psychological-targeting-but-not-psychological-tailoring-in-political-persuasion-around-brexit/55AFE19E5B1AC95BA4E02DC2DFDF25FC	INV-017/SRC-015	TE_ORIGINAL_SOURCE
S09	Russian Active Measures Campaigns and Interference in the 2016 U.S. Election	https://www.intelligence.senate.gov/2020/08/18/publications-report-select-committee-intelligence-united-states-senate-russian-active-measures/	INV-013/SRC-007	TE_ORIGINAL_SOURCE
S10	National Endowment for Democracy — Grants program	https://www.ned.org/apply-for-grant/en/	INV-019 targeted recovery	TARGETED_WEB_RECOVERY
S11	CPC United Front Work Regulations	https://www.zytzb.gov.cn/zytzb/2022-10/28/article_2024032216161421608.shtml	INV-025/SRC-001	TE_ORIGINAL_SOURCE
S12	HATVP fiche ELNET France	https://www.hatvp.fr/fiche-organisation/?organisation=531006237	INV-027/SRC-001	TE_ORIGINAL_SOURCE
S13	FEC — AIPAC PAC committee overview	https://www.fec.gov/data/committee/C00797670/	INV-028/SRC-001	TE_ORIGINAL_SOURCE
S14	The Dirty Secrets of a Smear Campaign	https://www.newyorker.com/magazine/2023/04/03/the-dirty-secrets-of-a-smear-campaign	INV-033/SRC-002	TE_ORIGINAL_SOURCE
S15	Einfluss der Türkei auf Diaspora	https://www.bundestag.de/webarchiv/presse/hib/2017_10/529360-529360	INV-036/SRC-001	TE_ORIGINAL_SOURCE
S16	Lutte contre les influences étrangères malveillantes	https://www.senat.fr/rap/r23-739-1/r23-739-1_mono.html	INV-130/SRC-003	TE_ORIGINAL_SOURCE
S17	De l'Islam en France à un Islam de France - financement par l'Algérie	https://www.senat.fr/rap/r15-757/r15-7579.html	INV-131/SRC-002	TE_ORIGINAL_SOURCE
S18	Feuille de route de l influence	https://www.diplomatie.gouv.fr/fr/le-ministere/publications-programmes-et-documentation-institutionnelle/publications/documents-institutionnels/feuille-de-route-de-l-influence	INV-138/SRC-001	TE_ORIGINAL_SOURCE
S19	Ordinary legislative procedure - Overview	https://www.europarl.europa.eu/olp/en/ordinary-legislative-procedure/overview	INV-039/SRC-006	TE_ORIGINAL_SOURCE
S20	Regulation (EU) 2022/2065 - Digital Services Act	https://eur-lex.europa.eu/legal-content/EN-FR/TXT/?uri=CELEX%3A32022R2065	INV-043/SRC-001	TE_ORIGINAL_SOURCE
S21	Trusted flaggers under the Digital Services Act	https://digital-strategy.ec.europa.eu/en/policies/trusted-flaggers-under-dsa	INV-043/SRC-004	TE_ORIGINAL_SOURCE
S22	European Commission — €5m grant under European Democracy Shield	https://digital-strategy.ec.europa.eu/en/news/commission-boosts-independent-fact-checking-eu5-million-grant-under-european-democracy-shield	INV-045/SRC-004	TE_ORIGINAL_SOURCE
S23	Why the EU adopts sanctions	https://www.consilium.europa.eu/en/policies/why-sanctions/	INV-047/SRC-001	TE_ORIGINAL_SOURCE
S24	Belgian Federal Prosecutor Qatargate procedural review	https://www.om-mp.be/sites/default/files/media/documents/Persbericht-20-02-2026.pdf	INV-136/SRC-001	TE_ORIGINAL_SOURCE
S25	Open Society Foundations — Financials	https://www.opensocietyfoundations.org/who-we-are/financials	INV-049/SRC-001	TE_ORIGINAL_SOURCE
S26	Sénat — suite à enquête Cour des comptes sur associations immigration/intégration	https://www.senat.fr/rap/r24-326/r24-3262.html	INV-053/SRC-001	TE_ORIGINAL_SOURCE
S27	Subvention à SOS Méditerranée - conditions	https://www.conseil-etat.fr/fr/arianeweb/CE/analyse/2024-05-13/474652	INV-054/SRC-005	TE_ORIGINAL_SOURCE
S28	Sénat inquiry - consultants and public decision	https://www.senat.fr/rap/r21-578-1/r21-578-114.html	INV-062/SRC-003	TE_ORIGINAL_SOURCE
S29	Industry sponsorship and research outcome	https://pubmed.ncbi.nlm.nih.gov/30132025/	INV-066/SRC-008	TE_ORIGINAL_SOURCE
S30	The Influence of Industry Sponsorship on the Research Agenda	https://pubmed.ncbi.nlm.nih.gov/30252531/	INV-066/SRC-009	TE_ORIGINAL_SOURCE
S31	Service d’information du Gouvernement — missions	https://www.info.gouv.fr/organisation/service-d-information-du-gouvernement-sig/les-raisons-detre-du-sig	INV-069 targeted recovery	TARGETED_WEB_RECOVERY
S32	DITP Sciences comportementales	https://www.modernisation.gouv.fr/accompagner-les-administrations/laboratoires-interministeriels-dinnovation/sciences	INV-070/SRC-001	TE_ORIGINAL_SOURCE
S33	VIGINUM — missions	https://www.sgdsn.gouv.fr/viginum/comprendre-viginum/les-missions-de-viginum	INV-071/SRC-003	TE_ORIGINAL_SOURCE
S34	VIGINUM Rokh Solis public page	https://www.sgdsn.gouv.fr/viginum/publications/rokh-solis-analyse-dun-mode-operatoire-informationnel-ayant-cible-les	INV-134/SRC-006	TE_ORIGINAL_SOURCE
S35	Ministère des Armées — La lutte informatique d’influence (L2I)	https://www.defense.gouv.fr/comcyber/nos-operations/lutte-informatique-dinfluence-l2i	INV-073 targeted recovery	TARGETED_WEB_RECOVERY
S36	Arcom - Nos missions	https://www.arcom.fr/nos-missions	INV-074/SRC-002	TE_ORIGINAL_SOURCE
S37	Ministère Culture — soutien public à la presse	https://www.culture.gouv.fr/thematiques/presse-ecrite/soutien-public-a-la-presse	INV-076/SRC-002	TE_ORIGINAL_SOURCE
S38	Sénat — Commission d’enquête sur le Fonds Marianne	https://www.senat.fr/travaux-parlementaires/commissions/commission-des-finances/controle-en-clair/commission-denquete-sur-le-fonds-marianne.html	INV-078 targeted recovery	TARGETED_WEB_RECOVERY
S39	Le dispositif anti-concentration : un outil visant a garantir le pluralisme	https://www.arcom.fr/nous-connaitre/nos-missions/garantir-le-pluralisme-et-la-cohesion-sociale/le-dispositif-anti-concentration-un-outil-visant-garantir-le-pluralisme	INV-081/SRC-010	TE_ORIGINAL_SOURCE
S40	AFP Fact Check — How we work	https://factcheck.afp.com/How-we-work	INV-085/SRC-001	TE_ORIGINAL_SOURCE
S41	Reuters — About Us	https://reutersagency.com/about/	INV-084/SRC-001	TE_ORIGINAL_SOURCE
S42	European Economic Review — Exit polls, turnout, and bandwagon voting: Evidence from a natural experiment	https://www.sciencedirect.com/science/article/abs/pii/S0014292115000483	INV-087/SRC-006	TE_ORIGINAL_SOURCE
S43	The political effects of X’s feed algorithm	https://www.nature.com/articles/s41586-026-10098-2	INV-091/SRC-015	TE_ORIGINAL_SOURCE
S44	OpenAI - Disrupting a new covert influence campaign from Russia	https://openai.com/index/disrupting-malicious-uses-of-ai-influence-campaign-russia/	INV-092/SRC-007	TE_ORIGINAL_SOURCE
S45	Two RT employees indicted for covertly funding and directing U.S. company	https://www.justice.gov/archives/opa/pr/two-rt-employees-indicted-covertly-funding-and-directing-us-company-published-thousands	INV-142/SRC-007	TE_ORIGINAL_SOURCE
S46	Code électoral — article L52-8	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000039446180	INV-093/SRC-001	TE_ORIGINAL_SOURCE
S47	Sénat — rapport sur les influences étrangères malveillantes, financement politique	https://www.senat.fr/rap/r23-739-1/r23-739-113.html	INV-094/SRC-005	TE_ORIGINAL_SOURCE
S48	CNIL — Respecter les droits des électeurs sur leurs données personnelles	https://www.cnil.fr/fr/respecter-les-droits-des-electeurs-sur-leurs-donnees-personnelles	INV-096/SRC-001	TE_ORIGINAL_SOURCE
