id,type,title,truth_engine,result_path,coverage,utility,next_action
INV-010,PRIMARY,"CIA et élections étrangères : Italie, Chili et autres cas documentés ; techniques, argent, médias, partis, résultats",DELIVERY_PASS_R2A2,INV-010_RUN_HANDOFF.md,PARTIAL,HIGH,CLOSED — pilot reviewed; targeted RENARD closed.
INV-011,PRIMARY,"CIA, médias et Operation Mockingbird : faits établis, mythes, continuités éventuelles",DELIVERY_PASS_R3P1,INV-011_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-012,PRIMARY,"COINTELPRO et ingénierie politique intérieure américaine : infiltration, fragmentation, surveillance, neutralisation",DELIVERY_PASS_R3P1,INV-012_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; domestic-state disruption comparator available; reopen only on material denominator or causal evidence.
INV-013,PRIMARY,"Active Measures soviétiques puis russes : continuités, ruptures, doctrine et efficacité réelle",DELIVERY_PASS_R3P1,INV-013_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-014,PRIMARY,"Révolutions de couleur : Serbie, Géorgie, Ukraine, Kirghizistan ; dynamique endogène versus assistance extérieure",DELIVERY_PASS_R3P1,INV-014_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-015,CASE,"Otpor, CANVAS et exportation des techniques de mobilisation politique",DELIVERY_PASS_R3P1,INV-015_RUN_HANDOFF.md,NEW,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-016,PRIMARY,"Printemps arabes : spontanéité, réseaux sociaux, assistance occidentale, ONG, diplomatie et intérêts géopolitiques",DELIVERY_PASS_R3P1,INV-016_RUN_HANDOFF.md,NEW,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-017,CASE,"Cambridge Analytica : données, psychométrie, microtargeting et différence entre capacité revendiquée et efficacité démontrée",DELIVERY_PASS_R3P1,INV-017_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-018,CASE,"Élections américaines 2016 : opération russe démontrée, effet électoral non démontré, construction politique ultérieure du récit",DELIVERY_PASS_R3P1,INV-018_RUN_HANDOFF.md,PARTIAL,HIGH,"CLOSED — Russian multi-channel 2016 operation established; general campaign-Russia coordination and causal winner change not established. Reopen only on IRA-specific causal outcome, authenticated tasking/agreement, or counterfactual winner evidence."
INV-019,PRIMARY,"États-Unis : architecture publique de promotion de la démocratie — State Department, USAID, NED, USAGM, médias/société civile/élections",DELIVERY_PASS_R2A2,INV-019_RUN_HANDOFF.md,PARTIAL,HIGH,CLOSED — pilot PASS; RENARD NO.
INV-021,PRIMARY,"Services américains et France/Europe depuis la guerre froide : renseignement, influence, souveraineté, cas documentables",DELIVERY_PASS_R3P1,INV-021_RUN_HANDOFF.md,PARTIAL,HIGH,NONE - CLOSED; see RUN_HANDOFF.
INV-022,PRIMARY,"Russie : opérations d’influence visant la France — acteurs, infrastructures, campagnes, audiences, impacts réels",DELIVERY_PASS_R3,INV-022_RUN_HANDOFF.md,SUBSTANTIAL_PRIOR,HIGH,NONE — CLOSED after post-run review; RENARD NO; future updates only on material new attribution/impact evidence.
INV-023,CASE,"Russie : financement, contacts et relations avec partis/mouvements européens",DELIVERY_PASS_R3P1,INV-023_RUN_HANDOFF.md,PARTIAL,HIGH,NONE — CLOSED after post-run review; RENARD NO; pre-run registry-gate deviation logged.
INV-024,PRIMARY,"Chine / New IP à l’UIT : standardisation technique, coalition État-industrie et pouvoir de gouvernance",DELIVERY_PASS_R3P1,INV-024_RUN_HANDOFF.md,NEW_MECHANISM_GAP,HIGH,"NONE - CLOSED; reopen only on direct tasking evidence, an adopted New IP/FVCN successor, or measurable new governance effect."
