S01_STEP	ANCHOR	MATERIAL_PROPOSITION	STATUS_SCOPE	SUPPORT_FUNCTION	INTERNAL_ORIGIN	PUBLIC_SOURCE	SYNTHESIS_NOTE
E1	Intro-121	121 dossiers fermés, composition hétérogène	FACT / registry current	SUPPORT	INVESTIGATION_REGISTRY.csv	-	Ne pas compter comme corroborations indépendantes
E1	Intro-fracture	Opérations/mécanismes amont souvent mieux documentés que effets politiques terminaux	SYNTHESIS / corpus transversal	SUPPORT+BOUND	INV-133; INV-082; INV-088; INV-095; INV-102; INV-104	-	Observabilité amont plus élevée; ne signifie pas effets absents
E2	Section1-chain	Chaîne acteur/ressource -> capacité -> action -> exposition -> persuasion -> vote	ANALYTIC MODEL	SYNTHESIS	A2_MATERIAL_STRUCTURE; INV-133	-	Modèle de lecture, pas source unique
E2	US2016-operation	Effort russe et rôle WikiLeaks documentés	SUPPORTED case-specific	SUPPORT	INV-135	https://www.intelligence.senate.gov/2020/08/18/press-rubio-statement-senate-intel-release-volume-5-bipartisan-russia-report/	Opération/coordination bornée
E2	US2016-agenda	Matériaux piratés entrent dans agenda médiatique	SUPPORTED case-specific	SUPPORT	INV-135	https://cyber.harvard.edu/publications/2017/08/mediacloud	Effet d'agenda ≠ effet électoral
E2	US2016-outcome	IC n'évalue pas impact sur résultat électoral	FACT / negative boundary	BOUND	INV-135	https://www.intelligence.senate.gov/2017/01/06/publications-assessing-russian-activities-and-intentions-recent-us-elections/	Plafond aval explicite
E2	VIGINUM-2026	VIGISCORE estime risque; effets opinions/vote distingués	FACT / France municipal 2026	SUPPORT+BOUND	INV-071; INV-134	https://www.sgdsn.gouv.fr/files/files/viginum/Publications/20260611_SGDSN_VIGINUM_Rapport-public_Elections-municipales.pdf	Ne pas dire absence d'effet
E3	Funding-general	Financement -> capacité/agenda/access soutenu; commandement général non établi	SYNTHESIS / multi-sector	SUPPORT+BOUND	INV-052; INV-068	-	Relation synthétique multi-pièces
E3	FTDA	Financement public + représentation d'intérêts FTDA	SUPPORTED case-specific	SUPPORT	INV-053	https://www.senat.fr/rap/r24-326/r24-3262.html ; https://www.hatvp.fr/fiche-organisation/?organisation=784547507	Ne pas inférer tasking
E3	SOS-control	Subvention humanitaire politiquement bornée et contrôle juridictionnel	FACT / case-specific	COUNTER+SUPPORT	INV-053	https://conseil-etat.fr/fr/arianeweb/CE/decision/2024-05-13/474507	Contrôle négatif contre funded=>political tasking
