id,workstream,title,status,priority,type,mode,coverage,utility,dependencies,parent,merged_into,gate,object_question,scope,corpus_refs,truth_engine,renard,result_path,next_action
INV-026,W2,"Israël : influence étatique, diplomatique, industrielle, sécuritaire et informationnelle en France/UE",CLOSED,P1,PRIMARY,DEEPEN,PARTIAL,HIGH,,,,CORE_MISSION_RECLASSIFIED_2026-09-07_0610_R,"Quels mécanismes documentables permettent à des acteurs étatiques ou paraétatiques israéliens de chercher à influencer en France ou dans l’UE des décisions publiques, perceptions, coalitions politiques, politiques de sécurité ou l’environnement informationnel ; et jusqu’où peut-on établir financement, tasking, coordination, exposition et effet sans confondre diplomatie, lobbying privé, affinité politique et ingérence ?","France/UE 2017–2026, comparateurs seulement lorsqu’ils discriminent le mécanisme. Inclure diplomatie publique, ministères/ambassades, campagnes informationnelles, opérations numériques attribuées, soutien ou financement d’intermédiaires, relations sécuritaires/industrielles lorsqu’elles visent une décision ou perception politique, et cas judiciaires/parlementaires documentés. Exclure toute assimilation d’organisations juives, pro-israéliennes ou privées à l’État sans preuve de relation ; Israël != tout acteur pro-israélien ; financement/proximité != tasking ; lobbying légal != ingérence ; plaidoyer sur un conflit != opération étatique par nature.",A023:199655095.la-defense-rongee-449-md-sans-munitions;A055:192483249.ce-nest-pas-du-satanisme-cest-une;A057:192293819.la-democratie-en-cage,DELIVERY_PASS_R3P1,NO,INV-026_RUN_HANDOFF.md,NONE — CLOSED; Israel-as-sender symmetry controls available to INV-146; recheck only on material new sponsor/tasking/causal evidence.
INV-027,W2,"ELNET France : financements, voyages parlementaires, réseaux politiques, déclarations HATVP, effets démontrables",CLOSED,P1,CASE,RECHECK_EXTEND,SUBSTANTIAL_PRIOR,HIGH,,INV-026,,CORE_MISSION_V2_SELECTED_2026-09-10_POST_INV041-R1,"Quels financements, voyages, événements, réseaux et contacts institutionnels d'ELNET France sont documentés, et quelles preuves permettent de relier ces ressources à un accès, une position ou une décision politique identifiable sans confondre relation, lobbying, influence et capture ?","France, principalement 2017–2026. Tracer financeur/ressource -> ELNET France -> voyage, événement, rencontre ou production -> responsable public/parlementaire -> position/action identifiable -> décision ou effet. Prioriser comptes, déclarations HATVP, agendas, invitations, documents parlementaires, financements et chronologies vérifiables. Gardes : funding != tasking ; voyage != capture ; accès != influence ; proximité != coordination ; position alignée != causalité ; lobbying légal != effet démontré.",A023:199655095.la-defense-rongee-449-md-sans-munitions;A045:194518266.lingenierie-de-lenclos;A055:192483249.ce-nest-pas-du-satanisme-cest-une;A057:192293819.la-democratie-en-cage,DELIVERY_PASS_R3P1,NO,INV-027_RUN_HANDOFF.md,NONE - CLOSED; see RUN_HANDOFF.
INV-028,W2,"AIPAC : mécanisme américain de lobbying pro-israélien, pouvoir électoral, financement, limites du parallèle avec la France",CLOSED,P1,CASE,DEEPEN,PARTIAL,HIGH,,INV-026,,CORE_MISSION_V2_SELECTED_2026-09-10_POST_INV013-R1,"Par quels mécanismes AIPAC et les structures électorales ou de lobbying associées influencent-elles la compétition électorale et les décisions publiques américaines, avec quels effets démontrables, et quelles limites empêchent de transposer mécaniquement ce modèle à la France ?","États-Unis, principalement 2010–2026, avec antécédents nécessaires et comparaison française limitée aux mécanismes réellement comparables. Tracer organisation/ressources -> lobbying, endorsement ou dépense électorale documentée -> candidat/élu -> position, vote ou comportement de campagne -> résultat électoral/politique. Prioriser disclosures FEC, lobbying disclosures, votes, campagnes et études causales. Gardes : donation != vote acheté ; endorsement != control ; spending != electoral effect ; lobbying != capture ; association != tasking ; US mechanism != France mechanism.",A055:192483249.ce-nest-pas-du-satanisme-cest-une,DELIVERY_PASS_R3P1,NO,INV-028_RUN_HANDOFF.md,NONE - CLOSED; see RUN_HANDOFF.
INV-158,W13,"Écosystème de plaidoyer pro-Israël en France : ressources, accès et empreintes décisionnelles",CLOSED,P1,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,,,,CORE_MISSION_V2_SELECTED_2026-09-13_USER_INV158-R1,"Dans quelle mesure des organisations pro-Israël déclarées transforment-elles ressources, accès et plaidoyer en modifications observables de textes, décisions ou positions publiques ?","France, principalement 2017-2026; acteurs et mécanismes documentables; distinguer identité, plaidoyer, relation étatique, tasking, exposition et effet.",NONE,DELIVERY_PASS_R3P1,NO,INV-158_RUN_HANDOFF.md,NONE - CLOSED.
INV-159,W13,Israel Files / BDS : input israélien et dépêche Justice 20-10-2020,CLOSED,P0,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,,,CORE_MISSION_V2_SELECTED_2026-09-13_ARCHIVE-INV-159,Le ministère israélien de la Justice/MFA et leurs intermédiaires ont-ils transmis un input identifiable qui a contribué matériellement à la dépêche française du 20 octobre 2020 ?,"France/Israël 2019-2021 : DDoSecrets/EIC, emails originaux, mémos, Navacelle, CRIF, réunions Justice/PM, drafts DACG, dépêche finale.",NONE,DELIVERY_PASS_R3P1,NO,INV-159_RUN_HANDOFF.md,NONE - CLOSED; see RUN_HANDOFF.
INV-160,W13,ELNET : topologie financière US–Israël–France/UE,CLOSED,P0,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,,,CORE_MISSION_V2_SELECTED_2026-09-13_ARCHIVE-INV-160,"Quels flux financent les activités européennes/françaises d'ELNET, avec quelles restrictions et quels donneurs d'ordre ?","IRS 990/Schedules, 990-PF, Friends of ELNET, ELNET Europe-Israel, marchés israéliens, comptes français, HATVP.",NONE,DELIVERY_PASS_R3P1,DONE,INV-160_RUN_HANDOFF.md,NONE - CLOSED; see RUN_HANDOFF.
INV-161,W13,ELNET : voyages parlementaires et effet causal,CLOSED,P0,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,,,CORE_MISSION_V2_SELECTED_2026-09-13_ARCHIVE-INV-161,"Les voyages financés par ELNET sont-ils suivis d'un changement mesurable de positions publiques, au-delà de l'auto-sélection ?","France 2017-2026 : voyages, participants, discours/QE/amendements/votes avant-après, contrôles appariés.",NONE,DELIVERY_PASS_R3P1,NO,INV-161_RUN_HANDOFF.md,NONE - CLOSED; see RUN_HANDOFF.
INV-162,W13,Voices of Israel / financements publics vers société civile,CLOSED,P1,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,,,CORE_MISSION_V2_SELECTED_2026-09-13_ARCHIVE-INV-162,Quels bénéficiaires et projets France/UE reçoivent des fonds israéliens de diplomatie publique et quels livrables sont exigés ?,"Israël 2023-2026 + France/UE : calls, contrats, bénéficiaires, livrables, montants.",NONE,DELIVERY_PASS_R3P1,NO,INV-162_RUN_HANDOFF.md,NONE - CLOSED; see RUN_HANDOFF.
INV-163,W13,CRIF : policy footprint 2023-2026,READY,P1,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,,,CORE_MISSION_V2_SELECTED_2026-09-13_POST_INV166-R1,"Quelles suggestions/auditions déclarées se retrouvent dans des textes, dispositifs ou décisions françaises ?",HATVP -> objet précis -> drafts/amendements -> adoption/non-adoption.,NONE,NOT_RUN,,,"Run-card gate, then launch only if PASS."
INV-166,W13,Registre influence étrangère : test de seuil,CLOSED,P1,PRIMARY,DEEPEN,NEW_MECHANISM_OR_EFFECT_GAP,HIGH,INV-158,,,CORE_MISSION_V2_SELECTED_2026-09-13_POST_INV162-R1,Les relations documentées depuis 2025 franchissent-elles le seuil ordre/demande/direction/contrôle ?,"France depuis oct. 2025 : contrats, mandants, actions, ARGOS, loi 18-11, décret 2025-733.",NONE,DELIVERY_PASS_R3P1,DONE,INV-166_RUN_HANDOFF.md,NONE - CLOSED; see RUN_HANDOFF.
