upstream_ref,eligible,inheritance_status,forensic_id,reason
INV-001:LED-001,YES,DIRECT,FM-0001,historical direct lineage preserved
INV-001:LED-002,YES,DIRECT,FM-0002,historical direct lineage preserved
INV-001:LED-003,YES,DIRECT,FM-0003,historical direct lineage preserved
INV-001:CLM-001,YES,DIRECT,FM-0004,historical direct lineage preserved
INV-001:CLM-002,YES,DIRECT,FM-0005,historical direct lineage preserved
INV-001:CLM-003,YES,DIRECT,FM-0006,historical direct lineage preserved
INV-001:CLM-004,YES,DIRECT,FM-0007,historical direct lineage preserved
INV-001:CLM-005,YES,DIRECT,FM-0008,historical direct lineage preserved
INV-001:AXS-001,YES,DIRECT,FM-0009,historical direct lineage preserved
INV-001:AXS-002,YES,DIRECT,FM-0010,historical direct lineage preserved
INV-001:AXS-003,YES,DIRECT,FM-0011,historical direct lineage preserved
INV-001:AXS-004,YES,DIRECT,FM-0012,historical direct lineage preserved
INV-001:AXS-005,YES,DIRECT,FM-0013,historical direct lineage preserved
INV-001:AXS-006,YES,DIRECT,FM-0014,historical direct lineage preserved
INV-001:AXS-007,YES,DIRECT,FM-0015,historical direct lineage preserved
INV-001:AXS-008,YES,DIRECT,FM-0016,historical direct lineage preserved
INV-001:CAU-001,YES,DIRECT,FM-0017,historical direct lineage preserved
INV-001:FCT-001,YES,DIRECT,FM-0018,historical direct lineage preserved
INV-001:FCT-002,YES,DIRECT,FM-0019,historical direct lineage preserved
INV-001:FCT-003,YES,DIRECT,FM-0020,historical direct lineage preserved
INV-001:FCT-004,YES,DIRECT,FM-0021,historical direct lineage preserved
INV-001:FCT-005,YES,DIRECT,FM-0022,historical direct lineage preserved
INV-002:LED-001,YES,DIRECT,FM-0023,historical direct lineage preserved
INV-002:CLM-001,YES,DIRECT,FM-0024,historical direct lineage preserved
INV-002:AXS-001,YES,DIRECT,FM-0025,historical direct lineage preserved
INV-002:CAU-001,YES,DIRECT,FM-0026,historical direct lineage preserved
INV-002:FCT-001,YES,DIRECT,FM-0027,historical direct lineage preserved
INV-002:FCT-002,YES,DIRECT,FM-0028,historical direct lineage preserved
INV-002:FCT-003,YES,DIRECT,FM-0029,historical direct lineage preserved
INV-002:FCT-004,YES,DIRECT,FM-0030,historical direct lineage preserved
