claim_id,forensic_id,raw_kind,origin_refs,source_status,current_epi,disposition,support_fct_count,unique_source_urls,unique_source_families,primary_source_signal,quantitative_signal,causal_signal,e4_design_signal,evidence_level,classification_reason,scope,scope_reason
C-FM-0004,FM-0004,CLM,INV-001:CLM-001,SATURATED,INFERENCE,RESOLVED,1,1,1,YES,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,NATIONAL,explicit France/national keyword
C-FM-0005,FM-0005,CLM,INV-001:CLM-002,SATURATED,INFERENCE,RESOLVED,1,1,1,YES,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,NATIONAL,explicit France/national keyword
C-FM-0006,FM-0006,CLM,INV-001:CLM-003,SATURATED,INFERENCE,RESOLVED,1,1,1,NO,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,OTHER,no safe geographic inference
C-FM-0007,FM-0007,CLM,INV-001:CLM-004,SATURATED,INFERENCE,RESOLVED,1,1,1,NO,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,NATIONAL,explicit France/national keyword
C-FM-0008,FM-0008,CLM,INV-001:CLM-005;INV-007:FCT-003;INV-026:CLM-005;INV-042:FCT-006,GAP,BOUNDED,RESOLVED,3,3,4,YES,NO,NO,NO,E3,R9 bounded claim supported by multiple concrete items with primary/convergent provenance,NATIONAL,explicit France/national keyword
C-FM-0016,FM-0016,AXS,INV-001:AXS-008,N/A,UNKNOWN,DEPRIORITIZED,0,0,0,NO,NO,NO,NO,E1,R1 non-finding/documentary gap only; underlying proposition remains UNKNOWN,OTHER,no safe geographic inference
C-FM-0017,FM-0017,CAU,INV-001:CAU-001;INV-005:FCT-003;INV-038:FCT-007;INV-041:FCT-003,GAP,UNKNOWN,BLOCKED,4,4,3,NO,NO,YES,NO,E2,R1 non-finding bounded by multiple concrete observations/sources; underlying proposition remains UNKNOWN,OTHER,no safe geographic inference
C-FM-0018,FM-0018,FCT,INV-001:FCT-001,FACT,FACT,RESOLVED,1,1,1,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0019,FM-0019,FCT,INV-001:FCT-002,FACT,FACT,RESOLVED,1,1,1,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0020,FM-0020,FCT,INV-001:FCT-003,FACT,FACT,RESOLVED,1,1,1,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0021,FM-0021,FCT,INV-001:FCT-004,FACT,FACT,RESOLVED,1,1,1,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,NATIONAL,explicit France/national keyword
C-FM-0022,FM-0022,FCT,INV-001:FCT-005,FACT,FACT,RESOLVED,1,1,1,NO,NO,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0024,FM-0024,CLM,INV-002:CLM-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,OTHER,no safe geographic inference
C-FM-0026,FM-0026,CAU,INV-002:CAU-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,YES,NO,E2,R6 association/mechanism supported descriptively; no causal attribution right,OTHER,no safe geographic inference
C-FM-0027,FM-0027,FCT,INV-002:FCT-001,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0028,FM-0028,FCT,INV-002:FCT-002,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0029,FM-0029,FCT,INV-002:FCT-003,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E3,R7 primary act/contract/register directly establishes the bounded fact/relation,OTHER,no safe geographic inference
C-FM-0030,FM-0030,FCT,INV-002:FCT-004,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0031,FM-0031,FCT,INV-002:FCT-005,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E3,R7 primary act/contract/register directly establishes the bounded fact/relation,OTHER,no safe geographic inference
C-FM-0033,FM-0033,CLM,INV-003:CLM-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E0,R0 open investigative proposition: no positive assertion right,OTHER,no safe geographic inference
C-FM-0035,FM-0035,CAU,INV-003:CAU-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,YES,NO,E2,R6 association/mechanism supported descriptively; no causal attribution right,OTHER,no safe geographic inference
C-FM-0036,FM-0036,FCT,INV-003:FCT-001,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0037,FM-0037,FCT,INV-003:FCT-002,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,NATIONAL,explicit France/national keyword
C-FM-0038,FM-0038,FCT,INV-003:FCT-003,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0039,FM-0039,FCT,INV-003:FCT-004,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0040,FM-0040,FCT,INV-003:FCT-005,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0042,FM-0042,CLM,INV-004:CLM-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,SAMPLE,explicit panel/sample keyword
C-FM-0044,FM-0044,CAU,INV-004:CAU-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,YES,NO,E2,R6 association/mechanism supported descriptively; no causal attribution right,LOCAL,local institution/site keyword
C-FM-0045,FM-0045,FCT,INV-004:FCT-001,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0046,FM-0046,FCT,INV-004:FCT-002,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0047,FM-0047,FCT,INV-004:FCT-003,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0048,FM-0048,FCT,INV-004:FCT-004,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0049,FM-0049,FCT,INV-004:FCT-005,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0051,FM-0051,CLM,INV-005:CLM-001,PARTIAL,UNKNOWN,DEPRIORITIZED,0,0,0,NO,YES,YES,NO,E0,R0 open investigative proposition: no positive assertion right,NATIONAL,explicit France/national keyword
C-FM-0053,FM-0053,CAU,INV-005:CAU-001;INV-005:FCT-003;INV-038:FCT-007;INV-041:FCT-003,UNRESOLVED,UNKNOWN,BLOCKED,3,3,3,NO,YES,YES,NO,E2,R1 non-finding bounded by multiple concrete observations/sources; underlying proposition remains UNKNOWN,NATIONAL,explicit France/national keyword
C-FM-0054,FM-0054,FCT,INV-005:FCT-001,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0055,FM-0055,FCT,INV-005:FCT-002,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0056,FM-0056,FCT,INV-005:FCT-003,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,NATIONAL,explicit France/national keyword
C-FM-0057,FM-0057,FCT,INV-005:FCT-004,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0058,FM-0058,FCT,INV-005:FCT-005,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,SAMPLE,explicit panel/sample keyword
C-FM-0060,FM-0060,CLM,INV-006:CLM-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,OTHER,no safe geographic inference
C-FM-0062,FM-0062,CAU,INV-006:CAU-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,YES,NO,E2,R6 association/mechanism supported descriptively; no causal attribution right,LOCAL,local institution/site keyword
C-FM-0063,FM-0063,FCT,INV-006:FCT-001,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,SAMPLE,explicit panel/sample keyword
C-FM-0064,FM-0064,FCT,INV-006:FCT-002,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0065,FM-0065,FCT,INV-006:FCT-003,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,SAMPLE,explicit panel/sample keyword
C-FM-0066,FM-0066,FCT,INV-006:FCT-004,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,NATIONAL,explicit France/national keyword
C-FM-0067,FM-0067,FCT,INV-006:FCT-005,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E3,R7 primary act/contract/register directly establishes the bounded fact/relation,SAMPLE,explicit panel/sample keyword
C-FM-0069,FM-0069,CLM,INV-007:CLM-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,OTHER,no safe geographic inference
C-FM-0071,FM-0071,CAU,INV-007:CAU-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,YES,NO,E2,R6 association/mechanism supported descriptively; no causal attribution right,OTHER,no safe geographic inference
C-FM-0072,FM-0072,FCT,INV-007:FCT-001,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0073,FM-0073,FCT,INV-007:FCT-002,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,NATIONAL,explicit France/national keyword
C-FM-0074,FM-0074,FCT,INV-007:FCT-003,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0075,FM-0075,FCT,INV-007:FCT-004,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0076,FM-0076,FCT,INV-007:FCT-005,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0078,FM-0078,CLM,INV-008:CLM-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E0,R0 open investigative proposition: no positive assertion right,OTHER,no safe geographic inference
C-FM-0080,FM-0080,CAU,INV-008:CAU-001,SUPPORTED,INFERENCE,RESOLVED,1,1,2,NO,NO,YES,NO,E2,R6 association/mechanism supported descriptively; no causal attribution right,OTHER,no safe geographic inference
C-FM-0081,FM-0081,FCT,INV-008:FCT-001,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,NATIONAL,explicit France/national keyword
C-FM-0082,FM-0082,FCT,INV-008:FCT-002,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,SAMPLE,explicit panel/sample keyword
C-FM-0083,FM-0083,FCT,INV-008:FCT-003,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,NATIONAL,explicit France/national keyword
C-FM-0084,FM-0084,FCT,INV-008:FCT-004,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,NATIONAL,explicit France/national keyword
C-FM-0085,FM-0085,FCT,INV-008:FCT-005,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,YES,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0087,FM-0087,CLM,INV-009:CLM-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,NO,NO,NO,E0,R0 open investigative proposition: no positive assertion right,OTHER,no safe geographic inference
C-FM-0088,FM-0088,CLM,INV-009:CLM-002,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,NO,NO,NO,E0,R0 open investigative proposition: no positive assertion right,OTHER,no safe geographic inference
C-FM-0089,FM-0089,CLM,INV-009:CLM-003,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,NO,NO,NO,E0,R0 open investigative proposition: no positive assertion right,OTHER,no safe geographic inference
C-FM-0093,FM-0093,CAU,INV-009:CAU-001,GAP,UNKNOWN,BLOCKED,0,0,0,NO,NO,YES,NO,E1,R1 non-finding/documentary gap only; underlying proposition remains UNKNOWN,NATIONAL,explicit France/national keyword
C-FM-0094,FM-0094,FCT,INV-009:FCT-001,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0095,FM-0095,FCT,INV-009:FCT-002,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,NATIONAL,explicit France/national keyword
C-FM-0096,FM-0096,FCT,INV-009:FCT-003,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0097,FM-0097,FCT,INV-009:FCT-004,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0098,FM-0098,FCT,INV-009:FCT-005,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,NATIONAL,explicit France/national keyword
C-FM-0100,FM-0100,CLM,INV-010:CLM-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,OTHER,no safe geographic inference
C-FM-0101,FM-0101,CLM,INV-010:CLM-002,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,OTHER,no safe geographic inference
C-FM-0102,FM-0102,CLM,INV-010:CLM-003,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,NO,NO,E2,R9 claim supported by descriptive evidence; association/observation only,OTHER,no safe geographic inference
C-FM-0106,FM-0106,CAU,INV-010:CAU-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,YES,NO,E2,R6 association/mechanism supported descriptively; no causal attribution right,OTHER,no safe geographic inference
C-FM-0107,FM-0107,FCT,INV-010:FCT-001,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0108,FM-0108,FCT,INV-010:FCT-002,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0109,FM-0109,FCT,INV-010:FCT-003,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,LOCAL,local institution/site keyword
C-FM-0110,FM-0110,FCT,INV-010:FCT-004,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
C-FM-0111,FM-0111,FCT,INV-010:FCT-005,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,NATIONAL,explicit France/national keyword
C-FM-0113,FM-0113,CLM,INV-011:CLM-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,NO,NO,NO,E1,R9 documentary claim without stronger quantitative/corroborative basis,OTHER,no safe geographic inference
C-FM-0114,FM-0114,CLM,INV-011:CLM-002,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,NO,NO,NO,E1,R9 documentary claim without stronger quantitative/corroborative basis,OTHER,no safe geographic inference
C-FM-0115,FM-0115,CLM,INV-011:CLM-003,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,NO,NO,NO,E0,R0 open investigative proposition: no positive assertion right,OTHER,no safe geographic inference
C-FM-0119,FM-0119,CAU,INV-011:CAU-001,SUPPORTED,INFERENCE,RESOLVED,0,0,0,NO,YES,YES,NO,E2,R6 association/mechanism supported descriptively; no causal attribution right,NATIONAL,explicit France/national keyword
C-FM-0120,FM-0120,FCT,INV-011:FCT-001,FACT,FACT,RESOLVED,1,1,2,YES,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,NATIONAL,explicit France/national keyword
C-FM-0121,FM-0121,FCT,INV-011:FCT-002,FACT,FACT,RESOLVED,1,1,2,NO,YES,NO,NO,E2,R8 concrete descriptive/quantitative observation; no causal upgrade,OTHER,no safe geographic inference
